Date,iata,snow_precip_cm
2015-01-01,MKE,0
2015-01-01,MKG,5.5
2015-01-01,MLB,0
2015-01-01,MLI,8.2
2015-01-01,MLU,2
2015-01-01,MMH,5.9
2015-01-01,MOB,8
2015-01-01,MOT,0
2015-01-01,MQT,4.6
2015-01-01,MRY,0
2015-01-01,MSN,0
2015-01-01,MSO,4.5
2015-01-01,MSP,4
2015-01-01,MSY,0
2015-01-01,MTJ,0
2015-01-01,MVY,0
2015-01-01,MYR,0
2015-01-01,OAJ,0
2015-01-01,OAK,16.9
2015-01-01,OGG,1.7
2015-01-01,OKC,0
2015-01-01,OMA,4
2015-01-01,OME,0
2015-01-01,ONT,1.1
2015-01-01,ORD,0
2015-01-01,ORF,5.3
2015-01-01,ORH,0
2015-01-01,OTH,1.3
2015-01-01,OTZ,0
2015-01-01,PAH,0
2015-01-01,PBG,0
2015-01-01,PBI,6.1
2015-01-01,PDX,8.1
2015-01-01,PHF,0
2015-01-01,PHL,0
2015-01-01,PHX,0
2015-01-01,PIA,0
2015-01-01,PIB,0
2015-01-01,PIH,0
2015-01-01,PIT,0
2015-01-01,PLN,1.8
2015-01-01,PNS,4.4
2015-01-01,PPG,7.1
2015-01-01,PSC,0
2015-01-01,PSE,0
2015-01-01,PSG,0
2015-01-01,PSP,9.1
2015-01-01,PUB,0
2015-01-01,PVD,0.4
2015-01-01,PWM,4
2015-01-01,RAP,0
2015-01-01,RDD,12.5
2015-01-01,RDM,1.3
2015-01-01,RDU,0
2015-01-01,RHI,1.7
2015-01-01,RIC,7.3
2015-01-01,RKS,3.5
2015-01-01,RNO,0
2015-01-01,ROA,2.7
2015-01-01,ROC,0
2015-01-01,ROW,0
2015-01-01,RST,4.4
2015-01-01,RSW,9.1
2015-01-01,SAF,9.2
2015-01-01,SAN,0
2015-01-01,SAT,1.9
2015-01-01,SAV,0
2015-01-01,SBA,11
2015-01-01,SBN,0
2015-01-01,SBP,0
2015-01-01,SCC,0
2015-01-01,SCE,8
2015-01-01,SDF,0
2015-01-01,SEA,0
2015-01-01,SFO,0
2015-01-01,SGF,0
2015-01-01,SGU,0.2
2015-01-01,SHV,3.8
2015-01-01,SIT,0
2015-01-01,SJC,0
2015-01-01,SJT,3.8
2015-01-01,SJU,0
2015-01-01,SLC,3.1
2015-01-01,SMF,2.2
2015-01-01,SMX,0
2015-01-01,SNA,0
2015-01-01,SPI,0
2015-01-01,SPS,2.9
2015-01-01,SRQ,1.2
2015-01-01,STC,4.3
2015-01-01,STL,0
2015-01-01,STT,4.7
2015-01-01,STX,0
2015-01-01,SUN,0
2015-01-01,SUX,5.1
2015-01-01,SWF,4.1
2015-01-01,SYR,0
2015-01-01,TLH,0
2015-01-01,TOL,2
2015-01-01,TPA,1
2015-01-01,TRI,0
2015-01-01,TTN,0
2015-01-01,TUL,10.4
2015-01-01,TUS,0
2015-01-01,TVC,2.9
2015-01-01,TWF,1.4
2015-01-01,TXK,0
2015-01-01,TYR,2.6
2015-01-01,TYS,2.8
2015-01-01,UST,0
2015-01-01,VEL,0
2015-01-01,VLD,0
2015-01-01,VPS,2.4
2015-01-01,WRG,0.4
2015-01-01,WYS,2.8
2015-01-01,XNA,2
2015-01-01,YAK,0
2015-01-01,YUM,0
2015-01-02,ABE,0
2015-01-02,ABI,0.1
2015-01-02,ABQ,5.8
2015-01-02,ABR,0
2015-01-02,ABY,1.3
2015-01-02,ACK,0.8
2015-01-02,ACT,6.4
2015-01-02,ACV,0
2015-01-02,ACY,1
2015-01-02,ADK,0
2015-01-02,ADQ,0
2015-01-02,AEX,0
2015-01-02,AGS,6.1
2015-01-02,AKN,0
2015-01-02,ALB,2.6
2015-01-02,ALO,0.2
2015-01-02,AMA,1.5
2015-01-02,ANC,0
2015-01-02,APN,0
2015-01-02,ASE,0
2015-01-02,ATL,3.9
2015-01-02,ATW,0
2015-01-02,AUS,-0
2015-01-02,AVL,6.1
2015-01-02,AVP,3.9
2015-01-02,AZO,0
2015-01-02,BDL,0
2015-01-02,BET,0
2015-01-02,BFL,0
2015-01-02,BGM,2.3
2015-01-02,BGR,3.9
2015-01-02,BHM,0
2015-01-02,BIL,0
2015-01-02,BIS,0
2015-01-02,BJI,0
2015-01-02,BLI,0
2015-01-02,BMI,0
2015-01-02,BNA,0.8
2015-01-02,BOI,-0
2015-01-02,BOS,0
2015-01-02,BPT,2.9
2015-01-02,BQK,0.1
2015-01-02,BQN,3.3
2015-01-02,BRD,2.2
2015-01-02,BRO,2.5
2015-01-02,BRW,0
2015-01-02,BTM,5.3
2015-01-02,BTR,0
2015-01-02,BTV,0
2015-01-02,BUF,2.1
2015-01-02,BUR,1.3
2015-01-02,BWI,5.8
2015-01-02,BZN,0
2015-01-02,CAE,0
2015-01-02,CAK,2.5
2015-01-02,CDC,0
2015-01-02,CDV,1.3
2015-01-02,CEC,0
2015-01-02,CHA,0
2015-01-02,CHO,0.1
2015-01-02,CHS,0
2015-01-02,CID,0
2015-01-02,CIU,0
2015-01-02,CLD,0
2015-01-02,CLE,0
2015-01-02,CLL,5.2
2015-01-02,CLT,0
2015-01-02,CMH,0
2015-01-02,CMI,0
2015-01-02,CMX,0
2015-01-02,CNY,2
2015-01-02,COD,1.6
2015-01-02,COS,0
2015-01-02,COU,5.2
2015-01-02,CPR,6.3
2015-01-02,CRP,0
2015-01-02,CRW,0.1
2015-01-02,CSG,7.1
2015-01-02,CVG,1.1
2015-01-02,CWA,0
2015-01-02,DAB,0
2015-01-02,DAL,0
2015-01-02,DAY,4.4
2015-01-02,DBQ,0
2015-01-02,DCA,6.5
2015-01-02,DEN,0
2015-01-02,DFW,5.2
2015-01-02,DHN,0
2015-01-02,DIK,6.2
2015-01-02,DLG,0
2015-01-02,DLH,2.3
2015-01-02,DRO,6.5
2015-01-02,DSM,0
2015-01-02,DTW,0
2015-01-02,DVL,8.6
2015-01-02,EAU,0
2015-01-02,ECP,0
2015-01-02,EGE,2.3
2015-01-02,EKO,5.9
2015-01-02,ELM,4.8
2015-01-02,ELP,0
2015-01-02,ERI,0
2015-01-02,ESC,0
2015-01-02,EUG,0.3
2015-01-02,EVV,5.8
2015-01-02,EWN,0
2015-01-02,EWR,5.1
2015-01-02,EYW,6.4
2015-01-02,FAI,0.5
2015-01-02,FAR,2.3
2015-01-02,FAT,0
2015-01-02,FAY,3.1
2015-01-02,FCA,0
2015-01-02,FLG,2.7
2015-01-02,FLL,2.6
2015-01-02,FNT,9.5
2015-01-02,FSD,7.6
2015-01-02,FSM,4.5
2015-01-02,FWA,0
2015-01-02,GCC,0
2015-01-02,GCK,0
2015-01-02,GEG,11.3
2015-01-02,GFK,3.1
2015-01-02,GGG,0
2015-01-02,GJT,0
2015-01-02,GNV,1.2
2015-01-02,GPT,0
2015-01-02,GRB,0
2015-01-02,GRI,0
2015-01-02,GRK,3
2015-01-02,GRR,1.1
2015-01-02,GSO,0.6
2015-01-02,GSP,2.6
2015-01-02,GST,3.3
2015-01-02,GTF,0
2015-01-02,GTR,8.4
2015-01-02,GUC,0
2015-01-02,GUM,4.1
2015-01-02,HDN,0
2015-01-02,HIB,0
2015-01-02,HLN,0
2015-01-02,HNL,0.1
2015-01-02,HOB,0
2015-01-02,HOU,4.9
2015-01-02,HPN,1.3
2015-01-02,HRL,3.6
2015-01-02,HSV,0
2015-01-02,HYA,1
2015-01-02,HYS,0
2015-01-02,IAD,0
2015-01-02,IAG,0
2015-01-02,IAH,0
2015-01-02,ICT,0
2015-01-02,IDA,1.8
2015-01-02,ILG,9.5
2015-01-02,ILM,0
2015-01-02,IMT,0
2015-01-02,IND,0
2015-01-02,INL,1.8
2015-01-02,ISN,0
2015-01-02,ISP,0
2015-01-02,ITH,4.8
2015-01-02,ITO,0
2015-01-02,JAC,2.3
2015-01-02,JAN,0
2015-01-02,JAX,1.6
2015-01-02,JFK,9.2
2015-01-02,JLN,0.8
2015-01-02,JMS,0
2015-01-02,JNU,0
2015-01-02,KOA,3.5
2015-01-02,KTN,0
2015-01-02,LAN,11.6
2015-01-02,LAR,0
2015-01-02,LAS,0
2015-01-02,LAW,3.4
2015-01-02,LAX,0
2015-01-02,LBB,0
2015-01-02,LBE,5.7
2015-01-02,LCH,0
2015-01-02,LEX,0
2015-01-02,LFT,9.1
2015-01-02,LGA,4.4
2015-01-02,LGB,5
2015-01-02,LIH,0
2015-01-02,LIT,1.6
2015-01-02,LNK,2
2015-01-02,LRD,0.4
2015-01-02,LSE,11.1
2015-01-02,LWS,0
2015-01-02,MAF,0
2015-01-02,MBS,6.4
2015-01-02,MCI,1.1
2015-01-02,MCO,3.6
2015-01-02,MDT,0
2015-01-02,MDW,0
2015-01-02,MEI,2.1
2015-01-02,MEM,6.3
2015-01-02,MFE,0
2015-01-02,MFR,0
2015-01-02,MGM,0
2015-01-02,MHK,0
2015-01-02,MHT,0
2015-01-02,MIA,0
2015-01-02,MKE,2
2015-01-02,MKG,1.2
2015-01-02,MLB,5.8
2015-01-02,MLI,-0
2015-01-02,MLU,0.1
2015-01-02,MMH,3.4
2015-01-02,MOB,0.6
2015-01-02,MOT,0
2015-01-02,MQT,2.9
2015-01-02,MRY,0.8
2015-01-02,MSN,2.4
2015-01-02,MSO,7.6
2015-01-02,MSP,4.4
2015-01-02,MSY,0.1
2015-01-02,MTJ,4
2015-01-02,MVY,0.8
2015-01-02,MYR,6.5
2015-01-02,OAJ,0
2015-01-02,OAK,0
2015-01-02,OGG,0
2015-01-02,OKC,1.3
2015-01-02,OMA,0
2015-01-02,OME,0.7
2015-01-02,ONT,2.2
2015-01-02,ORD,2.7
2015-01-02,ORF,4.3
2015-01-02,ORH,0
2015-01-02,OTH,2.6
2015-01-02,OTZ,0
2015-01-02,PAH,0
2015-01-02,PBG,1.5
2015-01-02,PBI,0
2015-01-02,PDX,0
2015-01-02,PHF,10.5
2015-01-02,PHL,0
2015-01-02,PHX,1.1
2015-01-02,PIA,0
2015-01-02,PIB,0
2015-01-02,PIH,8.4
2015-01-02,PIT,0
2015-01-02,PLN,3.7
2015-01-02,PNS,0
2015-01-02,PPG,0.6
2015-01-02,PSC,0
2015-01-02,PSE,0
2015-01-02,PSG,1.5
2015-01-02,PSP,1.9
2015-01-02,PUB,4.5
2015-01-02,PVD,1.7
2015-01-02,PWM,0
2015-01-02,RAP,6
2015-01-02,RDD,6.3
2015-01-02,RDM,8.8
2015-01-02,RDU,0
2015-01-02,RHI,0
2015-01-02,RIC,1.3
2015-01-02,RKS,0.5
2015-01-02,RNO,0
2015-01-02,ROA,0.5
2015-01-02,ROC,6.5
2015-01-02,ROW,0
2015-01-02,RST,1.1
2015-01-02,RSW,0
2015-01-02,SAF,3.4
2015-01-02,SAN,0
2015-01-02,SAT,2.3
2015-01-02,SAV,7.2
2015-01-02,SBA,14
2015-01-02,SBN,1.2
2015-01-02,SBP,0
2015-01-02,SCC,12.4
2015-01-02,SCE,0
2015-01-02,SDF,0.4
2015-01-02,SEA,2.1
2015-01-02,SFO,0.7
2015-01-02,SGF,4
2015-01-02,SGU,0
2015-01-02,SHV,0
2015-01-02,SIT,6.2
2015-01-02,SJC,2.8
2015-01-02,SJT,0
2015-01-02,SJU,0
2015-01-02,SLC,0
2015-01-02,SMF,0.8
2015-01-02,SMX,0
2015-01-02,SNA,1.9
2015-01-02,SPI,7.3
2015-01-02,SPS,4.1
2015-01-02,SRQ,0
2015-01-02,STC,4.7
2015-01-02,STL,3.4
2015-01-02,STT,0
2015-01-02,STX,6.5
2015-01-02,SUN,13.5
2015-01-02,SUX,1.8
2015-01-02,SWF,0
2015-01-02,SYR,0
2015-01-02,TLH,-0
2015-01-02,TOL,0
2015-01-02,TPA,0
2015-01-02,TRI,3.3
2015-01-02,TTN,3.7
2015-01-02,TUL,0
2015-01-02,TUS,2.7
2015-01-02,TVC,8.3
2015-01-02,TWF,4.5
2015-01-02,TXK,0
2015-01-02,TYR,0
2015-01-02,TYS,2.5
2015-01-02,UST,0
2015-01-02,VEL,0
2015-01-02,VLD,3.8
2015-01-02,VPS,0
2015-01-02,WRG,2.9
2015-01-02,WYS,7.9
2015-01-02,XNA,3.3
2015-01-02,YAK,1.6
2015-01-02,YUM,0.1
2015-01-03,ABE,15.6
2015-01-03,ABI,0
2015-01-03,ABQ,0
2015-01-03,ABR,5.5
2015-01-03,ABY,11
2015-01-03,ACK,5.9
2015-01-03,ACT,2.7
2015-01-03,ACV,0.9
2015-01-03,ACY,4.3
2015-01-03,ADK,5.4
2015-01-03,ADQ,0
2015-01-03,AEX,3.9
2015-01-03,AGS,-0
2015-01-03,AKN,3.2
2015-01-03,ALB,0
2015-01-03,ALO,0
2015-01-03,AMA,5.5
2015-01-03,ANC,0
2015-01-03,APN,3.2
2015-01-03,ASE,0
2015-01-03,ATL,5.4
2015-01-03,ATW,0
2015-01-03,AUS,0
2015-01-03,AVL,2.1
2015-01-03,AVP,1.2
2015-01-03,AZO,0
2015-01-03,BDL,0
2015-01-03,BET,1.2
2015-01-03,BFL,0
2015-01-03,BGM,0
2015-01-03,BGR,0
2015-01-03,BHM,0
2015-01-03,BIL,0
2015-01-03,BIS,0
2015-01-03,BJI,5.2
2015-01-03,BLI,2.8
2015-01-03,BMI,0
2015-01-03,BNA,0
2015-01-03,BOI,7.5
2015-01-03,BOS,3.6
2015-01-03,BPT,0
2015-01-03,BQK,4.6
2015-01-03,BQN,7.9
2015-01-03,BRD,6.8
2015-01-03,BRO,3.2
2015-01-03,BRW,4.5
2015-01-03,BTM,0
2015-01-03,BTR,0
2015-01-03,BTV,0
2015-01-03,BUF,0.9
2015-01-03,BUR,0
2015-01-03,BWI,2.4
2015-01-03,BZN,0.2
2015-01-03,CAE,3.6
2015-01-03,CAK,3.1
2015-01-03,CDC,0
2015-01-03,CDV,0
2015-01-03,CEC,0
2015-01-03,CHA,6.2
2015-01-03,CHO,5.5
2015-01-03,CHS,0
2015-01-03,CID,0
2015-01-03,CIU,0
2015-01-03,CLD,0
2015-01-03,CLE,0
2015-01-03,CLL,3.5
2015-01-03,CLT,4.4
2015-01-03,CMH,0
2015-01-03,CMI,4.2
2015-01-03,CMX,4.3
2015-01-03,CNY,1.7
2015-01-03,COD,0
2015-01-03,COS,0
2015-01-03,COU,0
2015-01-03,CPR,0
2015-01-03,CRP,0
2015-01-03,CRW,0
2015-01-03,CSG,0.7
2015-01-03,CVG,0
2015-01-03,CWA,0
2015-01-03,DAB,0
2015-01-03,DAL,0
2015-01-03,DAY,0
2015-01-03,DBQ,0
2015-01-03,DCA,0
2015-01-03,DEN,0
2015-01-03,DFW,0
2015-01-03,DHN,0
2015-01-03,DIK,0
2015-01-03,DLG,9.3
2015-01-03,DLH,8.9
2015-01-03,DRO,0
2015-01-03,DSM,13.9
2015-01-03,DTW,8.3
2015-01-03,DVL,0
2015-01-03,EAU,1.4
2015-01-03,ECP,0
2015-01-03,EGE,0
2015-01-03,EKO,1.5
2015-01-03,ELM,0
2015-01-03,ELP,4.2
2015-01-03,ERI,4.8
2015-01-03,ESC,3.1
2015-01-03,EUG,4.6
2015-01-03,EVV,5.6
2015-01-03,EWN,0
2015-01-03,EWR,3.8
2015-01-03,EYW,4.3
2015-01-03,FAI,0
2015-01-03,FAR,0
2015-01-03,FAT,0
2015-01-03,FAY,2.5
2015-01-03,FCA,0
2015-01-03,FLG,0
2015-01-03,FLL,0
2015-01-03,FNT,0
2015-01-03,FSD,0
2015-01-03,FSM,1.7
2015-01-03,FWA,0.6
2015-01-03,GCC,0
2015-01-03,GCK,0
2015-01-03,GEG,1.8
2015-01-03,GFK,0
2015-01-03,GGG,0
2015-01-03,GJT,0
2015-01-03,GNV,0
2015-01-03,GPT,0
2015-01-03,GRB,1.9
2015-01-03,GRI,0
2015-01-03,GRK,0
2015-01-03,GRR,0
2015-01-03,GSO,0
2015-01-03,GSP,0
2015-01-03,GST,0
2015-01-03,GTF,0
2015-01-03,GTR,2
2015-01-03,GUC,6.3
2015-01-03,GUM,7.2
2015-01-03,HDN,2.7
2015-01-03,HIB,0.7
2015-01-03,HLN,6.2
2015-01-03,HNL,0
2015-01-03,HOB,0
2015-01-03,HOU,0
2015-01-03,HPN,1
2015-01-03,HRL,0
2015-01-03,HSV,4.2
2015-01-03,HYA,3.5
2015-01-03,HYS,0
2015-01-03,IAD,1.3
2015-01-03,IAG,8.1
2015-01-03,IAH,0
2015-01-03,ICT,0
2015-01-03,IDA,0
2015-01-03,ILG,6.7
2015-01-03,ILM,0
2015-01-03,IMT,6.7
2015-01-03,IND,0
2015-01-03,INL,0
2015-01-03,ISN,3.1
2015-01-03,ISP,10.6
2015-01-03,ITH,0
2015-01-03,ITO,0
2015-01-03,JAC,0
2015-01-03,JAN,2.2
2015-01-03,JAX,2.9
2015-01-03,JFK,0
2015-01-03,JLN,0
2015-01-03,JMS,15.5
2015-01-03,JNU,0
2015-01-03,KOA,0
2015-01-03,KTN,0
2015-01-03,LAN,4.9
2015-01-03,LAR,0
2015-01-03,LAS,0
2015-01-03,LAW,2.1
2015-01-03,LAX,0
2015-01-03,LBB,13.8
2015-01-03,LBE,0
2015-01-03,LCH,0
2015-01-03,LEX,0
2015-01-03,LFT,1.3
2015-01-03,LGA,0
2015-01-03,LGB,1.3
2015-01-03,LIH,1.6
2015-01-03,LIT,0.8
2015-01-03,LNK,0.6
2015-01-03,LRD,0
2015-01-03,LSE,0.2
2015-01-03,LWS,0
2015-01-03,MAF,0
2015-01-03,MBS,2.2
2015-01-03,MCI,6.7
2015-01-03,MCO,0
2015-01-03,MDT,3.3
2015-01-03,MDW,0
2015-01-03,MEI,0
2015-01-03,MEM,0
2015-01-03,MFE,0
2015-01-03,MFR,0
2015-01-03,MGM,0
2015-01-03,MHK,1.5
2015-01-03,MHT,0
2015-01-03,MIA,10.8
2015-01-03,MKE,12.5
2015-01-03,MKG,0
2015-01-03,MLB,0
2015-01-03,MLI,7.2
2015-01-03,MLU,0
2015-01-03,MMH,0
2015-01-03,MOB,0
2015-01-03,MOT,0
2015-01-03,MQT,0
2015-01-03,MRY,0
2015-01-03,MSN,0
2015-01-03,MSO,0
2015-01-03,MSP,0
2015-01-03,MSY,1
2015-01-03,MTJ,8.3
2015-01-03,MVY,0
2015-01-03,MYR,4.3
2015-01-03,OAJ,4.1
2015-01-03,OAK,0
2015-01-03,OGG,7.6
2015-01-03,OKC,1.2
2015-01-03,OMA,0
2015-01-03,OME,7
2015-01-03,ONT,0
2015-01-03,ORD,0
2015-01-03,ORF,0
2015-01-03,ORH,0
2015-01-03,OTH,6.4
2015-01-03,OTZ,0
2015-01-03,PAH,0
2015-01-03,PBG,0
2015-01-03,PBI,3.4
2015-01-03,PDX,0
2015-01-03,PHF,1.8
2015-01-03,PHL,0
2015-01-03,PHX,5.3
2015-01-03,PIA,0
2015-01-03,PIB,0
2015-01-03,PIH,2.1
2015-01-03,PIT,0
2015-01-03,PLN,14.9
2015-01-03,PNS,7.7
2015-01-03,PPG,0
2015-01-03,PSC,1
2015-01-03,PSE,0
2015-01-03,PSG,4.3
2015-01-03,PSP,0.1
2015-01-03,PUB,2.1
2015-01-03,PVD,0
2015-01-03,PWM,0
2015-01-03,RAP,0
2015-01-03,RDD,0
2015-01-03,RDM,0
2015-01-03,RDU,0
2015-01-03,RHI,0
2015-01-03,RIC,0
2015-01-03,RKS,0
2015-01-03,RNO,0
2015-01-03,ROA,0.5
2015-01-03,ROC,0
2015-01-03,ROW,0
2015-01-03,RST,0
2015-01-03,RSW,0
2015-01-03,SAF,7.2
2015-01-03,SAN,7.6
2015-01-03,SAT,6.1
2015-01-03,SAV,0
2015-01-03,SBA,12.2
2015-01-03,SBN,3
2015-01-03,SBP,7.8
2015-01-03,SCC,4.5
2015-01-03,SCE,0
2015-01-03,SDF,1.3
2015-01-03,SEA,0
2015-01-03,SFO,0
2015-01-03,SGF,2.2
2015-01-03,SGU,0
2015-01-03,SHV,0
2015-01-03,SIT,0
2015-01-03,SJC,1.5
2015-01-03,SJT,0
2015-01-03,SJU,5.4
2015-01-03,SLC,0.1
2015-01-03,SMF,5.6
2015-01-03,SMX,0
2015-01-03,SNA,0
2015-01-03,SPI,7.2
2015-01-03,SPS,6.8
2015-01-03,SRQ,0
2015-01-03,STC,2.5
2015-01-03,STL,3.8
2015-01-03,STT,0
2015-01-03,STX,2.1
2015-01-03,SUN,0
2015-01-03,SUX,0
2015-01-03,SWF,0
2015-01-03,SYR,11.8
2015-01-03,TLH,0
2015-01-03,TOL,6.9
2015-01-03,TPA,0
2015-01-03,TRI,5.1
2015-01-03,TTN,7.5
2015-01-03,TUL,0
2015-01-03,TUS,0
2015-01-03,TVC,0
2015-01-03,TWF,0
2015-01-03,TXK,3.4
2015-01-03,TYR,0.8
2015-01-03,TYS,3.9
2015-01-03,UST,6.9
2015-01-03,VEL,0
2015-01-03,VLD,5
2015-01-03,VPS,0.7
2015-01-03,WRG,0
2015-01-03,WYS,0
2015-01-03,XNA,0
2015-01-03,YAK,0
2015-01-03,YUM,4.5
2015-01-04,ABE,11.4
2015-01-04,ABI,0
2015-01-04,ABQ,0
2015-01-04,ABR,0
2015-01-04,ABY,1.1
2015-01-04,ACK,0
2015-01-04,ACT,4.1
2015-01-04,ACV,0
2015-01-04,ACY,0
2015-01-04,ADK,1.8
2015-01-04,ADQ,0
2015-01-04,AEX,0
2015-01-04,AGS,7
2015-01-04,AKN,0
2015-01-04,ALB,0
2015-01-04,ALO,9.2
2015-01-04,AMA,3.9
2015-01-04,ANC,0
2015-01-04,APN,5.8
2015-01-04,ASE,-0
2015-01-04,ATL,2.6
2015-01-04,ATW,0
2015-01-04,AUS,1.4
2015-01-04,AVL,0.2
2015-01-04,AVP,0
2015-01-04,AZO,6.2
2015-01-04,BDL,5.7
2015-01-04,BET,4.4
2015-01-04,BFL,6.3
2015-01-04,BGM,0
2015-01-04,BGR,3.8
2015-01-04,BHM,1.3
2015-01-04,BIL,0
2015-01-04,BIS,0
2015-01-04,BJI,0.8
2015-01-04,BLI,0
2015-01-04,BMI,0
2015-01-04,BNA,0
2015-01-04,BOI,3.3
2015-01-04,BOS,0
2015-01-04,BPT,0
2015-01-04,BQK,7.4
2015-01-04,BQN,0
2015-01-04,BRD,0
