	B12	B13	B15	B16	B17	B2	B22	B3	B6	CV13	CV14	CV15	CV5	CV6	CV7	CV8	EKH14	EKH16	EKH2	EKH20	EKH21	EKH22	EKH29	EKH5	EKH7	H1	H14	H17	H4	H5	H9	KB1	KB10	KB11	KB12	KB13	KB14	KB9	Mi1	Mi10	Mi11	Mi3	Mi4	Mi9	R1	R2	TP1	TP3	TP4	TP5	TP6	TP7	Tax_Name
New.ReferenceOTU201	516	540	690	936	148	321	476	931	1620	640	24	0	0	0	28	42	0	0	0	0	0	0	0	0	0	2541	2511	1400	3403	2816	1222	1152	1120	0	0	7830	0	0	3024	2522	1680	1785	2574	1332	4472	7865	0	0	0	0	0	0	Uncultured Occultifur genomic DNA containing 18S r
New.ReferenceOTU880	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	132	0	11	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	108	0	Uncultured Ganodermataceae clone YN23-12 18S ribos
New.ReferenceOTU886	0	0	0	0	0	3	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	156	0	611	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	Pestalotiopsis sp. MS-2011-F28 genomic DNA contain
New.ReferenceOTU782	0	0	0	0	0	0	0	7	0	20	0	0	0	30	0	0	0	20	26224	21	33	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	296	96	0	0	0	0	0	0	0	0	6	160	325	0	0	0	Uncultured fungus clone Singleton_19-2749_0910 18S
New.ReferenceOTU74	260	380	438	720	118	144	204	406	540	0	0	0	160	0	0	0	0	1335	0	84	407	784	48	0	0	1617	1917	1020	2460	2016	702	4284	32	1504	0	6102	4995	3072	1428	1378	1296	1491	1518	624	2752	5525	90	40	195	0	594	42	Alternaria sp. ZJ9-6B 18S ribosomal RNA gene, part
New.ReferenceOTU760	0	0	0	0	0	0	0	0	0	180	156	64	0	30	0	0	333	0	0	840	286	3969	336	0	18	0	0	0	0	32	0	180	320	329	0	648	2146	640	0	0	0	0	0	0	0	0	0	40	0	144	432	0	Uncultured Campanella clone Gs3B 18S ribosomal RNA
New.ReferenceOTU155	96	205	216	414	60	108	100	231	360	160	76	44	0	90	532	0	592	5	0	63	55	98	72	0	0	1023	1458	660	1107	640	494	0	0	893	0	0	555	128	1428	858	792	546	825	432	1763	2340	42	220	13	80	432	0	Cladosporium sp. F2 18S ribosomal RNA gene, partia
New.ReferenceOTU404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4176	0	81	0	123	224	0	0	0	0	0	0	0	0	168	0	0	84	0	0	0	0	0	20	0	0	54	0	Nigrospora sphaerica strain A37 18S ribosomal RNA
New.ReferenceOTU526	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	222	5	0	42	66	98	0	12	18	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	200	338	32	216	84	Uncultured fungus clone MOTU_2840_GYUGVSB04JTV7L 1
New.ReferenceOTU158	0	0	0	0	0	0	0	0	0	0	24	12	280	0	0	0	74	5	0	0	121	49	0	0	90	0	27	0	0	0	0	0	448	0	0	0	185	0	0	0	0	0	0	0	0	0	0	0	65	0	0	0	Uncultured fungus clone A1B_40 18S ribosomal RNA g
New.ReferenceOTU173	0	0	0	0	0	0	0	14	0	10	0	0	0	0	0	0	111	0	44	210	99	49	0	56	36	0	0	0	0	0	0	468	0	0	0	0	296	896	0	0	0	0	0	0	0	0	24	0	26	0	0	42	Uncultured fungus clone ZBJ201306-60 small subunit
New.ReferenceOTU149	0	0	0	0	10	0	0	35	0	0	0	0	360	60	0	126	111	10	0	0	22	49	0	4	36	33	27	0	0	0	0	0	0	0	0	0	74	64	0	26	0	0	0	0	0	195	0	0	52	0	162	84	Eurotiomycetidae sp. ICMP 20630 18S ribosomal RNA
New.ReferenceOTU715	0	0	0	0	0	0	0	28	0	580	216	128	1320	660	2884	1806	925	135	220	1302	913	3381	1992	68	396	0	0	0	0	0	0	576	2432	8930	1054	1350	3737	960	0	0	0	0	0	12	0	0	468	2920	1131	1568	3888	1428	Uncultured fungus clone MOTU_1155_GYUGVSB04JMBN2 1
New.ReferenceOTU16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	Colletotrichum gloeosporioides strain W-1 18S ribo
New.ReferenceOTU719	0	0	0	0	0	3	0	0	12	0	0	4	0	0	0	0	0	0	0	0	0	0	0	4	36	0	0	0	123	0	0	0	0	0	0	0	0	0	0	0	72	21	0	12	0	0	90	0	26	0	0	42	Leptosphaerulina australis isolate 311e 18S riboso
New.ReferenceOTU1012	0	0	0	0	0	0	0	0	0	3420	1220	556	25880	2850	10332	14028	6253	2230	6336	6468	2068	13132	10608	1236	1818	0	0	0	0	64	0	2028	16352	13630	6579	6480	7289	13056	0	0	0	0	0	0	0	0	1494	8300	4498	6448	10152	3906	Fungal endophyte isolate 1506 18S ribosomal RNA ge
New.ReferenceOTU961	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	544	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	39	0	0	0	Uncultured fungus clone MOTU_2536_GOKCVWY06HLUSZ 1
New.ReferenceOTU193	0	0	0	0	0	0	0	0	0	60	20	12	0	0	224	0	111	0	88	0	0	245	576	0	54	0	0	0	0	0	0	24	0	0	0	54	592	0	0	0	0	1260	0	12	0	0	0	280	0	128	432	84	Cerrena sp. 7-L-4-B-20(M)A 18S ribosomal RNA gene,
New.ReferenceOTU620	0	0	0	0	2	0	0	0	0	320	84	236	1000	24480	1036	3024	37	75	704	483	55	147	504	0	18	0	0	0	82	0	0	888	1536	3149	493	810	2516	1888	0	0	0	0	0	0	0	0	630	800	1417	912	2052	1092	Uncultured fungus clone ZMTDH201308-13 small subun
New.ReferenceOTU428	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Fungal endophyte isolate 1686 18S ribosomal RNA ge
New.ReferenceOTU461	0	0	0	0	0	0	0	0	0	0	8	32	0	0	840	882	74	0	44	420	0	49	192	8	0	0	27	120	410	0	0	144	0	0	0	162	148	96	42	0	0	126	0	0	0	0	0	500	0	80	216	42	Preussia sp. JJP-2009a isolate 57001-11120-UL inte
New.ReferenceOTU517	0	0	0	0	0	0	0	0	0	0	0	4	0	0	56	0	74	40	1276	294	132	1078	216	356	522	0	0	0	0	0	0	0	0	0	0	0	0	608	0	26	0	0	0	0	0	0	36	0	13	144	432	252	Lasiodiplodia theobromae strain CMW28326 18S ribos
New.ReferenceOTU433	236	295	390	495	72	153	284	434	636	2810	1192	1128	7720	1080	3108	15330	6475	625	836	1176	1496	11760	3648	1372	1530	1980	1188	1260	1599	896	546	552	3744	1786	765	26352	4551	4320	1302	806	888	798	1287	408	2322	2015	564	3160	1157	1776	22680	3402	Uncultured Plectosphaerella genomic DNA containing
New.ReferenceOTU238	548	745	960	1107	358	522	608	1099	1752	0	0	0	600	0	0	0	1369	30	792	1302	209	735	744	120	594	4950	4077	3120	6437	6432	1820	0	0	0	1258	0	0	32	5418	3302	3456	2499	3234	1704	5891	9035	1416	20	1313	1216	0	19026	Epicoccum sp. NM 18S ribosomal RNA gene, partial s
New.ReferenceOTU89	0	0	12	54	0	24	32	7	0	30	28	0	0	0	0	0	37	15	176	105	121	98	144	88	36	330	135	40	0	160	0	0	0	0	0	0	0	96	42	104	48	0	66	12	645	455	0	0	0	16	0	0	Candida parapsilosis culture-collection CBS:2193 s
New.ReferenceOTU411	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	370	0	176	0	0	0	24	20	144	0	0	0	0	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Uncultured fungus clone ZSH201208-25 small subunit
New.ReferenceOTU1067	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	264	0	0	0	0	629	0	0	0	0	0	0	0	0	0	54	0	117	0	0	0	Uncultured fungus clone SG038_E09 18S ribosomal RN
