DOB,DaysAlive,IQ,Pass,Gender
1990-01-26 00:00:00,10845.7083333333,107,No,Male
1990-03-29 12:00:00,10783.2083333333,84,No,Male
1990-05-05 08:20:00,10746.4027777778,115,No,Male
1990-01-07 17:06:40,10863.9953703704,78,No,Male
1990-03-10 23:33:20,10801.7268518519,139,Yes,Male
1990-03-24 09:46:40,10788.3009259259,48,Yes,Male
1990-01-02 03:46:40,10869.5509259259,53,Yes,Male
1990-04-01 18:46:40,10779.9675925926,102,Yes,Male
1990-04-20 01:40:00,10761.6805555556,114,No,Male
1990-02-04 00:40:00,10836.6805555556,126,No,Male
1990-01-02 20:26:40,10868.8564814815,106,Yes,Male
1990-02-08 10:13:20,10832.2824074074,120,Yes,Male
1990-01-26 00:00:00,10845.7083333333,53,Yes,Male
1990-06-09 12:46:40,10711.2175925926,94,No,Male
1990-02-19 18:26:40,10820.9398148148,131,No,Male
1990-01-26 00:00:00,10845.7083333333,106,Yes,Male
1990-05-24 07:53:20,10727.4212962963,102,Yes,Male
1990-04-11 12:06:40,10770.2453703704,108,No,Male
1990-05-18 13:00:00,10733.2083333333,72,No,Male
1990-06-07 05:13:20,10713.5324074074,124,No,Male
1990-05-21 13:13:20,10730.1990740741,97,Yes,Male
1990-01-15 02:53:20,10856.587962963,86,Yes,Male
1990-05-10 10:33:20,10741.3101851852,133,No,Male
1990-05-29 04:33:20,10722.5601851852,77,Yes,Male
1990-05-14 03:26:40,10737.6064814815,130,No,Male
1990-04-25 15:00:00,10756.125,158,Yes,Male
1990-01-16 12:13:20,10855.1990740741,132,Yes,Male
1990-05-04 10:06:40,10747.3287037037,70,No,Male
1990-03-19 18:40:00,10792.9305555556,95,No,Male
1990-03-12 20:00:00,10799.875,69,No,Male
1990-05-01 21:00:00,10749.875,103,Yes,Male
1990-04-18 16:20:00,10763.0694444444,84,Yes,Male
1990-02-02 09:46:40,10838.3009259259,95,No,Male
1990-05-27 08:06:40,10724.412037037,99,Yes,Male
1990-03-29 23:06:40,10782.7453703704,98,Yes,Male
1990-01-15 19:33:20,10855.8935185185,147,Yes,Male
1990-02-28 13:33:20,10812.1435185185,101,Yes,Male
1990-01-07 06:00:00,10864.4583333333,58,Yes,Male
1990-04-08 06:20:00,10773.4861111111,96,No,Male
1990-04-01 01:06:40,10780.662037037,164,Yes,Male
1990-03-29 23:06:40,10782.7453703704,152,No,Male
1990-03-13 07:06:40,10799.412037037,106,Yes,Male
1990-06-06 01:26:40,10714.6898148148,117,No,Male
1990-02-26 22:40:00,10813.7638888889,89,No,Male
1990-04-06 21:00:00,10774.875,95,Yes,Male
1990-04-30 17:13:20,10751.0324074074,72,Yes,Male
1990-04-29 19:00:00,10751.9583333333,114,No,Male
1990-04-18 21:53:20,10762.837962963,115,Yes,Male
1990-02-22 07:33:20,10818.3935185185,131,Yes,Male
1990-03-19 18:40:00,10792.9305555556,119,No,Male
1990-02-15 08:53:20,10825.337962963,151,No,Male
1990-04-28 04:06:40,10753.5787037037,140,No,Male
1990-02-08 21:20:00,10831.8194444444,84,Yes,Male
1990-02-01 17:06:40,10838.9953703704,120,Yes,Male
1990-06-06 01:26:40,10714.6898148148,98,No,Male
1990-01-20 16:13:20,10851.0324074074,113,Yes,Male
1990-05-27 08:06:40,10724.412037037,43,No,Male
1990-05-08 03:00:00,10743.625,51,Yes,Male
1990-04-10 13:53:20,10771.1712962963,81,Yes,Male
1990-01-28 18:40:00,10842.9305555556,106,Yes,Male
1990-03-18 20:26:40,10793.8564814815,130,Yes,Male
1990-04-15 05:00:00,10766.5416666667,112,No,Male
1990-05-28 11:53:20,10723.2546296296,113,Yes,Male
1990-05-26 21:00:00,10724.875,100,Yes,Male
1990-05-06 06:33:20,10745.4768518519,111,No,Male
1990-01-19 18:00:00,10851.9583333333,51,Yes,Male
1990-05-30 13:53:20,10721.1712962963,129,No,Male
1990-02-12 19:46:40,10827.8842592593,138,Yes,Male
1990-03-09 14:13:20,10803.1157407407,71,Yes,Male
1990-01-12 02:40:00,10859.5972222222,97,Yes,Male
1990-02-23 22:26:40,10816.7731481481,134,No,Male
1990-04-10 13:53:20,10771.1712962963,137,Yes,Male
1990-02-18 14:40:00,10822.0972222222,112,Yes,Male
1990-05-03 23:00:00,10747.7916666667,103,Yes,Male
1990-04-18 16:20:00,10763.0694444444,93,Yes,Male
1990-05-12 01:26:40,10739.6898148148,136,Yes,Male
1990-05-03 17:26:40,10748.0231481481,112,No,Male
1990-01-01 05:33:20,10870.4768518519,79,Yes,Male
1990-05-05 02:46:40,10746.6342592593,50,No,Male
1990-01-20 05:06:40,10851.4953703704,91,Yes,Male
1990-03-10 18:00:00,10801.9583333333,126,No,Male
1990-06-04 05:00:00,10716.5416666667,76,Yes,Male
1990-01-08 09:46:40,10863.3009259259,82,No,Male
1990-05-09 01:13:20,10742.6990740741,101,No,Male
1990-03-21 09:33:20,10791.3101851852,55,Yes,Male
1990-01-16 06:40:00,10855.4305555556,99,Yes,Male
1990-02-06 13:46:40,10834.1342592593,116,No,Male
1990-02-22 02:00:00,10818.625,93,Yes,Male
1990-03-11 16:13:20,10801.0324074074,63,Yes,Male
1990-03-11 21:46:40,10800.8009259259,91,No,Male
1990-05-06 12:06:40,10745.2453703704,145,No,Male
1990-04-22 03:40:00,10759.5972222222,117,No,Male
1990-05-02 19:13:20,10748.9490740741,111,Yes,Male
1990-06-14 15:00:00,10706.125,104,Yes,Male
1990-02-20 00:00:00,10820.7083333333,118,Yes,Male
1990-06-04 16:06:40,10716.0787037037,59,Yes,Male
1990-01-13 23:06:40,10857.7453703704,169,Yes,Male
1990-03-27 10:00:00,10785.2916666667,93,No,Male
1990-03-19 07:33:20,10793.3935185185,75,Yes,Male
1990-05-17 03:40:00,10734.5972222222,70,Yes,Male
1990-04-13 14:06:40,10768.162037037,59,No,Male
1990-02-27 15:20:00,10813.0694444444,120,No,Male
1990-05-19 11:13:20,10732.2824074074,88,No,Male
1990-03-12 20:00:00,10799.875,104,No,Male
1990-01-06 07:46:40,10865.3842592593,96,No,Male
1990-06-02 14:06:40,10718.162037037,105,No,Male
1990-01-20 21:46:40,10850.8009259259,95,No,Male
1990-03-19 13:06:40,10793.162037037,164,No,Male
1990-03-21 15:06:40,10791.0787037037,61,No,Male
1990-05-20 20:33:20,10730.8935185185,120,Yes,Male
1990-02-12 14:13:20,10828.1157407407,124,No,Male
1990-02-27 04:13:20,10813.5324074074,92,Yes,Male
1990-01-17 10:26:40,10854.2731481481,150,Yes,Male
1990-05-02 13:40:00,10749.1805555556,110,No,Male
1990-04-02 05:53:20,10779.5046296296,91,No,Male
1990-01-29 05:46:40,10842.4675925926,76,Yes,Male
1990-05-25 00:33:20,10726.7268518519,86,Yes,Male
1990-03-23 06:00:00,10789.4583333333,119,Yes,Male
1990-05-11 03:13:20,10740.6157407407,130,Yes,Male
1990-05-17 20:20:00,10733.9027777778,69,No,Male
1990-04-16 14:20:00,10765.1527777778,43,No,Male
1990-01-10 06:13:20,10861.4490740741,86,Yes,Male
1990-05-24 19:00:00,10726.9583333333,134,No,Male
1990-02-24 20:40:00,10815.8472222222,105,Yes,Male
1990-03-04 12:00:00,10808.2083333333,116,No,Male
1990-02-03 02:26:40,10837.6064814815,168,Yes,Male
1990-03-23 17:06:40,10788.9953703704,94,No,Male
1990-04-15 05:00:00,10766.5416666667,107,Yes,Male
1990-01-14 10:13:20,10857.2824074074,100,Yes,Male
1990-06-16 11:26:40,10704.2731481481,68,Yes,Male
1990-05-12 07:00:00,10739.4583333333,95,Yes,Male
1990-01-11 04:26:40,10860.5231481481,60,Yes,Male
1990-05-16 16:33:20,10735.0601851852,40,No,Male
1990-04-07 02:33:20,10774.6435185185,74,Yes,Male
1990-04-02 22:33:20,10778.8101851852,107,Yes,Male
1990-02-01 00:26:40,10839.6898148148,120,No,Male
1990-01-03 02:00:00,10868.625,106,No,Male
1990-03-10 06:53:20,10802.4212962963,118,Yes,Male
1990-01-07 17:06:40,10863.9953703704,74,No,Male
1990-02-14 21:46:40,10825.8009259259,74,Yes,Male
1990-03-10 06:53:20,10802.4212962963,123,No,Male
1990-02-21 09:20:00,10819.3194444444,50,No,Male
1990-06-08 09:00:00,10712.375,101,Yes,Male
1990-05-15 07:13:20,10736.4490740741,76,Yes,Male
1990-02-19 07:20:00,10821.4027777778,107,No,Male
1990-05-24 02:20:00,10727.6527777778,143,Yes,Male
1990-01-10 11:46:40,10861.2175925926,100,Yes,Male
1990-06-08 14:33:20,10712.1435185185,103,No,Male
1990-05-03 23:00:00,10747.7916666667,86,Yes,Male
1990-05-01 09:53:20,10750.337962963,78,No,Male
1990-03-18 03:46:40,10794.5509259259,114,Yes,Male
1990-05-04 10:06:40,10747.3287037037,105,Yes,Male
1990-04-17 23:40:00,10763.7638888889,84,No,Male
1990-05-18 07:26:40,10733.4398148148,84,No,Male
1990-05-12 07:00:00,10739.4583333333,102,No,Male
1990-03-23 22:40:00,10788.7638888889,132,No,Male
1990-03-30 04:40:00,10782.5138888889,61,No,Male
1990-05-08 03:00:00,10743.625,132,Yes,Male
1990-06-02 19:40:00,10717.9305555556,45,Yes,Male
1990-05-12 18:06:40,10738.9953703704,122,Yes,Male
1990-01-26 22:13:20,10844.7824074074,80,No,Male
1990-02-05 15:33:20,10835.0601851852,95,Yes,Male
1990-03-14 10:53:20,10798.2546296296,108,No,Male
1990-06-06 01:26:40,10714.6898148148,121,No,Male
1990-03-24 09:46:40,10788.3009259259,103,Yes,Male
1990-02-22 02:00:00,10818.625,92,No,Male
1990-06-01 04:46:40,10719.5509259259,113,No,Male
1990-05-04 10:06:40,10747.3287037037,89,Yes,Male
1990-01-08 04:13:20,10863.5324074074,93,Yes,Male
1990-04-27 05:53:20,10754.5046296296,119,No,Male
1990-05-26 04:20:00,10725.5694444444,125,Yes,Male
1990-04-27 05:53:20,10754.5046296296,119,No,Male
1990-03-18 14:53:20,10794.087962963,94,Yes,Male
1990-03-05 21:20:00,10806.8194444444,125,Yes,Male
1990-03-04 23:06:40,10807.7453703704,111,Yes,Male
1990-06-13 05:40:00,10707.5138888889,93,Yes,Male
1990-03-23 00:26:40,10789.6898148148,104,No,Male
1990-05-18 13:00:00,10733.2083333333,77,No,Male
1990-06-11 14:46:40,10709.1342592593,95,No,Male
1990-01-10 11:46:40,10861.2175925926,83,No,Male
1990-05-13 10:46:40,10738.3009259259,72,No,Male
1990-01-19 06:53:20,10852.4212962963,115,Yes,Male
1990-03-02 21:06:40,10809.8287037037,105,No,Male
1990-03-30 21:20:00,10781.8194444444,144,Yes,Male
1990-02-12 08:40:00,10828.3472222222,60,Yes,Male
1990-04-11 06:33:20,10770.4768518519,93,Yes,Male
1990-05-17 20:20:00,10733.9027777778,95,No,Male
1990-04-16 08:46:40,10765.3842592593,83,No,Male
1990-06-13 22:20:00,10706.8194444444,79,No,Male
1990-02-01 22:40:00,10838.7638888889,116,Yes,Male
1990-01-22 12:40:00,10849.1805555556,68,No,Male
1990-06-10 11:00:00,10710.2916666667,63,No,Male
1990-01-27 09:20:00,10844.3194444444,104,Yes,Male
1990-04-05 22:46:40,10775.8009259259,135,No,Male
1990-04-20 12:46:40,10761.2175925926,90,No,Male
1990-04-03 15:13:20,10778.1157407407,95,No,Male
1990-05-06 06:33:20,10745.4768518519,113,Yes,Male
1990-04-07 13:40:00,10774.1805555556,38,No,Male
1990-06-08 09:00:00,10712.375,101,Yes,Male
1990-04-30 22:46:40,10750.8009259259,80,Yes,Male
1990-03-19 18:40:00,10792.9305555556,60,Yes,Male
1990-04-02 22:33:20,10778.8101851852,128,No,Male
1990-01-24 20:13:20,10846.8657407407,99,Yes,Male
1990-02-03 08:00:00,10837.375,99,Yes,Male
1990-05-30 13:53:20,10721.1712962963,102,Yes,Male
1990-02-15 20:00:00,10824.875,136,Yes,Male
1990-04-04 02:20:00,10777.6527777778,126,No,Male
1990-05-06 12:06:40,10745.2453703704,124,Yes,Male
1990-06-15 02:06:40,10705.662037037,128,No,Male
1990-03-09 14:13:20,10803.1157407407,83,Yes,Male
1990-01-21 03:20:00,10850.5694444444,64,No,Male
1990-04-01 13:13:20,10780.1990740741,129,Yes,Male
1990-01-05 20:40:00,10865.8472222222,123,No,Male
1990-05-10 21:40:00,10740.8472222222,137,No,Male
1990-03-01 17:20:00,10810.9861111111,121,Yes,Male
1990-05-06 06:33:20,10745.4768518519,68,Yes,Male
1990-04-19 03:26:40,10762.6064814815,124,No,Male
1990-05-18 13:00:00,10733.2083333333,120,No,Male
1990-05-15 12:46:40,10736.2175925926,163,Yes,Male
1990-03-31 02:53:20,10781.587962963,110,No,Male
1990-03-07 06:40:00,10805.4305555556,80,No,Male
1990-06-11 20:20:00,10708.9027777778,85,No,Male
1990-06-04 16:06:40,10716.0787037037,113,No,Male
1990-03-25 02:26:40,10787.6064814815,98,Yes,Male
1990-05-04 21:13:20,10746.8657407407,68,Yes,Male
1990-04-27 22:33:20,10753.8101851852,122,No,Male
1990-06-18 13:26:40,10702.1898148148,86,Yes,Male
1990-05-12 07:00:00,10739.4583333333,118,No,Male
1990-06-06 01:26:40,10714.6898148148,99,No,Male
1990-06-15 02:06:40,10705.662037037,34,Yes,Male
1990-04-08 11:53:20,10773.2546296296,129,Yes,Male
1990-03-13 07:06:40,10799.412037037,117,No,Male
1990-05-30 02:46:40,10721.6342592593,93,Yes,Male
1990-01-21 03:20:00,10850.5694444444,132,No,Male
1990-02-21 03:46:40,10819.5509259259,101,No,Male
1990-03-04 23:06:40,10807.7453703704,79,Yes,Male
1990-03-20 16:53:20,10792.0046296296,128,No,Male
1990-02-28 08:00:00,10812.375,83,No,Male
1990-05-08 03:00:00,10743.625,101,Yes,Male
1990-02-06 08:13:20,10834.3657407407,100,Yes,Male
1990-04-26 07:40:00,10755.4305555556,127,No,Male
1990-05-31 06:33:20,10720.4768518519,85,Yes,Male
1990-05-18 01:53:20,10733.6712962963,126,No,Male
1990-01-03 07:33:20,10868.3935185185,119,No,Male
1990-01-10 22:53:20,10860.7546296296,116,Yes,Male
1990-06-17 20:46:40,10702.8842592593,148,No,Male
1990-02-04 11:46:40,10836.2175925926,91,No,Male
1990-05-13 05:13:20,10738.5324074074,74,No,Male
1990-05-19 11:13:20,10732.2824074074,109,No,Male
1990-01-27 14:53:20,10844.087962963,91,No,Male
1990-05-19 00:06:40,10732.7453703704,153,No,Male
1990-05-01 09:53:20,10750.337962963,112,Yes,Male
1990-03-26 11:46:40,10786.2175925926,67,No,Male
1990-02-06 13:46:40,10834.1342592593,120,Yes,Male
1990-06-02 03:00:00,10718.625,120,Yes,Male
1990-01-09 08:00:00,10862.375,117,No,Male
1990-01-10 06:13:20,10861.4490740741,174,No,Male
1990-02-09 14:00:00,10831.125,81,Yes,Male
1990-01-21 14:26:40,10850.1064814815,98,No,Male
1990-06-07 05:13:20,10713.5324074074,77,No,Male
1990-01-10 00:40:00,10861.6805555556,99,Yes,Male
1990-01-15 19:33:20,10855.8935185185,166,No,Male
1990-03-20 05:46:40,10792.4675925926,87,Yes,Male
1990-04-07 13:40:00,10774.1805555556,108,Yes,Male
1990-05-18 07:26:40,10733.4398148148,137,No,Male
1990-03-21 15:06:40,10791.0787037037,123,Yes,Male
1990-05-06 17:40:00,10745.0138888889,84,Yes,Male
1990-02-07 23:06:40,10832.7453703704,92,No,Male
1990-05-09 12:20:00,10742.2361111111,128,Yes,Male
1990-04-06 21:00:00,10774.875,97,Yes,Male
1990-06-01 04:46:40,10719.5509259259,110,No,Male
1990-03-12 08:53:20,10800.337962963,111,No,Male
1990-06-09 01:40:00,10711.6805555556,65,No,Male
1990-02-18 14:40:00,10822.0972222222,85,No,Male
1990-04-18 21:53:20,10762.837962963,108,Yes,Male
1990-02-21 09:20:00,10819.3194444444,56,Yes,Male
1990-05-24 07:53:20,10727.4212962963,93,Yes,Male
1990-02-24 04:00:00,10816.5416666667,133,No,Male
1990-01-04 00:13:20,10867.6990740741,51,No,Male
1990-03-25 19:06:40,10786.912037037,84,Yes,Male
1990-02-16 18:13:20,10823.9490740741,98,No,Male
1990-04-20 18:20:00,10760.9861111111,92,Yes,Male
1990-02-26 00:26:40,10814.6898148148,113,No,Male
1990-06-05 14:20:00,10715.1527777778,100,No,Male
1990-05-12 18:06:40,10738.9953703704,145,No,Male
1990-02-11 04:53:20,10829.5046296296,100,Yes,Male
1990-04-01 13:13:20,10780.1990740741,90,No,Male
1990-06-05 19:53:20,10714.9212962963,62,Yes,Male
1990-03-15 09:06:40,10797.3287037037,85,No,Male
1990-03-18 14:53:20,10794.087962963,113,No,Male
1990-02-12 03:06:40,10828.5787037037,96,Yes,Male
1990-05-31 06:33:20,10720.4768518519,90,No,Male
1990-05-13 10:46:40,10738.3009259259,117,Yes,Male
1990-01-25 01:46:40,10846.6342592593,112,No,Male
1990-03-09 19:46:40,10802.8842592593,88,Yes,Male
1990-06-02 03:00:00,10718.625,69,Yes,Male
1990-02-16 23:46:40,10823.7175925926,90,Yes,Male
1990-05-17 20:20:00,10733.9027777778,105,Yes,Male
1990-05-28 23:00:00,10722.7916666667,141,No,Male
1990-02-08 04:40:00,10832.5138888889,112,Yes,Male
1990-02-01 06:00:00,10839.4583333333,106,Yes,Male
1990-06-03 23:26:40,10716.7731481481,132,Yes,Male
1990-05-12 18:06:40,10738.9953703704,125,Yes,Male
1990-05-08 14:06:40,10743.162037037,15,No,Male
1990-03-26 22:53:20,10785.7546296296,71,Yes,Male
1990-01-09 02:26:40,10862.6064814815,51,Yes,Male
1990-01-05 04:00:00,10866.5416666667,77,No,Male
1990-04-21 11:00:00,10760.2916666667,68,Yes,Male
1990-04-14 12:20:00,10767.2361111111,122,No,Male
1990-02-21 03:46:40,10819.5509259259,165,No,Male
1990-06-11 20:20:00,10708.9027777778,98,Yes,Male
1990-05-04 21:13:20,10746.8657407407,45,Yes,Male
1990-04-04 19:00:00,10776.9583333333,90,Yes,Male
1990-03-04 12:00:00,10808.2083333333,128,No,Male
1990-01-04 11:20:00,10867.2361111111,118,No,Male
1990-02-06 02:40:00,10834.5972222222,67,No,Male
1990-02-05 21:06:40,10834.8287037037,91,No,Male
1990-01-20 21:46:40,10850.8009259259,96,No,Male
1990-03-26 00:40:00,10786.6805555556,63,Yes,Male
1990-05-13 10:46:40,10738.3009259259,131,Yes,Male
1990-01-30 04:00:00,10841.5416666667,117,Yes,Male
1990-05-15 12:46:40,10736.2175925926,93,Yes,Male
1990-06-01 21:26:40,10718.8564814815,94,No,Male
1990-02-23 16:53:20,10817.0046296296,69,No,Male
1990-02-04 22:53:20,10835.7546296296,48,No,Male
1990-01-16 23:20:00,10854.7361111111,111,No,Male
1990-01-07 00:26:40,10864.6898148148,69,No,Male
1990-02-25 18:53:20,10814.9212962963,59,No,Male
1990-04-29 02:20:00,10752.6527777778,82,Yes,Male
1990-01-22 23:46:40,10848.7175925926,55,Yes,Male
1990-02-23 22:26:40,10816.7731481481,113,Yes,Male
1990-02-15 20:00:00,10824.875,129,Yes,Male
1990-01-04 05:46:40,10867.4675925926,75,Yes,Male
1990-06-18 02:20:00,10702.6527777778,94,No,Male
1990-03-07 06:40:00,10805.4305555556,76,Yes,Male
1990-03-30 04:40:00,10782.5138888889,78,No,Male
1990-03-15 14:40:00,10797.0972222222,95,No,Male
1990-03-23 17:06:40,10788.9953703704,101,Yes,Male
1990-03-24 15:20:00,10788.0694444444,74,Yes,Male
1990-06-03 06:46:40,10717.4675925926,72,No,Male
1990-01-28 13:06:40,10843.162037037,112,Yes,Male
1990-01-28 13:06:40,10843.162037037,90,Yes,Male
1990-03-14 16:26:40,10798.0231481481,65,No,Male
1990-01-08 09:46:40,10863.3009259259,99,Yes,Male
1990-01-14 10:13:20,10857.2824074074,142,Yes,Male
1990-03-06 19:33:20,10805.8935185185,85,No,Male
1990-05-10 05:00:00,10741.5416666667,32,No,Male
1990-04-20 01:40:00,10761.6805555556,73,Yes,Male
1990-03-19 07:33:20,10793.3935185185,65,No,Male
1990-04-25 15:00:00,10756.125,108,No,Male
1990-02-01 17:06:40,10838.9953703704,83,No,Male
1990-06-09 12:46:40,10711.2175925926,90,Yes,Male
1990-04-14 23:26:40,10766.7731481481,130,Yes,Male
1990-02-18 09:06:40,10822.3287037037,98,No,Male
1990-02-10 01:06:40,10830.662037037,99,Yes,Male
1990-01-13 12:00:00,10858.2083333333,82,No,Male
1990-01-01 05:33:20,10870.4768518519,133,Yes,Male
1990-05-09 17:53:20,10742.0046296296,73,No,Male
1990-05-13 05:13:20,10738.5324074074,119,No,Male
1990-01-11 04:26:40,10860.5231481481,94,Yes,Male
1990-04-16 08:46:40,10765.3842592593,101,No,Male
1990-01-18 03:06:40,10853.5787037037,122,Yes,Male
1990-05-02 02:33:20,10749.6435185185,67,Yes,Male
1990-02-27 15:20:00,10813.0694444444,20,No,Male
1990-03-08 16:00:00,10804.0416666667,115,Yes,Male
1990-05-20 15:00:00,10731.125,137,No,Male
1990-04-03 09:40:00,10778.3472222222,113,No,Male
1990-03-09 14:13:20,10803.1157407407,164,No,Male
1990-01-11 15:33:20,10860.0601851852,114,No,Male
1990-01-26 05:33:20,10845.4768518519,104,Yes,Male
1990-01-29 22:26:40,10841.7731481481,106,Yes,Male
1990-04-25 20:33:20,10755.8935185185,128,Yes,Male
1990-02-13 01:20:00,10827.6527777778,115,Yes,Male
1990-05-16 11:00:00,10735.2916666667,125,No,Male
1990-04-15 05:00:00,10766.5416666667,103,Yes,Male
1990-04-28 15:13:20,10753.1157407407,93,Yes,Male
1990-04-19 20:06:40,10761.912037037,135,Yes,Male
1990-04-21 16:33:20,10760.0601851852,108,Yes,Male
1990-04-06 04:20:00,10775.5694444444,105,Yes,Male
1990-02-20 00:00:00,10820.7083333333,99,Yes,Male
1990-03-01 06:13:20,10811.4490740741,38,Yes,Male
1990-04-05 11:40:00,10776.2638888889,78,Yes,Male
1990-05-03 11:53:20,10748.2546296296,135,No,Male
1990-02-26 17:06:40,10813.9953703704,128,Yes,Male
1990-02-27 09:46:40,10813.3009259259,120,Yes,Male
1990-05-11 19:53:20,10739.9212962963,39,No,Male
1990-04-29 07:53:20,10752.4212962963,71,No,Male
1990-05-09 01:13:20,10742.6990740741,93,Yes,Male
1990-03-17 00:00:00,10795.7083333333,89,No,Male
1990-06-15 07:40:00,10705.4305555556,87,No,Male
1990-04-03 04:06:40,10778.5787037037,96,No,Male
1990-01-21 14:26:40,10850.1064814815,133,Yes,Male
1990-03-21 09:33:20,10791.3101851852,118,Yes,Male
1990-02-07 06:26:40,10833.4398148148,144,Yes,Male
1990-05-03 17:26:40,10748.0231481481,94,Yes,Male
1990-06-13 11:13:20,10707.2824074074,99,Yes,Male
1990-02-07 06:26:40,10833.4398148148,101,No,Male
1990-01-23 16:26:40,10848.0231481481,103,Yes,Male
1990-03-15 09:06:40,10797.3287037037,110,Yes,Male
1990-02-28 02:26:40,10812.6064814815,104,No,Male
1990-06-01 21:26:40,10718.8564814815,67,No,Male
1990-02-03 08:00:00,10837.375,190,No,Male
1990-05-20 03:53:20,10731.587962963,153,No,Male
1990-01-02 09:20:00,10869.3194444444,109,No,Male
1990-01-19 18:00:00,10851.9583333333,144,No,Male
1990-02-26 00:26:40,10814.6898148148,86,No,Male
1990-06-18 13:26:40,10702.1898148148,126,No,Male
1990-04-11 17:40:00,10770.0138888889,144,No,Male
1990-03-27 15:33:20,10785.0601851852,129,No,Male
1990-05-01 15:26:40,10750.1064814815,114,No,Male
1990-03-09 08:40:00,10803.3472222222,101,No,Male
1990-04-24 22:20:00,10756.8194444444,119,No,Male
1990-04-18 16:20:00,10763.0694444444,101,No,Male
1990-05-30 02:46:40,10721.6342592593,57,Yes,Male
1990-03-09 08:40:00,10803.3472222222,59,Yes,Male
1990-05-03 06:20:00,10748.4861111111,96,No,Male
