"FedID","UnivName","State","Tier","AssistProf","AssocProf","FullProf"
1536,"University of Miami","FL","I",40800,51000,69300
1537,"University of South Florida","FL","I",36900,41800,57100
1538,"University of Tampa","FL","III",37100,42500,49500
1542,"Agnes Scott College","GA","III",35600,42100,52700
1544,"Albany State College","GA","III",33500,39500,44400
1546,"Armstrong State College","GA","III",31500,36700,46200
1552,"Augusta College","GA","II",33600,40900,50300
1554,"Berry College","GA","III",34300,40300,51500
1561,"Columbus College","GA","II",33300,37500,45600
1564,"Emory University","GA","I",45100,54700,79600
1566,"Fort Valley State College","GA","III",33900,38200,47100
1569,"Georgia Institute of Tech.","GA","I",46200,51700,68400
1570,"Southern Coll. of Technology","GA","III",36000,38600,45700
1572,"Georgia Southern University","GA","II",32800,40800,49500
1574,"Georgia State University","GA","I",39000,47400,66600
1577,"Kennesaw State College","GA","II",35300,42800,52300
1580,"Mercer University-Entire","GA","II",35100,42300,55500
1586,"Oglethorpe University","GA","III",32900,45400,51600
1591,"Shorter College","GA","III",29400,30800,37000
1598,"University of Georgia","GA","I",37800,44400,61900
1599,"Valdosta State University","GA","II",34400,38600,47700
1601,"West Georgia College","GA","II",35300,39100,46600
1602,"Georgia College","GA","II",34000,38800,44700
1610,"Univ. of Hawaii at Manoa","HI","I",45800,53200,71300
1616,"Boise State University","ID","II",35400,39100,44800
1617,"Albertson Coll. of Idaho","ID","III",26600,33800,42400
1620,"Idaho State University","ID","II",33700,38200,46600
1621,"Lewis-Clark State College","ID","III",29200,32900,39100
1624,"Northwest Nazarene College","ID","III",NA,NA,NA
1626,"University of Idaho","ID","I",37300,40800,51400
1633,"Augustana College","IL","III",36200,42500,52700
1634,"Aurora University","IL","III",33900,37900,43400
1635,"Barat College","IL","III",33300,40500,50700
1639,"Blackburn University","IL","III",NA,NA,NA
1641,"Bradley University","IL","II",37800,46400,57000
1664,"College of Saint Francis","IL","III",34500,42200,44600
1665,"Columbia College","IL","III",NA,NA,NA
1666,"Concordia University","IL","III",29500,35100,39900
1671,"DePaul University","IL","II",42700,54300,70200
1674,"Eastern Illinois University","IL","II",33300,37300,44200
1678,"Eureka College","IL","III",31500,37000,NA
1684,"Greenville College","IL","III",29200,33100,37400
1688,"Illinois College","IL","III",34700,42400,52200
1691,"Illinois Institute of Tech.","IL","I",45200,48000,68000
1692,"Illinois State University","IL","I",37300,43600,54800
1693,"Northeastern Illinois Univ.","IL","II",35900,37800,46000
1694,"Chicago State University","IL","II",32000,36900,44600
1696,"Illinois Wesleyan University","IL","III",37400,45200,57000
1700,"Judson College","IL","III",30500,35800,40000
1703,"Kendall College","IL","III",NA,35700,NA
1704,"Knox College","IL","III",34200,41400,50800
1706,"Lake Forest College","IL","III",40200,47500,64400
1707,"Lewis University","IL","II",33000,39200,46700
1710,"Loyola Univ. of Chicago","IL","I",43300,53600,76100
1717,"MacMurray College","IL","III",25000,26300,32400
1722,"McKendree College","IL","III",34100,39700,43300
1724,"Millikin University","IL","III",31300,40900,47800
1725,"Monmouth College","IL","III",32500,33900,44300
1733,"National-Louis University","IL","II",33700,40500,49000
1734,"North Central College","IL","III",34800,39900,47300
1735,"North Park College","IL","III",28500,33700,41500
1737,"Northern Illinois University","IL","I",37500,43500,57800
1739,"Northwestern University","IL","I",49600,59600,86000
1741,"Olivet Nazarene University","IL","II",27800,33500,39100
1744,"Principia College","IL","III",34500,40000,46500
1745,"Quincy University","IL","III",28500,37100,37200
1749,"Roosevelt University","IL","II",35900,40500,48400
1750,"Rosary College","IL","III",37700,37800,44800
1758,"Southern Ill.Univ-Carbondale","IL","I",35900,43600,56400
1759,"Southern Ill.Univ-Edwardsvle","IL","II",38900,44200,53100
1767,"Illinois Benedictine College","IL","II",31500,39500,46300
1768,"Saint Xavier University","IL","II",38800,45200,55100
1772,"Trinity College","IL","III",29100,34600,NA
1774,"University of Chicago","IL","I",51500,58600,89400
1775,"Univ. of Illinois-Urbana","IL","I",42100,49300,68200
1776,"Univ. of Illinois-Chicago","IL","I",41100,47600,65600
1780,"Western Illinois University","IL","II",35000,42700,50600
1781,"Wheaton College","IL","II",36800,43700,51000
1785,"Anderson University","IN","III",31600,34000,41500
1786,"Ball State University","IN","I",33200,41000,51700
1787,"Bethel College","IN","III",28500,NA,NA
1788,"Butler University","IN","II",36600,44200,52100
1792,"DePauw University","IN","III",36100,43300,54000
1793,"Earlham College","IN","III",33800,39400,51400
1795,"University of Evansville","IN","II",35100,41500,50000
1798,"Franklin College of Indiana","IN","III",32500,36300,44000
1799,"Goshen College","IN","III",29100,34100,38800
1800,"Grace College","IN","III",22800,26400,32600
1801,"Hanover College","IN","III",37700,43700,55500
1803,"Huntington College","IN","III",30500,36700,43800
1804,"University of Indianapolis","IN","II",35800,40800,48700
1808,"Univ. of Southern Indiana","IN","II",37700,42100,49300
1809,"Indiana Univ.-Bloomington","IN","I",39900,47900,67400
1811,"Indiana Univ.-East","IN","III",32700,40500,NA
1812,"Indiana-Purdue U.-Fort Wayne","IN","II",34000,40800,49800
1813,"Indiana Univ.-Indianapolis","IN","II",40500,46900,64300
1814,"Indiana Univ. at Kokomo","IN","III",38000,43200,51900
1815,"Indiana Univ.-Northwest","IN","II",35500,44600,54400
1816,"Indiana Univ. at South Bend","IN","II",39100,44500,54400
1817,"Indiana Univ.-Southeast","IN","II",36900,40800,52900
1820,"Manchester College","IN","III",28900,34000,41200
1821,"Marian College","IN","III",30300,32900,42000
1822,"Indiana Wesleyan University","IN","III",29400,34200,39600
1824,"Oakland City College","IN","III",25200,28200,NA
1825,"Purdue Univ.-Main Campus","IN","I",42300,48500,72100
1827,"Purdue University-Calumet","IN","II",36400,41300,51900
1830,"Rose-Hulman Inst. of Tech.","IN","III",44700,52200,60800
1832,"Saint Francis College","IN","III",31300,33400,NA
1833,"Saint Joseph's College","IN","III",31200,37400,37300
1834,"Calumet College of St.Joseph","IN","III",23500,26400,32400
1835,"Saint Mary-of-the-Woods Coll","IN","III",19900,23400,30700
1836,"Saint Mary's College","IN","III",33100,39100,52400
1837,"Saint Meinrad College","IN","III",NA,NA,35700
1838,"Taylor University","IN","III",30000,35200,40400
1839,"Tri-State University","IN","III",29100,32400,39500
1840,"University of Notre Dame","IN","I",47000,56200,79800
1842,"Valparaiso University","IN","II",37200,42300,55900
1844,"Wabash College","IN","III",37100,47400,61200
1846,"Briar Cliff College","IA","III",28600,32400,36700
1847,"Buena Vista College","IA","III",33900,41600,48400
1850,"Central University of Iowa","IA","III",33400,41300,46400
1852,"Clarke College","IA","III",31200,36100,43600
1854,"Coe College","IA","III",34000,42100,51600
1856,"Cornell College","IA","III",36800,42600,57800
1859,"Dordt College","IA","III",30800,35600,41100
1860,"Drake University","IA","II",40900,45800,60100
1866,"Graceland College","IA","III",30100,33100,41100
1867,"Grand View College","IA","III",29500,32000,38500
1868,"Grinnell College","IA","III",40500,51700,64200
1869,"Iowa State University","IA","I",40400,50600,68400
1873,"Loras College","IA","III",31400,36300,41900
1874,"Luther College","IA","III",34700,39900,47800
1879,"Morningside College","IA","III",30300,33100,38900
1880,"Mount Mercy College","IA","III",33400,35600,37900
1881,"Mount St. Clare College","IA","II",NA,NA,NA
1883,"Northwestern College","IA","III",31100,37200,43000
1887,"Simpson College","IA","III",33900,37700,49100
1889,"St. Ambrose University","IA","III",32500,37400,43100
1890,"University of Northern Iowa","IA","II",39000,46900,58600
1891,"University of Dubuque","IA","III",30900,31500,35100
1892,"University of Iowa","IA","I",43200,50900,70600
1893,"Upper Iowa University","IA","III",28700,NA,NA
1896,"Wartburg College","IA","III",30800,37000,44700
1899,"Teikyo Westmar University","IA","III",28900,31400,NA
1900,"William Penn College","IA","III",26900,31200,35100
1903,"Baker University","KS","III",28800,31800,36900
1904,"Bethany College","KS","III",24800,28000,33500
1905,"Bethel College","KS","III",26700,28500,32500
1915,"Fort Hays State University","KS","II",32500,37800,44600
1926,"Pittsburg State University","KS","II",33100,38100,45000
1927,"Emporia State University","KS","II",33000,39000,43500
1928,"Kansas State University","KS","I",36800,41900,55000
1929,"Kansas Wesleyan University","KS","III",26500,29000,33700
1933,"McPherson College","KS","III",25400,27400,31800
1937,"Ottawa University","KS","III",26400,29200,33800
1940,"Southwestern College","KS","III",27800,31800,34000
1943,"Saint Mary College","KS","III",26100,30100,33600
1946,"Tabor College","KS","III",22200,NA,30400
1948,"University of Kansas-Main","KS","I",36700,42200,57900
1949,"Washburn University","KS","II",33300,43800,59400
1950,"Wichita State University","KS","II",36100,41700,55500
1954,"Bellarmine College","KY","II",32600,38500,47300
1955,"Berea College","KY","III",35500,42800,55200
1958,"Brescia College","KY","III",27300,32200,NA
1959,"Campbellsville College","KY","III",25200,27800,34200
1960,"Spalding University","KY","III",28900,31500,35900
1961,"Centre College","KY","III",35100,41800,52100
1962,"Cumberland College","KY","III",27200,29100,35400
1963,"Eastern Kentucky University","KY","II",37100,43900,51900
1964,"Georgetown College","KY","III",29700,33800,39800
1968,"Kentucky State University","KY","III",32900,40300,46000
1969,"Kentucky Wesleyan College","KY","III",29200,32600,38300
1972,"Lindsey Wilson College","KY","III",27800,35900,NA
1976,"Morehead State University","KY","II",32200,39500,47800
1977,"Murray State University","KY","II",34200,39600,46200
1980,"Pikeville College","KY","III",27500,31400,35900
1987,"Transylvania University","KY","III",31800,39300,44700
1988,"Union College","KY","III",25500,28700,31400
1989,"University of Kentucky","KY","I",41800,47300,63400
1999,"University of Louisville","KY","I",36800,44200,58400
2001,"Thomas More College","KY","III",27700,32400,35200
2002,"Western Kentucky University","KY","II",34700,40800,48500
2003,"Centenary College of La.","LA","III",32400,38000,49900
2004,"Dillard University","LA","III",34200,37300,49400
2005,"Nicholls State University","LA","III",31600,36100,44000
2006,"Grambling State University","LA","II",32900,39200,44200
2007,"Louisiana College","LA","III",30800,32400,37500
2008,"Louisiana Tech University","LA","II",34400,40800,47200
2010,"Louisiana St.Univ.and A&M C.","LA","I",37900,43700,59400
2013,"Louisiana St.Univ.Shreveport","LA","II",33700,41400,45800
2015,"University of New Orleans","LA","II",35200,37800,51200
2016,"Loyola University","LA","II",39300,45100,59300
2017,"McNeese State University","LA","II",32300,37400,45600
2020,"Northeast Louisiana Univ.","LA","II",32500,37600,45900
2021,"Northwestern State Univ.","LA","II",31200,36000,41800
2023,"Our Lady of Holy Cross Coll.","LA","III",32500,30600,NA
2024,"Southeastern Louisiana Univ.","LA","II",32900,40500,46800
2026,"Southern Univ.at New Orleans","LA","III",29800,32900,40600
2029,"Tulane University","LA","I",41800,51400,71300
2031,"Univ. Southwestern Louisiana","LA","I",35900,40900,53300
2032,"Xavier University of La.","LA","II",33200,38900,45900
2033,"Univ.of Maine at Presque Isl","ME","III",30200,35400,43900
2036,"Bates College","ME","III",40400,49000,67100
2038,"Bowdoin College","ME","III",41800,52700,73800
2039,"Colby College","ME","III",38300,51500,74500
2040,"Univ.of Maine at Farmington","ME","III",29200,34800,46400
2041,"Univ.of Maine at Fort Kent","ME","III",32000,34700,43600
2043,"Husson College","ME","III",30200,35800,40700
2050,"University of New England","ME","II",32300,38000,45000
2051,"Saint Joseph's College","ME","III",28300,32100,NA
2052,"Thomas College","ME","III",29700,33800,NA
2053,"Univ.of Maine at Orono","ME","I",36600,43600,57400
2055,"Univ.of Maine at Machias","ME","III",28400,35500,46500
2062,"Bowie State University","MD","II",34900,43300,51000
2065,"College of Notre Dame of Md.","MD","III",30900,37700,44300
2067,"Columbia Union College","MD","III",29300,29700,30800
2068,"Coppin State College","MD","III",36600,43500,55700
2072,"Frostburg State University","MD","II",36600,42300,49800
2073,"Goucher College","MD","III",35800,38700,52900
2076,"Hood College","MD","II",35200,42500,51600
2077,"Johns Hopkins University","MD","I",43500,54200,79800
2078,"Loyola College in Maryland","MD","II",39700,50000,63200
2083,"Morgan State University","MD","II",43900,51700,59400
2086,"Mount Saint Mary's Coll.&Sem","MD","III",31100,38400,46500
2091,"Salisbury State University","MD","II",35700,44500,54300
2092,"Saint John's College-Main","MD","III",NA,NA,NA
2093,"Saint John's College","NM","III",NA,NA,NA
2095,"St.Mary's Coll.of Maryland","MD","III",34700,42600,56000
2099,"Towson State University","MD","II",38800,43300,53100
2101,"U. S. Naval Academy","MD","III",37700,45500,59500
2102,"University of Baltimore","MD","II",49000,56000,68000
2103,"Univ.of Maryland-Coll. Park","MD","I",40600,48700,70300
2105,"Univ.of Maryland-Balto.Co.","MD","I",39500,45500,63800
2106,"Univ.of Maryland-Estrn Shore","MD","II",38800,45500,50000
2108,"Washington College","MD","III",34800,41900,49600
2109,"Western Maryland College","MD","III",31300,37900,47700
2115,"Amherst College","MA","III",42500,51600,72600
2117,"Anna Maria College","MA","III",31800,36400,40700
2118,"Assumption College","MA","III",32500,40000,47900
2120,"Merrimack College","MA","III",32600,39300,50700
2121,"Babson College","MA","III",55700,61300,78700
2124,"Bentley College","MA","II",49300,56600,71700
2126,"Berklee College of Music","MA","III",32900,40200,50400
2128,"Boston College","MA","I",49600,56900,78400
2132,"Bradford College","MA","III",31000,35200,44700
2133,"Brandeis University","MA","I",40300,49300,68700
2139,"Clark University","MA","II",39500,46900,66400
2140,"Coll.of Our Lady of the Elms","MA","III",30500,35300,43100
2141,"College of the Holy Cross","MA","III",40600,50600,69500
2146,"Emerson College","MA","II",38600,50200,66900
2153,"Gordon College","MA","III",31900,35200,43200
2155,"Harvard University","MA","I",50000,55900,100900
2158,"Lasell College","MA","III",32200,33600,NA
2161,"Univ. of Mass. at Lowell","MA","I",46400,53900,66400
2178,"Massachusetts Inst. of Tech.","MA","I",52800,63700,90300
2183,"Bridgewater State College","MA","II",40000,44000,51700
2184,"Fitchburg State College","MA","II",39500,42900,51200
2187,"North Adams State College","MA","III",36100,39400,51000
2189,"Westfield State College","MA","II",37800,41900,52300
2190,"Worcester State College","MA","II",37000,45600,52800
2192,"Mount Holyoke College","MA","III",40000,50500,69400
2199,"Northeastern University","MA","I",46000,52500,68800
2206,"Regis College","MA","III",34500,42500,50400
2208,"Simmons College","MA","II",38600,47100,58900
2209,"Smith College","MA","II",40500,51400,73200
2210,"Univ. of Mass.-Dartmouth","MA","II",42000,48200,57200
2211,"Springfield College","MA","II",32100,40400,52000
2217,"Stonehill College","MA","III",35400,42800,51300
2218,"Suffolk University","MA","II",48400,54800,72700
2219,"Tufts University","MA","I",44700,54900,73500
2221,"Univ. Massachussets-Amherst","MA","I",43800,53700,70400
2222,"Univ. Massachusetts-Boston","MA","II",44500,54300,65600
2224,"Wellesley College","MA","III",45300,55000,75700
2226,"Western New England College","MA","II",43700,49700,65900
2227,"Wheaton College","MA","III",35700,43500,60200
2228,"Wheelock College","MA","II",36200,42000,54500
2229,"Williams College","MA","III",41700,50300,70700
2233,"Worcester Polytechnic Inst.","MA","II",45100,52700,65900
2234,"Adrian College","MI","III",31600,36500,43900
2235,"Albion College","MI","III",34600,44300,56200
2236,"Alma College","MI","III",33500,40800,52300
2239,"Aquinas College","MI","III",27500,31300,38700
2241,"Calvin College","MI","III",36300,41000,47100
2243,"Central Michigan University","MI","II",39700,46000,58800
2247,"Concordia College","MI","III",25700,30400,34200
2252,"William Tyndale College","MI","III",NA,NA,30900
2259,"Eastern Michigan University","MI","II",38900,44700,56000
2260,"Ferris State University","MI","II",40900,47000,54600
2266,"Grand Rapids Baptist College","MI","III",25400,28700,35300
2268,"Grand Valley State Univ.","MI","III",38700,47900,56800
2273,"Hope College","MI","III",35000,42000,51500
2275,"Kalamazoo College","MI","III",35200,44000,55300
2282,"Madonna University","MI","III",35200,39500,48200
2284,"Marygrove College","MI","III",29000,36500,43300
2290,"Michigan State University","MI","I",41300,49300,65100
2292,"Michigan Technological Univ.","MI","II",42000,48200,66800
2293,"Lake Superior State Univ.","MI","III",35700,44600,51000
2301,"Northern Michigan University","MI","II",34700,45900,57100
2307,"Oakland University","MI","II",43200,51800,63300
2308,"Olivet College","MI","III",30600,NA,40000
2314,"Saginaw Valley State Univ.","MI","II",36400,44800,49900
2316,"Siena Heights College","MI","III",30000,34200,NA
2318,"Spring Arbor College","MI","III",28400,32100,36800
2326,"Univ.of Michigan-Dearborn","MI","II",40800,45200,55200
2327,"Univ.of Michigan-Flint","MI","II",40900,46000,56600
2329,"Wayne State University","MI","I",44700,52500,68300
2330,"Western Michigan University","MI","I",39600,48900,60300
2334,"Augsburg College","MN","III",31400,35600,43200
2336,"Bemidji State University","MN","II",34100,40300,49000
2340,"Carleton College","MN","III",39400,48600,63800
2341,"College of Saint Benedict","MN","III",33400,40400,49300
2342,"College of St. Catherine","MN","III",32600,36900,42800
2343,"College of St. Scholastica","MN","III",32700,37400,46100
2345,"University of St. Thomas","MN","II",36600,42900,56300
2346,"Concordia College-Moorhead","MN","III",35600,41900,52700
2347,"Concordia College-St. Paul","MN","III",31900,36300,40700
2353,"Gustavus Adolphus College","MN","III",33800,40200,48600
2354,"Hamline University","MN","II",34200,45100,55600
2358,"Macalester College","MN","III",40600,49200,63900
2360,"Mankato State University","MN","II",37100,44100,52300
2367,"Moorhead State University","MN","II",35300,42100,51200
2371,"Northwestern College","MN","III",31300,33900,37300
2375,"Southwest State University","MN","III",35500,41700,52500
2377,"St. Cloud State University","MN","II",35400,41700,51800
2379,"St. John's University","MN","III",35300,41200,51200
2380,"Saint Mary's Coll. of Minn.","MN","II",29500,39600,48800
2382,"St. Olaf College","MN","III",35500,41700,55100
2388,"Univ. Minnesota-Duluth","MN","II",38600,44600,55100
2389,"Univ. Minnesota-Morris","MN","III",33400,39900,53300
2394,"Winona State University","MN","III",35800,42000,51500
2396,"Alcorn State University","MS","III",32600,37100,41900
2397,"Belhaven College","MS","III",29800,30400,36400
2398,"Blue Mountain College","MS","III",NA,25900,28400
2403,"Delta State University","MS","II",31400,33700,40000
2410,"Jackson State University","MS","II",33700,39100,42500
2414,"Millsaps College","MS","III",32200,37600,49800
2422,"Mississippi Univ. for Women","MS","II",30600,NA,40000
2423,"Mississippi State University","MS","I",38900,43200,54000
2424,"Mississippi Valley St. Univ.","MS","III",28700,33100,35900
2433,"Rust College","MS","III",30200,28000,34100
2439,"Tougaloo College","MS","III",24400,26700,30000
2440,"University of Mississippi","MS","I",38400,42800,55800
2441,"Univ.of Southern Mississippi","MS","I",35200,43800,56200
2449,"Avila College","MO","III",29500,34000,37900
2453,"Central Methodist College","MO","III",25200,33600,40200
2454,"Central Missouri State Univ.","MO","II",37900,44000,51700
2456,"Columbia College","MO","III",27300,30700,36200
2460,"Culver-Stockton College","MO","III",29700,34800,39600
2461,"Drury College","MO","III",32300,39400,44800
2466,"Harris-Stowe State College","MO","III",30200,29800,35000
2473,"Kansas City Art Institute","MO","III",29900,NA,44000
2479,"Lincoln University","MO","II",28200,33500,41400
2480,"Lindenwood College","MO","II",30600,36700,41600
2482,"Maryville Univ. of St.Louis","MO","II",31000,35500,44900
2488,"Missouri Southern State Coll","MO","III",34900,40600,48900
2489,"Missouri Valley College","MO","III",28500,31800,NA
2490,"Missouri Western State Coll.","MO","III",33400,39300,47300
2495,"Northeast Missouri St. Univ.","MO","II",34200,41100,50500
2496,"Northwest Missouri St. Univ.","MO","II",34800,40400,52600
2498,"Park College","MO","III",28300,32000,34100
2499,"Rockhurst College","MO","III",35000,38000,44800
2500,"College of The Ozarks","MO","III",35000,39200,44600
2501,"Southeast Missouri St. Univ.","MO","II",35900,43200,50500
2503,"Southwest Missouri St. Univ.","MO","II",36400,42200,51600
2506,"Saint Louis Univ.-Main","MO","I",40200,47500,65700
2512,"Stephens College","MO","III",NA,NA,NA
2516,"Univ.of Missouri-Columbia","MO","I",40700,45600,60300
2517,"Univ.of Missouri-Rolla","MO","I",45400,50800,66300
2518,"Univ.of Missouri-Kansas City","MO","I",38100,44500,58000
