STATION,STATION_NAME,DATE,HPCP
COOP:427064,PROVO BYU UT US,19801122 05:00,0.02
COOP:427064,PROVO BYU UT US,19801122 06:00,0.02
COOP:427064,PROVO BYU UT US,19801122 07:00,0.01
COOP:427064,PROVO BYU UT US,19801122 08:00,0.01
COOP:427064,PROVO BYU UT US,19801122 09:00,0.04
COOP:427064,PROVO BYU UT US,19801122 10:00,0.01
COOP:427064,PROVO BYU UT US,19801122 11:00,0.01
COOP:427064,PROVO BYU UT US,19801122 15:00,0.01
COOP:427064,PROVO BYU UT US,19801122 16:00,0.01
COOP:427064,PROVO BYU UT US,19801122 17:00,0.04
COOP:427064,PROVO BYU UT US,19801123 18:00,0.01
COOP:427064,PROVO BYU UT US,19801123 19:00,0.01
COOP:427064,PROVO BYU UT US,19801123 20:00,0.04
COOP:427064,PROVO BYU UT US,19801123 21:00,0.03
COOP:427064,PROVO BYU UT US,19801123 22:00,0.06
COOP:427064,PROVO BYU UT US,19801123 23:00,0.09
COOP:427064,PROVO BYU UT US,19801124 00:00,0.10
COOP:427064,PROVO BYU UT US,19801124 01:00,0.04
COOP:427064,PROVO BYU UT US,19801124 07:00,0.01
COOP:427064,PROVO BYU UT US,19801124 08:00,0.01
COOP:427064,PROVO BYU UT US,19801124 09:00,0.02
COOP:427064,PROVO BYU UT US,19801124 11:00,0.01
COOP:427064,PROVO BYU UT US,19801124 12:00,0.06
COOP:427064,PROVO BYU UT US,19801124 13:00,0.04
COOP:427064,PROVO BYU UT US,19801124 14:00,0.01
COOP:427064,PROVO BYU UT US,19801124 15:00,0.01
COOP:427064,PROVO BYU UT US,19801124 16:00,0.01
COOP:427064,PROVO BYU UT US,19801124 17:00,0.03
COOP:427064,PROVO BYU UT US,19801201 01:00,0.00
COOP:427064,PROVO BYU UT US,19801205 02:00,0.06
COOP:427064,PROVO BYU UT US,19801205 03:00,0.07
COOP:427064,PROVO BYU UT US,19801205 04:00,0.09
COOP:427064,PROVO BYU UT US,19801205 05:00,0.04
COOP:427064,PROVO BYU UT US,19801205 06:00,0.04
COOP:427064,PROVO BYU UT US,19801205 07:00,0.03
COOP:427064,PROVO BYU UT US,19801205 08:00,0.06
COOP:427064,PROVO BYU UT US,19801205 09:00,0.07
COOP:427064,PROVO BYU UT US,19801205 10:00,0.04
COOP:427064,PROVO BYU UT US,19801205 11:00,0.04
COOP:427064,PROVO BYU UT US,19801205 12:00,0.03
COOP:427064,PROVO BYU UT US,19801205 13:00,0.02
COOP:427064,PROVO BYU UT US,19801207 01:00,0.03
COOP:427064,PROVO BYU UT US,19801207 02:00,0.03
COOP:427064,PROVO BYU UT US,19801207 03:00,0.03
COOP:427064,PROVO BYU UT US,19801207 04:00,0.03
COOP:427064,PROVO BYU UT US,19801221 17:00,999.99
COOP:427064,PROVO BYU UT US,19801222 16:00,0.06
COOP:427064,PROVO BYU UT US,19810101 01:00,0.00
COOP:427064,PROVO BYU UT US,19810104 06:00,0.08
COOP:427064,PROVO BYU UT US,19810104 08:00,0.01
COOP:427064,PROVO BYU UT US,19810104 09:00,0.01
COOP:427064,PROVO BYU UT US,19810104 10:00,0.01
COOP:427064,PROVO BYU UT US,19810104 11:00,0.04
COOP:427064,PROVO BYU UT US,19810104 12:00,0.01
COOP:427064,PROVO BYU UT US,19810104 13:00,0.06
COOP:427064,PROVO BYU UT US,19810104 14:00,0.04
COOP:427064,PROVO BYU UT US,19810104 15:00,0.02
COOP:427064,PROVO BYU UT US,19810104 16:00,0.04
COOP:427064,PROVO BYU UT US,19810104 17:00,0.03
COOP:427064,PROVO BYU UT US,19810124 04:00,0.05
COOP:427064,PROVO BYU UT US,19810124 07:00,0.07
COOP:427064,PROVO BYU UT US,19810124 16:00,0.02
COOP:427064,PROVO BYU UT US,19810124 17:00,0.03
COOP:427064,PROVO BYU UT US,19810130 01:00,999.99
COOP:427064,PROVO BYU UT US,19810130 10:00,0.10
COOP:427064,PROVO BYU UT US,19810130 16:00,0.03
COOP:427064,PROVO BYU UT US,19810130 17:00,0.05
COOP:427064,PROVO BYU UT US,19810130 18:00,0.03
COOP:427064,PROVO BYU UT US,19810130 19:00,0.06
COOP:427064,PROVO BYU UT US,19810130 20:00,0.01
COOP:427064,PROVO BYU UT US,19810130 21:00,0.01
COOP:427064,PROVO BYU UT US,19810131 03:00,0.01
COOP:427064,PROVO BYU UT US,19810131 06:00,0.04
COOP:427064,PROVO BYU UT US,19810131 07:00,0.03
COOP:427064,PROVO BYU UT US,19810131 08:00,0.04
COOP:427064,PROVO BYU UT US,19810131 09:00,0.03
COOP:427064,PROVO BYU UT US,19810131 10:00,0.09
COOP:427064,PROVO BYU UT US,19810131 11:00,0.08
COOP:427064,PROVO BYU UT US,19810131 12:00,0.05
COOP:427064,PROVO BYU UT US,19810131 13:00,0.03
COOP:427064,PROVO BYU UT US,19810131 14:00,0.03
COOP:427064,PROVO BYU UT US,19810131 15:00,0.01
COOP:427064,PROVO BYU UT US,19810201 01:00,0.00
COOP:427064,PROVO BYU UT US,19810210 00:00,0.02
COOP:427064,PROVO BYU UT US,19810210 01:00,0.01
COOP:427064,PROVO BYU UT US,19810210 03:00,0.04
COOP:427064,PROVO BYU UT US,19810217 05:00,0.04
COOP:427064,PROVO BYU UT US,19810217 06:00,0.03
COOP:427064,PROVO BYU UT US,19810226 05:00,0.05
COOP:427064,PROVO BYU UT US,19810226 06:00,0.02
COOP:427064,PROVO BYU UT US,19810226 07:00,0.01
COOP:427064,PROVO BYU UT US,19810226 08:00,0.03
COOP:427064,PROVO BYU UT US,19810226 09:00,0.02
COOP:427064,PROVO BYU UT US,19810226 10:00,0.02
COOP:427064,PROVO BYU UT US,19810226 15:00,0.01
COOP:427064,PROVO BYU UT US,19810226 16:00,0.05
COOP:427064,PROVO BYU UT US,19810226 17:00,0.01
COOP:427064,PROVO BYU UT US,19810226 18:00,0.01
COOP:427064,PROVO BYU UT US,19810226 19:00,0.02
COOP:427064,PROVO BYU UT US,19810226 20:00,0.13
COOP:427064,PROVO BYU UT US,19810226 21:00,0.03
COOP:427064,PROVO BYU UT US,19810226 22:00,0.02
COOP:427064,PROVO BYU UT US,19810226 23:00,0.01
COOP:427064,PROVO BYU UT US,19810227 00:00,0.03
COOP:427064,PROVO BYU UT US,19810227 01:00,0.01
COOP:427064,PROVO BYU UT US,19810227 03:00,0.02
COOP:427064,PROVO BYU UT US,19810301 01:00,0.00
COOP:427064,PROVO BYU UT US,19810302 15:00,0.01
COOP:427064,PROVO BYU UT US,19810302 16:00,0.14
COOP:427064,PROVO BYU UT US,19810302 17:00,0.10
COOP:427064,PROVO BYU UT US,19810302 18:00,0.01
COOP:427064,PROVO BYU UT US,19810302 19:00,0.01
COOP:427064,PROVO BYU UT US,19810302 20:00,0.02
COOP:427064,PROVO BYU UT US,19810303 00:00,0.01
COOP:427064,PROVO BYU UT US,19810303 01:00,0.01
COOP:427064,PROVO BYU UT US,19810303 04:00,0.01
COOP:427064,PROVO BYU UT US,19810303 06:00,0.01
COOP:427064,PROVO BYU UT US,19810303 08:00,0.01
COOP:427064,PROVO BYU UT US,19810303 09:00,0.02
COOP:427064,PROVO BYU UT US,19810303 10:00,0.03
COOP:427064,PROVO BYU UT US,19810303 11:00,0.04
COOP:427064,PROVO BYU UT US,19810303 12:00,0.02
COOP:427064,PROVO BYU UT US,19810303 13:00,0.02
COOP:427064,PROVO BYU UT US,19810303 14:00,0.01
COOP:427064,PROVO BYU UT US,19810303 15:00,0.02
COOP:427064,PROVO BYU UT US,19810313 04:00,0.01
COOP:427064,PROVO BYU UT US,19810313 05:00,0.01
COOP:427064,PROVO BYU UT US,19810313 18:00,0.02
COOP:427064,PROVO BYU UT US,19810316 13:00,0.02
COOP:427064,PROVO BYU UT US,19810316 14:00,0.02
COOP:427064,PROVO BYU UT US,19810316 15:00,0.01
COOP:427064,PROVO BYU UT US,19810316 16:00,0.02
COOP:427064,PROVO BYU UT US,19810316 17:00,0.04
COOP:427064,PROVO BYU UT US,19810316 22:00,0.12
COOP:427064,PROVO BYU UT US,19810316 23:00,0.01
COOP:427064,PROVO BYU UT US,19810317 01:00,0.01
COOP:427064,PROVO BYU UT US,19810317 05:00,0.02
COOP:427064,PROVO BYU UT US,19810320 09:00,0.07
COOP:427064,PROVO BYU UT US,19810320 10:00,0.07
COOP:427064,PROVO BYU UT US,19810320 13:00,0.05
COOP:427064,PROVO BYU UT US,19810320 14:00,0.02
COOP:427064,PROVO BYU UT US,19810320 15:00,0.05
COOP:427064,PROVO BYU UT US,19810320 16:00,0.01
COOP:427064,PROVO BYU UT US,19810320 17:00,0.05
COOP:427064,PROVO BYU UT US,19810320 18:00,0.03
COOP:427064,PROVO BYU UT US,19810320 19:00,0.06
COOP:427064,PROVO BYU UT US,19810320 20:00,0.06
COOP:427064,PROVO BYU UT US,19810320 21:00,0.03
COOP:427064,PROVO BYU UT US,19810320 22:00,0.02
COOP:427064,PROVO BYU UT US,19810320 23:00,0.01
COOP:427064,PROVO BYU UT US,19810321 00:00,0.01
COOP:427064,PROVO BYU UT US,19810324 02:00,0.07
COOP:427064,PROVO BYU UT US,19810324 03:00,0.01
COOP:427064,PROVO BYU UT US,19810326 15:00,0.01
COOP:427064,PROVO BYU UT US,19810326 16:00,0.07
COOP:427064,PROVO BYU UT US,19810326 17:00,0.11
COOP:427064,PROVO BYU UT US,19810326 18:00,0.06
COOP:427064,PROVO BYU UT US,19810326 19:00,0.07
COOP:427064,PROVO BYU UT US,19810326 20:00,0.05
COOP:427064,PROVO BYU UT US,19810326 21:00,0.02
COOP:427064,PROVO BYU UT US,19810326 23:00,0.02
COOP:427064,PROVO BYU UT US,19810327 00:00,0.05
COOP:427064,PROVO BYU UT US,19810327 01:00,0.04
COOP:427064,PROVO BYU UT US,19810327 02:00,0.05
COOP:427064,PROVO BYU UT US,19810327 03:00,0.07
COOP:427064,PROVO BYU UT US,19810327 04:00,0.04
COOP:427064,PROVO BYU UT US,19810327 05:00,0.05
COOP:427064,PROVO BYU UT US,19810327 06:00,0.02
COOP:427064,PROVO BYU UT US,19810327 07:00,0.01
COOP:427064,PROVO BYU UT US,19810327 08:00,0.07
COOP:427064,PROVO BYU UT US,19810327 09:00,0.07
COOP:427064,PROVO BYU UT US,19810327 10:00,0.07
COOP:427064,PROVO BYU UT US,19810327 11:00,0.06
COOP:427064,PROVO BYU UT US,19810327 22:00,0.01
COOP:427064,PROVO BYU UT US,19810328 01:00,0.02
COOP:427064,PROVO BYU UT US,19810328 02:00,0.02
COOP:427064,PROVO BYU UT US,19810328 03:00,0.03
COOP:427064,PROVO BYU UT US,19810328 04:00,0.02
COOP:427064,PROVO BYU UT US,19810328 05:00,0.01
COOP:427064,PROVO BYU UT US,19810328 06:00,0.01
COOP:427064,PROVO BYU UT US,19810328 08:00,0.02
COOP:427064,PROVO BYU UT US,19810328 09:00,0.01
COOP:427064,PROVO BYU UT US,19810329 20:00,0.01
COOP:427064,PROVO BYU UT US,19810329 21:00,0.08
COOP:427064,PROVO BYU UT US,19810329 22:00,0.19
COOP:427064,PROVO BYU UT US,19810329 23:00,0.19
COOP:427064,PROVO BYU UT US,19810330 00:00,0.15
COOP:427064,PROVO BYU UT US,19810330 01:00,0.06
COOP:427064,PROVO BYU UT US,19810330 02:00,0.02
COOP:427064,PROVO BYU UT US,19810330 04:00,0.01
COOP:427064,PROVO BYU UT US,19810330 08:00,0.03
COOP:427064,PROVO BYU UT US,19810330 09:00,0.06
COOP:427064,PROVO BYU UT US,19810330 20:00,0.04
COOP:427064,PROVO BYU UT US,19810401 01:00,0.00
COOP:427064,PROVO BYU UT US,19810402 18:00,0.07
COOP:427064,PROVO BYU UT US,19810402 19:00,0.12
COOP:427064,PROVO BYU UT US,19810402 20:00,0.13
COOP:427064,PROVO BYU UT US,19810402 21:00,0.08
COOP:427064,PROVO BYU UT US,19810402 22:00,0.06
COOP:427064,PROVO BYU UT US,19810402 23:00,0.04
COOP:427064,PROVO BYU UT US,19810403 00:00,0.01
COOP:427064,PROVO BYU UT US,19810403 01:00,0.02
COOP:427064,PROVO BYU UT US,19810403 02:00,0.01
COOP:427064,PROVO BYU UT US,19810403 03:00,0.02
COOP:427064,PROVO BYU UT US,19810403 22:00,0.01
COOP:427064,PROVO BYU UT US,19810403 23:00,0.01
COOP:427064,PROVO BYU UT US,19810404 01:00,0.01
COOP:427064,PROVO BYU UT US,19810404 02:00,0.01
COOP:427064,PROVO BYU UT US,19810404 03:00,0.01
COOP:427064,PROVO BYU UT US,19810418 19:00,0.01
COOP:427064,PROVO BYU UT US,19810418 20:00,0.01
COOP:427064,PROVO BYU UT US,19810419 00:00,0.01
COOP:427064,PROVO BYU UT US,19810419 11:00,0.01
COOP:427064,PROVO BYU UT US,19810419 12:00,0.09
COOP:427064,PROVO BYU UT US,19810419 13:00,0.12
COOP:427064,PROVO BYU UT US,19810419 14:00,0.01
COOP:427064,PROVO BYU UT US,19810419 15:00,0.04
COOP:427064,PROVO BYU UT US,19810419 19:00,0.01
COOP:427064,PROVO BYU UT US,19810419 20:00,0.01
COOP:427064,PROVO BYU UT US,19810419 23:00,0.01
COOP:427064,PROVO BYU UT US,19810420 02:00,0.01
COOP:427064,PROVO BYU UT US,19810420 03:00,0.02
COOP:427064,PROVO BYU UT US,19810501 01:00,0.00
COOP:427064,PROVO BYU UT US,19810502 15:00,0.02
COOP:427064,PROVO BYU UT US,19810502 16:00,0.03
COOP:427064,PROVO BYU UT US,19810502 17:00,0.02
COOP:427064,PROVO BYU UT US,19810502 20:00,0.02
COOP:427064,PROVO BYU UT US,19810502 21:00,0.02
COOP:427064,PROVO BYU UT US,19810503 00:00,0.02
COOP:427064,PROVO BYU UT US,19810503 01:00,0.09
COOP:427064,PROVO BYU UT US,19810503 02:00,0.03
COOP:427064,PROVO BYU UT US,19810503 07:00,0.01
COOP:427064,PROVO BYU UT US,19810503 08:00,0.02
COOP:427064,PROVO BYU UT US,19810503 09:00,0.01
COOP:427064,PROVO BYU UT US,19810503 11:00,0.02
COOP:427064,PROVO BYU UT US,19810508 08:00,0.01
COOP:427064,PROVO BYU UT US,19810508 09:00,0.01
COOP:427064,PROVO BYU UT US,19810508 11:00,0.02
COOP:427064,PROVO BYU UT US,19810510 22:00,0.02
COOP:427064,PROVO BYU UT US,19810510 23:00,0.06
COOP:427064,PROVO BYU UT US,19810511 00:00,0.02
COOP:427064,PROVO BYU UT US,19810511 01:00,0.01
COOP:427064,PROVO BYU UT US,19810511 02:00,0.01
COOP:427064,PROVO BYU UT US,19810515 06:00,0.06
COOP:427064,PROVO BYU UT US,19810515 07:00,0.05
COOP:427064,PROVO BYU UT US,19810515 09:00,0.03
COOP:427064,PROVO BYU UT US,19810515 10:00,0.18
COOP:427064,PROVO BYU UT US,19810515 11:00,0.03
COOP:427064,PROVO BYU UT US,19810515 12:00,0.02
COOP:427064,PROVO BYU UT US,19810515 14:00,0.03
COOP:427064,PROVO BYU UT US,19810515 15:00,0.02
COOP:427064,PROVO BYU UT US,19810515 21:00,0.01
COOP:427064,PROVO BYU UT US,19810515 22:00,0.08
COOP:427064,PROVO BYU UT US,19810515 23:00,0.10
COOP:427064,PROVO BYU UT US,19810516 00:00,0.10
COOP:427064,PROVO BYU UT US,19810516 01:00,0.12
COOP:427064,PROVO BYU UT US,19810516 02:00,0.06
COOP:427064,PROVO BYU UT US,19810516 03:00,0.05
COOP:427064,PROVO BYU UT US,19810516 04:00,0.09
COOP:427064,PROVO BYU UT US,19810516 05:00,0.05
COOP:427064,PROVO BYU UT US,19810516 06:00,0.04
COOP:427064,PROVO BYU UT US,19810516 07:00,0.07
COOP:427064,PROVO BYU UT US,19810516 08:00,0.10
COOP:427064,PROVO BYU UT US,19810516 09:00,0.06
COOP:427064,PROVO BYU UT US,19810516 10:00,0.03
COOP:427064,PROVO BYU UT US,19810516 11:00,0.01
COOP:427064,PROVO BYU UT US,19810516 12:00,0.01
COOP:427064,PROVO BYU UT US,19810516 13:00,0.01
COOP:427064,PROVO BYU UT US,19810517 01:00,0.01
COOP:427064,PROVO BYU UT US,19810517 02:00,0.01
COOP:427064,PROVO BYU UT US,19810517 03:00,0.03
COOP:427064,PROVO BYU UT US,19810517 04:00,0.03
COOP:427064,PROVO BYU UT US,19810517 08:00,0.02
COOP:427064,PROVO BYU UT US,19810517 09:00,0.02
COOP:427064,PROVO BYU UT US,19810517 11:00,0.01
COOP:427064,PROVO BYU UT US,19810518 20:00,0.05
COOP:427064,PROVO BYU UT US,19810520 05:00,0.01
COOP:427064,PROVO BYU UT US,19810520 06:00,0.04
COOP:427064,PROVO BYU UT US,19810520 07:00,0.02
COOP:427064,PROVO BYU UT US,19810520 08:00,0.09
COOP:427064,PROVO BYU UT US,19810520 09:00,0.03
COOP:427064,PROVO BYU UT US,19810520 10:00,0.07
COOP:427064,PROVO BYU UT US,19810520 11:00,0.10
COOP:427064,PROVO BYU UT US,19810520 12:00,0.11
COOP:427064,PROVO BYU UT US,19810520 13:00,0.02
COOP:427064,PROVO BYU UT US,19810520 23:00,0.04
COOP:427064,PROVO BYU UT US,19810521 00:00,0.05
COOP:427064,PROVO BYU UT US,19810521 01:00,0.06
COOP:427064,PROVO BYU UT US,19810521 02:00,0.08
COOP:427064,PROVO BYU UT US,19810521 03:00,0.09
COOP:427064,PROVO BYU UT US,19810521 04:00,0.07
COOP:427064,PROVO BYU UT US,19810521 05:00,0.15
COOP:427064,PROVO BYU UT US,19810521 06:00,0.21
COOP:427064,PROVO BYU UT US,19810521 07:00,0.13
COOP:427064,PROVO BYU UT US,19810521 08:00,0.02
COOP:427064,PROVO BYU UT US,19810525 21:00,0.03
COOP:427064,PROVO BYU UT US,19810526 02:00,0.01
COOP:427064,PROVO BYU UT US,19810526 03:00,0.01
COOP:427064,PROVO BYU UT US,19810526 07:00,0.03
COOP:427064,PROVO BYU UT US,19810526 17:00,0.07
COOP:427064,PROVO BYU UT US,19810526 18:00,0.05
COOP:427064,PROVO BYU UT US,19810526 19:00,0.02
COOP:427064,PROVO BYU UT US,19810526 20:00,0.01
COOP:427064,PROVO BYU UT US,19810526 21:00,0.02
COOP:427064,PROVO BYU UT US,19810526 22:00,0.01
COOP:427064,PROVO BYU UT US,19810527 01:00,0.01
COOP:427064,PROVO BYU UT US,19810527 02:00,0.02
COOP:427064,PROVO BYU UT US,19810527 03:00,0.01
COOP:427064,PROVO BYU UT US,19810601 01:00,0.00
COOP:427064,PROVO BYU UT US,19810602 14:00,0.01
COOP:427064,PROVO BYU UT US,19810602 16:00,0.02
COOP:427064,PROVO BYU UT US,19810602 17:00,0.03
COOP:427064,PROVO BYU UT US,19810602 18:00,0.04
COOP:427064,PROVO BYU UT US,19810602 19:00,0.12
COOP:427064,PROVO BYU UT US,19810602 20:00,0.11
COOP:427064,PROVO BYU UT US,19810602 21:00,0.03
COOP:427064,PROVO BYU UT US,19810603 00:00,0.01
COOP:427064,PROVO BYU UT US,19810603 01:00,0.01
COOP:427064,PROVO BYU UT US,19810603 02:00,0.01
COOP:427064,PROVO BYU UT US,19810603 05:00,0.01
COOP:427064,PROVO BYU UT US,19810701 01:00,0.00
COOP:427064,PROVO BYU UT US,19810706 14:00,0.01
COOP:427064,PROVO BYU UT US,19810706 15:00,0.03
COOP:427064,PROVO BYU UT US,19810709 15:00,0.08
COOP:427064,PROVO BYU UT US,19810709 16:00,0.38
COOP:427064,PROVO BYU UT US,19810709 17:00,0.02
COOP:427064,PROVO BYU UT US,19810726 13:00,0.03
COOP:427064,PROVO BYU UT US,19810726 14:00,0.01
COOP:427064,PROVO BYU UT US,19810801 01:00,0.00
COOP:427064,PROVO BYU UT US,19810819 19:00,0.04
COOP:427064,PROVO BYU UT US,19810821 02:00,0.01
COOP:427064,PROVO BYU UT US,19810821 03:00,0.02
COOP:427064,PROVO BYU UT US,19810821 09:00,0.08
COOP:427064,PROVO BYU UT US,19810821 10:00,0.07
COOP:427064,PROVO BYU UT US,19810824 06:00,0.13
COOP:427064,PROVO BYU UT US,19810824 07:00,0.02
COOP:427064,PROVO BYU UT US,19810824 08:00,0.05
COOP:427064,PROVO BYU UT US,19810824 09:00,0.02
COOP:427064,PROVO BYU UT US,19810829 23:00,0.01
COOP:427064,PROVO BYU UT US,19810830 01:00,0.01
COOP:427064,PROVO BYU UT US,19810830 02:00,0.01
COOP:427064,PROVO BYU UT US,19810830 03:00,0.01
COOP:427064,PROVO BYU UT US,19810901 01:00,0.00
COOP:427064,PROVO BYU UT US,19810905 04:00,0.01
COOP:427064,PROVO BYU UT US,19810905 05:00,0.04
COOP:427064,PROVO BYU UT US,19810905 06:00,0.06
COOP:427064,PROVO BYU UT US,19810905 07:00,0.02
COOP:427064,PROVO BYU UT US,19810905 08:00,0.01
COOP:427064,PROVO BYU UT US,19810905 13:00,0.06
COOP:427064,PROVO BYU UT US,19810905 14:00,0.18
COOP:427064,PROVO BYU UT US,19810905 15:00,0.03
COOP:427064,PROVO BYU UT US,19810906 01:00,0.02
COOP:427064,PROVO BYU UT US,19810906 06:00,0.01
COOP:427064,PROVO BYU UT US,19810906 07:00,0.06
COOP:427064,PROVO BYU UT US,19810906 08:00,0.05
COOP:427064,PROVO BYU UT US,19810906 09:00,0.03
COOP:427064,PROVO BYU UT US,19810908 05:00,0.16
COOP:427064,PROVO BYU UT US,19810908 06:00,0.06
COOP:427064,PROVO BYU UT US,19810908 07:00,0.02
COOP:427064,PROVO BYU UT US,19810908 08:00,0.02
COOP:427064,PROVO BYU UT US,19810908 09:00,0.01
COOP:427064,PROVO BYU UT US,19810908 17:00,0.18
COOP:427064,PROVO BYU UT US,19810908 18:00,0.12
COOP:427064,PROVO BYU UT US,19810910 11:00,0.02
COOP:427064,PROVO BYU UT US,19810910 12:00,0.04
COOP:427064,PROVO BYU UT US,19810910 18:00,0.21
COOP:427064,PROVO BYU UT US,19810910 19:00,0.11
COOP:427064,PROVO BYU UT US,19810910 20:00,0.04
COOP:427064,PROVO BYU UT US,19810920 19:00,0.04
COOP:427064,PROVO BYU UT US,19810920 22:00,0.02
COOP:427064,PROVO BYU UT US,19810923 23:00,0.04
COOP:427064,PROVO BYU UT US,19810924 00:00,0.03
COOP:427064,PROVO BYU UT US,19810924 01:00,0.02
COOP:427064,PROVO BYU UT US,19811001 01:00,0.00
COOP:427064,PROVO BYU UT US,19811003 08:00,0.02
COOP:427064,PROVO BYU UT US,19811003 09:00,0.04
COOP:427064,PROVO BYU UT US,19811003 10:00,0.02
COOP:427064,PROVO BYU UT US,19811003 11:00,0.01
COOP:427064,PROVO BYU UT US,19811003 12:00,0.02
COOP:427064,PROVO BYU UT US,19811003 13:00,0.07
COOP:427064,PROVO BYU UT US,19811003 14:00,0.06
COOP:427064,PROVO BYU UT US,19811003 15:00,0.01
COOP:427064,PROVO BYU UT US,19811003 16:00,0.03
COOP:427064,PROVO BYU UT US,19811003 18:00,0.02
COOP:427064,PROVO BYU UT US,19811003 19:00,0.13
