PlotCode	Lat	Long	PlotArea	No.Ind.	No.Species	No.Genera	Multiple.census	Plot.team	Network
BDF-07	-2.4	-59.9	1	862	302	132	1	William Laurence; Susan Laurance; Ana Andrade; Jose Camargo, Thomas Lovejoy	RAINFOR 
BDF-08	-2.4	-59.9	1	831	264	116	1	William Laurence; Susan Laurance; Ana Andrade; Jose Camargo, Thomas Lovejoy	RAINFOR 
BDF-09	-2.4	-59.85	1	759	290	130	1	William Laurence; Susan Laurance; Ana Andrade; Jose Camargo, Thomas Lovejoy	RAINFOR 
BDF-10	-2.39	-59.86	2	1670	461	178	1	William Laurence; Susan Laurance; Ana Andrade; Jose Camargo, Thomas Lovejoy	RAINFOR
BDF-11	-2.38	-59.85	3	2203	505	192	1	William Laurence; Susan Laurance; Ana Andrade; Jose Camargo, Thomas Lovejoy	RAINFOR
BDF-12	-2.39	-59.85	2	1492	438	176	1	William Laurence; Susan Laurance; Ana Andrade; Jose Camargo, Thomas Lovejoy	RAINFOR
BDF-13	-2.4	-59.91	9	6527	637	220	1	William Laurence; Susan Laurance; Ana Andrade; Jose Camargo, Thomas Lovejoy	RAINFOR
BDF-14	-2.36	-59.97	1	827	296	140	1	William Laurence; Susan Laurance; Ana Andrade; Jose Camargo, Thomas Lovejoy	RAINFOR 
BEE-01	-16.53	-64.58	1	669	93	70	1	Luzmila Arroyo;Alejandro Murakami-Araujo; Oliver Phillips	RAINFOR 
BEE-05	-16.53	-64.58	1	618	82	67	1	Luzmila Arroyo;Alejandro Murakami-Araujo; Oliver Phillips	RAINFOR 
BLS-01	0.61	-79.86	0.1	76	34	31	0	Alwyn Gentry	Gentry
BNT-01	-2.64	-60.16	1	720	153	106	1	Niro Higuchi	RAINFOR 
BNT-02	-2.64	-60.15	1	815	154	110	1	Niro Higuchi	RAINFOR 
BNT-04	-2.63	-60.15	1	785	154	113	1	Niro Higuchi	RAINFOR 
BNT-05	-2.63	-60.17	1	632	135	98	1	Niro Higuchi	RAINFOR 
BNT-06	-2.63	-60.17	1	622	131	96	1	Niro Higuchi	RAINFOR 
BNT-07	-2.63	-60.17	1	697	143	103	1	Niro Higuchi	RAINFOR 
BOG-01	-0.7	-76.48	1	743	242	141	1	Abel Monteagudo; Roel Brienen; Tony DiFiore; Nigel Pitman; Oliver Phillips	RAINFOR 
BOG-02	-0.7	-76.47	1	930	272	153	1	Abel Monteagudo; Roel Brienen; Tony DiFiore; Nigel Pitman; Oliver Phillips	RAINFOR 
BRP-01	2.83	-65.9	0.1	96	37	34	0	Gerardo Aymard	RAINFOR
BVA-01	-4.24	-73.2	0.5	435	39	36	0	Eurídice Honorio; Tim Baker	RAINFOR
CAG-01	-12.04	-69.11	0.1	53	31	28	0	Abel Monteagudo; Oliver Phillips; Fernando Valverde	RAINFOR
CAG-02	-12.04	-69.1	0.1	76	32	31	0	Abel Monteagudo; Oliver Phillips; Fernando Valverde	RAINFOR
CAG-03	-12.03	-69.1	0.1	78	25	24	0	Abel Monteagudo; Oliver Phillips; Fernando Valverde	RAINFOR
CAG-04	-12.03	-69.1	0.1	51	38	34	0	Abel Monteagudo; Oliver Phillips; Fernando Valverde	RAINFOR
CAG-05	-12.11	-69.14	0.1	58	43	41	0	Abel Monteagudo; Oliver Phillips; Fernando Valverde	RAINFOR
CAG-06	-12.1	-69.18	0.1	51	24	22	0	Abel Monteagudo; Oliver Phillips; Fernando Valverde	RAINFOR
CAG-07	-12.17	-69.14	0.1	48	31	27	0	Abel Monteagudo; Oliver Phillips; Fernando Valverde	RAINFOR
CAG-08	-12.18	-69.13	0.1	62	42	36	0	Abel Monteagudo; Oliver Phillips; Fernando Valverde	RAINFOR
CAG-09	-12.13	-69.11	0.1	54	33	33	0	Abel Monteagudo; Oliver Phillips; Fernando Valverde	RAINFOR
CAG-10	-12.17	-69.05	0.1	75	26	24	0	Abel Monteagudo; Oliver Phillips; Fernando Valverde	RAINFOR
CAG-11	-12.18	-69.05	0.1	57	21	20	0	Abel Monteagudo; Oliver Phillips; Fernando Valverde	RAINFOR
CAI-01	8.7	-70.07	0.25	204	40	38	1	Emilio Vilanova; Geertje van der Heijden; Oliver Phillips	RAINFOR
CAI-02	8.7	-70.07	0.25	112	40	34	1	Emilio Vilanova; Oliver Phillips	RAINFOR
CAI-04	8.7	-70.07	0.25	142	41	34	1	Emilio Vilanova; Geertje van der Heijden; Oliver Phillips	RAINFOR
CAS-01	2.03	-66.47	1	629	105	72	0	Gerardo Aymard	RAINFOR
CAS-02	2.32	-66.48	1	672	73	54	0	Gerardo Aymard	RAINFOR
CAS-03	1.92	-66.62	1	594	69	53	0	Gerardo Aymard	RAINFOR
CAT-02	8.44	-71.77	0.25	100	16	15	1	Jean-Pierre Veillon	RAINFOR
CAT-03	8.44	-71.77	0.25	85	15	15	1	Jean-Pierre Veillon	RAINFOR
CAX-01	-1.74	-51.46	1	588	190	115	1	Antonio Lola da Costa da Costa	RAINFOR 
CAX-02	-1.74	-51.46	1	622	172	98	1	Antonio Lola da Costa	RAINFOR 
CAX-06	-1.72	-51.46	1	469	131	83	1	Antonio Lola da Costa; Luis Aragao	RAINFOR
CAX-08	-1.85	-51.47	1	632	90	78	1	Antonio Lola da Costa	RAINFOR
CBC-01	2.35	-66.55	0.1	86	33	31	0	Gerardo Aymard	RAINFOR
CBO-10	1.95	-66.98	0.1	79	31	28	0	Gerardo Aymard	RAINFOR
CBP-01	-12.39	-69.31	0.1	60	36	29	0	Oliver Phillips; Percy Núñez Vargas	RAINFOR
CBP-02	-12.4	-69.33	0.1	62	41	35	0	Oliver Phillips; Percy Núñez Vargas	RAINFOR
CBP-03	-12.42	-69.28	0.1	60	34	31	0	Oliver Phillips; Percy Núñez Vargas	RAINFOR
CBP-04	-12.41	-69.32	0.1	57	44	37	0	Oliver Phillips; Percy Núñez Vargas	RAINFOR
CBP-05	-12.39	-69.31	0.1	63	42	37	0	Oliver Phillips; Percy Núñez Vargas	RAINFOR
CBP-06	-12.43	-69.28	0.1	62	26	25	0	Oliver Phillips; Percy Núñez Vargas	RAINFOR
CBP-07	-12.42	-69.33	0.1	46	30	27	0	Oliver Phillips; Percy Núñez Vargas	RAINFOR
CBP-08	-12.43	-69.29	0.1	65	38	33	0	Oliver Phillips; Percy Núñez Vargas	RAINFOR
CBP-09	-12.43	-69.29	0.1	62	41	34	0	Oliver Phillips; Percy Núñez Vargas	RAINFOR
CDK-01	2.92	-66.63	0.1	109	37	33	0	Gerardo Aymard	RAINFOR
CDM-01	-10.33	-75.3	1	520	124	83	0	Alwyn Gentry	RAINFOR
CDM-02	-10.24	-75.21	0.1	50	30	26	0	Alwyn Gentry	Gentry
CDT-01	2.8	-65.95	0.1	109	37	34	0	Gerardo Aymard	RAINFOR
CHO-01	-14.39	-61.15	1	810	118	89	1	Luzmila Arroyo: Timothy Killeen	RAINFOR 
CJC-04	-12.67	-69.11	0.1	52	31	29	0	Abel Monteagudo; Oliver Phillips; Percy Núñez Vargas	RAINFOR
CJC-05	-12.66	-69.08	0.1	69	25	23	0	Abel Monteagudo; Oliver Phillips; Percy Núñez Vargas	RAINFOR
CJC-06	-12.64	-69.1	0.1	103	42	37	0	Abel Monteagudo; Oliver Phillips; Percy Núñez Vargas	RAINFOR
CJC-07	-12.68	-69.11	0.1	98	40	35	0	Abel Monteagudo; Oliver Phillips; Percy Núñez Vargas	RAINFOR
CJC-08	-12.69	-69.12	0.1	90	33	29	0	Abel Monteagudo; Oliver Phillips; Percy Núñez Vargas	RAINFOR
CJC-09	-12.68	-69.18	0.1	71	48	43	0	Abel Monteagudo; Oliver Phillips; Percy Núñez Vargas	RAINFOR
CJC-10	-12.68	-69.18	0.1	79	7	6	0	Abel Monteagudo; Oliver Phillips; Percy Núñez Vargas	RAINFOR
CLO-01	9.53	-75.35	0.1	60	33	30	0	Alwyn Gentry	Gentry
CLS-01	-12.6	-69.02	0.1	62	37	34	0	Abel Monteagudo; Oliver Phillips; Percy Núñez Vargas	RAINFOR
CLS-02	-12.6	-69.01	0.1	74	39	34	0	Abel Monteagudo; Oliver Phillips; Percy Núñez Vargas	RAINFOR
CLS-03	-12.61	-69.02	0.1	54	31	29	0	Abel Monteagudo; Oliver Phillips; Percy Núñez Vargas	RAINFOR
CLT-01	-12.82	-69.35	0.1	62	44	39	0	Abel Monteagudo; Oliver Phillips; Percy Núñez Vargas	RAINFOR
CLT-02	-12.8	-69.34	0.1	68	46	39	0	Abel Monteagudo; Oliver Phillips; Percy Núñez Vargas	RAINFOR
CLT-03	-12.84	-69.29	0.1	75	40	36	0	Abel Monteagudo; Oliver Phillips; Percy Núñez Vargas	RAINFOR
CLT-04	-12.83	-69.27	0.1	55	42	37	0	Abel Monteagudo; Oliver Phillips; Percy Núñez Vargas	RAINFOR
CLT-05	-12.82	-69.35	0.1	76	49	41	0	Abel Monteagudo; Oliver Phillips; Percy Núñez Vargas	RAINFOR
CLT-06	-12.88	-69.28	0.1	66	46	39	0	Abel Monteagudo; Oliver Phillips; Percy Núñez Vargas	RAINFOR
CLT-07	-12.85	-69.29	0.1	55	38	35	0	Abel Monteagudo; Oliver Phillips; Percy Núñez Vargas	RAINFOR
CLT-08	-12.83	-69.26	0.1	56	42	39	0	Abel Monteagudo; Oliver Phillips; Percy Núñez Vargas	RAINFOR
CLT-09	-12.82	-69.3	0.1	68	39	37	0	Abel Monteagudo; Oliver Phillips; Percy Núñez Vargas	RAINFOR
CLV-01	-12.4	-68.82	0.1	75	51	39	0	Abel Monteagudo; Oliver Phillips	RAINFOR
CLV-02	-12.39	-68.79	0.1	67	51	44	0	Abel Monteagudo; Oliver Phillips	RAINFOR
CLV-03	-12.41	-68.86	0.1	77	42	37	0	Abel Monteagudo; Oliver Phillips	RAINFOR
CLV-04	-12.36	-68.8	0.1	80	43	36	0	Abel Monteagudo; Oliver Phillips	RAINFOR
CLV-05	-12.43	-68.8	0.1	64	37	32	0	Abel Monteagudo; Oliver Phillips	RAINFOR
CLV-06	-12.46	-68.81	0.1	60	30	30	0	Abel Monteagudo; Oliver Phillips	RAINFOR
CLV-07	-12.47	-68.8	0.1	57	37	35	0	Abel Monteagudo; Oliver Phillips	RAINFOR
CLV-08	-12.45	-68.81	0.1	63	37	33	0	Abel Monteagudo; Oliver Phillips	RAINFOR
CNG-01	0.83	-66.17	1	535	91	62	0	Alwyn Gentry	RAINFOR
CNS-01	-12.56	-68.71	0.1	70	33	30	0	Abel Monteagudo; Oliver Phillips; Percy Núñez Vargas	RAINFOR
CNS-02	-12.56	-68.7	0.1	71	42	35	0	Abel Monteagudo; Oliver Phillips; Percy Núñez Vargas	RAINFOR
CNS-03	-12.56	-68.72	0.1	59	36	32	0	Abel Monteagudo; Oliver Phillips; Percy Núñez Vargas	RAINFOR
CNS-04	-12.59	-68.73	0.1	80	33	25	0	Abel Monteagudo; Oliver Phillips; Percy Núñez Vargas	RAINFOR
CNS-05	-12.6	-68.72	0.1	61	36	35	0	Abel Monteagudo; Oliver Phillips; Percy Núñez Vargas	RAINFOR
CNS-06	-12.61	-68.73	0.1	58	44	37	0	Abel Monteagudo; Oliver Phillips; Percy Núñez Vargas	RAINFOR
CNS-07	-12.6	-68.75	0.1	59	37	34	0	Abel Monteagudo; Oliver Phillips; Percy Núñez Vargas	RAINFOR
CNS-08	-12.59	-68.71	0.1	67	37	37	0	Abel Monteagudo; Oliver Phillips; Percy Núñez Vargas	RAINFOR
CNS-09	-12.63	-68.75	0.1	90	41	34	0	Abel Monteagudo; Oliver Phillips; Percy Núñez Vargas	RAINFOR
CNS-10	-12.65	-68.74	0.1	57	34	29	0	Abel Monteagudo; Oliver Phillips; Percy Núñez Vargas	RAINFOR
CNT-01	-12.5	-69.42	0.1	54	38	29	0	Abel Monteagudo; Fernando Cornejo; Oliver Phillips; Percy Núñez Vargas	RAINFOR
CNT-02	-12.49	-69.41	0.1	60	39	35	0	Abel Monteagudo; Fernando Cornejo; Oliver Phillips; Percy Núñez Vargas	RAINFOR
CNT-03	-12.49	-69.41	0.1	61	12	11	0	Abel Monteagudo; Fernando Cornejo; Oliver Phillips; Percy Núñez Vargas	RAINFOR
CNT-04	-12.54	-69.39	0.1	44	27	26	0	Abel Monteagudo; Fernando Cornejo; Oliver Phillips; Percy Núñez Vargas	RAINFOR
CNT-05	-12.5	-69.37	0.1	63	38	32	0	Abel Monteagudo; Fernando Cornejo; Oliver Phillips; Percy Núñez Vargas	RAINFOR
CNT-06	-12.48	-69.39	0.1	68	41	38	0	Abel Monteagudo; Fernando Cornejo; Oliver Phillips; Percy Núñez Vargas	RAINFOR
CNT-07	-12.53	-69.48	0.1	53	39	30	0	Abel Monteagudo; Fernando Cornejo; Oliver Phillips; Percy Núñez Vargas	RAINFOR
CNT-08	-12.53	-69.48	0.1	58	26	26	0	Abel Monteagudo; Fernando Cornejo; Oliver Phillips; Percy Núñez Vargas	RAINFOR
CNT-09	-12.53	-69.48	0.1	58	38	30	0	Abel Monteagudo; Fernando Cornejo; Oliver Phillips; Percy Núñez Vargas	RAINFOR
CNT-10	-12.53	-69.48	0.1	55	36	33	0	Abel Monteagudo; Fernando Cornejo; Oliver Phillips; Percy Núñez Vargas	RAINFOR
COL-01	2.1	-67.1	0.1	126	34	29	0	Gerardo Aymard	RAINFOR
CON-01	-4.12	-72.92	0.1	57	43	37	0	Oliver Phillips; Rodolfo Vasquez	RAINFOR
CON-02	-4.12	-72.93	0.1	60	45	37	0	Oliver Phillips; Rodolfo Vasquez	RAINFOR
CON-03	-4.12	-72.92	0.1	59	40	36	0	Oliver Phillips; Rodolfo Vasquez	RAINFOR
CON-11	-4.25	-72.75	0.1	79	52	48	0	Alwyn Gentry	Gentry
CON-12	-4.16	-72.96	0.1	79	55	46	0	Oliver Phillips; Rodolfo Vasquez	RAINFOR
CON-13	-4.15	-72.96	0.1	63	36	30	0	Oliver Phillips; Rodolfo Vasquez	RAINFOR
CPA-01	-12.47	-69.21	0.1	55	33	29	0	Abel Monteagudo; Oliver Phillips; Percy Núñez Vargas	RAINFOR
CPA-02	-12.48	-69.2	0.1	62	40	34	0	Abel Monteagudo; Oliver Phillips; Percy Núñez Vargas	RAINFOR
CPA-03	-12.47	-69.23	0.1	58	34	29	0	Abel Monteagudo; Oliver Phillips; Percy Núñez Vargas	RAINFOR
CPA-04	-12.48	-69.21	0.1	73	41	36	0	Abel Monteagudo; Oliver Phillips; Percy Núñez Vargas	RAINFOR
CPA-05	-12.45	-69.2	0.1	69	50	42	0	Abel Monteagudo; Oliver Phillips; Percy Núñez Vargas	RAINFOR
CPA-06	-12.46	-69.2	0.1	49	37	34	0	Abel Monteagudo; Oliver Phillips; Percy Núñez Vargas	RAINFOR
CPA-07	-12.48	-69.22	0.1	66	43	36	0	Abel Monteagudo; Oliver Phillips; Percy Núñez Vargas	RAINFOR
CPA-08	-12.5	-69.22	0.1	49	29	26	0	Abel Monteagudo; Oliver Phillips; Percy Núñez Vargas	RAINFOR
CPA-09	-12.48	-69.2	0.1	63	40	39	0	Abel Monteagudo; Oliver Phillips; Percy Núñez Vargas	RAINFOR
CPP-01	-1.84	-47.1	1	497	132	78	1	Ima Vieira	RAINFOR
CPP-02	-1.84	-47.1	1	465	125	80	0	Ima Vieira	RAINFOR
CPR-01	-12.51	-68.75	0.1	66	30	22	0	Abel Monteagudo; Oliver Phillips; Percy Núñez Vargas	RAINFOR
CPR-02	-12.52	-68.73	0.1	66	40	35	0	Abel Monteagudo; Oliver Phillips; Percy Núñez Vargas	RAINFOR
CPR-03	-12.5	-68.78	0.1	75	38	30	0	Abel Monteagudo; Oliver Phillips; Percy Núñez Vargas	RAINFOR
CPR-04	-12.5	-68.75	0.1	61	30	28	0	Abel Monteagudo; Oliver Phillips; Percy Núñez Vargas	RAINFOR
CPR-05	-12.55	-68.77	0.1	172	25	22	0	Abel Monteagudo; Oliver Phillips; Percy Núñez Vargas	RAINFOR
CPR-06	-12.49	-68.76	0.1	64	27	27	0	Abel Monteagudo; Oliver Phillips; Percy Núñez Vargas	RAINFOR
CPR-07	-12.5	-68.78	0.1	71	38	36	0	Abel Monteagudo; Oliver Phillips; Percy Núñez Vargas	RAINFOR
CPR-08	-12.52	-68.75	0.1	84	35	30	0	Abel Monteagudo; Oliver Phillips; Percy Núñez Vargas	RAINFOR
CPR-09	-12.53	-68.76	0.1	65	29	26	0	Abel Monteagudo; Oliver Phillips; Percy Núñez Vargas	RAINFOR
CPR-10	-12.53	-68.72	0.1	126	36	30	0	Abel Monteagudo; Oliver Phillips; Percy Núñez Vargas	RAINFOR
CPR-11	-12.48	-68.76	0.1	73	22	22	0	Abel Monteagudo; Oliver Phillips; Percy Núñez Vargas	RAINFOR
CPZ-01	2.03	-67.07	0.1	77	31	24	0	Gerardo Aymard	RAINFOR
CRP-01	-14.54	-61.5	1	768	69	48	1	Abel Monteagudo; Roel Brienen; Alejandro Murakami-Araujo;Luzmila Arroyo; Timothy Killeen	RAINFOR
CRP-02	-14.54	-61.5	1	717	80	58	1	Abel Monteagudo; Roel Brienen; Alejandro Murakami-Araujo;Luzmila Arroyo; Timothy Killeen	RAINFOR 
CRZ-01	8.83	-71.86	1	563	21	19	1	Jean-Pierre Veillon; Oliver Phillips	RAINFOR
CSM-01	2.58	-67.12	1	496	61	48	0	Gerardo Aymard	RAINFOR
CUZ-01	-12.54	-69.06	1	912	185	111	1	Abel Monteagudo; Oliver Phillips; Rodolfo Vasquez	RAINFOR 
CUZ-02	-12.54	-69.06	1	805	164	108	1	Abel Monteagudo; Oliver Phillips; Rodolfo Vasquez	RAINFOR 
CUZ-03	-12.53	-69.05	1	752	168	109	1	Abel Monteagudo; Oliver Phillips; Rodolfo Vasquez	RAINFOR 
CUZ-04	-12.54	-69.05	1	971	211	115	1	Abel Monteagudo; Oliver Phillips; Rodolfo Vasquez	RAINFOR 
CUZ-10	-12.58	-69.15	0.1	84	41	37	0	Alwyn Gentry; Percy Núñez Vargas	Gentry
DOI-01	-10.57	-68.32	1	669	208	138	1	Ted Feldpausch; Marcos Silveira; Tim Baker; Juliana Stropp; Wenderson Castro	RAINFOR 
DOI-02	-10.55	-68.31	1	514	145	102	1	Ted Feldpausch; Marcos Silveira; Tim Baker; Juliana Stropp; Wenderson Castro	RAINFOR 
DUR-01	0.25	-76.75	0.04	37	32	28	0	Alwyn Gentry	Gentry
EBB-01	-14.78	-66.34	1	611	45	41	1	Gerardo Aymard; James Comiskey	RAINFOR
EBB-02	-14.77	-66.35	1	618	57	50	1	Gerardo Aymard; James Comiskey	RAINFOR
EBB-03	-14.84	-66.34	1	522	53	47	1	Gerardo Aymard; James Comiskey	RAINFOR
EBB-05	-14.76	-66.34	1	467	34	31	1	Gerardo Aymard; James Comiskey	RAINFOR
EBB-07	-14.86	-66.32	1	588	57	54	1	Gerardo Aymard; James Comiskey	RAINFOR
EBB-08	-14.85	-66.34	1	398	54	49	1	Gerardo Aymard; James Comiskey	RAINFOR
EBB-09	-14.73	-66.32	1	562	36	32	1	Gerardo Aymard; James Comiskey	RAINFOR
EBB-10	-14.89	-66.59	1	674	43	40	1	Gerardo Aymard; James Comiskey	RAINFOR
EBB-11	-14.85	-66.36	1	602	16	13	1	Gerardo Aymard; James Comiskey	RAINFOR
EBB-12	-14.64	-66.06	1	504	32	31	0	Gerardo Aymard; James Comiskey	RAINFOR
EBB-13	-14.74	-66.27	1	448	38	33	1	Gerardo Aymard; James Comiskey	RAINFOR
EBB-14	-14.74	-66.56	1	488	46	41	1	Gerardo Aymard; James Comiskey	RAINFOR
ELD-01	6.11	-61.41	0.25	163	46	37	1	Emilio Vilanova; Hirma Ramirez-Angulo; Armando Torres-Lezama; Geertje van der Heijden; Oliver Phillips	RAINFOR 
ELD-02	6.11	-61.41	0.25	156	36	30	1	Emilio Vilanova; Hirma Ramirez-Angulo; Armando Torres-Lezama; Geertje van der Heijden; Oliver Phillips	RAINFOR 
ELD-03	6.09	-61.4	0.25	248	64	49	1	Emilio Vilanova; Hirma Ramirez-Angulo; Armando Torres-Lezama; Geertje van der Heijden; Oliver Phillips	RAINFOR 
ELD-04	6.09	-61.35	0.25	252	59	45	1	Emilio Vilanova; Hirma Ramirez-Angulo; Armando Torres-Lezama; Geertje van der Heijden; Oliver Phillips	RAINFOR 
EMC-01	8.01	-70.55	1	278	24	21	1	Emilio Vilanova	RAINFOR
EMC-02	8.01	-70.55	1	245	23	22	1	Emilio Vilanova	RAINFOR
EMC-03	8.01	-70.55	1	452	23	20	1	Emilio Vilanova	RAINFOR
ENT-01	-14.63	-60.7	0.1	65	37	36	0	Alwyn Gentry	Gentry
FEC-01	-10.07	-67.62	1	657	163	116	1	Foster Brown; Marcos Silveira; Oliver Phillips, Plínio Barbosa Camargo; Simone Aparecida Vieira, Ted Feldpausch, Wendeson Castro	RAINFOR
FLO-01	-12.81	-51.85	1	684	85	56	1	Beatriz Marimon, Ben Hur Marimon Junior; Edmar de Oliveira; Leandro Maracahipes; Ted Feldpausch	RAINFOR
