SampleID	BarcodeSequence	LinkerPrimerSequence	Run	Ecosystem	Island	Lat	Lon	Collection_Date	F_Primer	R_Primer	Ecosys_Type	Host_Type	Host	InputFileName	Description
KB.9			Snails_Lau_AJJ	Plant_Epiphyte	Oahu	21.507083	-158.144083	42255	ITS1F	ITS2	Terrestrial		Lapalapa	KB.9.fasta	Snails_Lau_AJJ_KB.9
KB.10			Snails_Lau_AJJ	Plant_Epiphyte	Oahu	21.507083	-158.144083	42255	ITS1F	ITS2	Terrestrial		Pepperomia	KB.10.fasta	Snails_Lau_AJJ_KB.10
KB.11			Snails_Lau_AJJ	Plant_Epiphyte	Oahu	21.507083	-158.144083	42255	ITS1F	ITS2	Terrestrial		Smilax	KB.11.fasta	Snails_Lau_AJJ_KB.11
KB.12			Snails_Lau_AJJ	Plant_Epiphyte	Oahu	21.507083	-158.144083	42255	ITS1F	ITS2	Terrestrial		Coprasma	KB.12.fasta	Snails_Lau_AJJ_KB.12
KB.13			Snails_Lau_AJJ	Plant_Epiphyte	Oahu	21.507083	-158.144083	42255	ITS1F	ITS2	Terrestrial		Merciane	KB.13.fasta	Snails_Lau_AJJ_KB.13
KB.14			Snails_Lau_AJJ	Plant_Epiphyte	Oahu	21.507083	-158.144083	42255	ITS1F	ITS2	Terrestrial		Bidens	KB.14.fasta	Snails_Lau_AJJ_KB.14
69CV.1			Snails_Lau_AJJ	Plant_Epiphyte	Oahu	21.514579	-158.160702	42255	ITS1F	ITS2	Terrestrial		Ohia	69CV.1.fasta	Snails_Lau_AJJ_69CV.1
69CV.2			Snails_Lau_AJJ	Plant_Epiphyte	Oahu	21.514579	-158.160702	42255	ITS1F	ITS2	Terrestrial		Ilex	69CV.2.fasta	Snails_Lau_AJJ_69CV.2
69CV.3			Snails_Lau_AJJ	Plant_Epiphyte	Oahu	21.514579	-158.160702	42255	ITS1F	ITS2	Terrestrial		Pukiawe	69CV.3.fasta	Snails_Lau_AJJ_69CV.3
69CV.4			Snails_Lau_AJJ	Plant_Epiphyte	Oahu	21.514579	-158.160702	42255	ITS1F	ITS2	Terrestrial		Vaccinium	69CV.4.fasta	Snails_Lau_AJJ_69CV.4
69CV.5			Snails_Lau_AJJ	Plant_Epiphyte	Oahu	21.514579	-158.160702	42255	ITS1F	ITS2	Terrestrial		Mellicope	69CV.5.fasta	Snails_Lau_AJJ_69CV.5
69CV.6			Snails_Lau_AJJ	Plant_Epiphyte	Oahu	21.514579	-158.160702	42255	ITS1F	ITS2	Terrestrial		Lapalapa	69CV.6.fasta	Snails_Lau_AJJ_69CV.6
69CV.7			Snails_Lau_AJJ	Plant_Epiphyte	Oahu	21.514579	-158.160702	42255	ITS1F	ITS2	Terrestrial		Ilex	69CV.7.fasta	Snails_Lau_AJJ_69CV.7
69CV.8			Snails_Lau_AJJ	Plant_Epiphyte	Oahu	21.514579	-158.160702	42255	ITS1F	ITS2	Terrestrial		Ohia	69CV.8.fasta	Snails_Lau_AJJ_69CV.8
69CV.9			Snails_Lau_AJJ	Plant_Epiphyte	Oahu	21.514579	-158.160702	42255	ITS1F	ITS2	Terrestrial		Peretedia	69CV.9.fasta	Snails_Lau_AJJ_69CV.9
69CV.10			Snails_Lau_AJJ	Plant_Epiphyte	Oahu	21.514579	-158.160702	42255	ITS1F	ITS2	Terrestrial		Coprasma	69CV.10.fasta	Snails_Lau_AJJ_69CV.10
69CV.11			Snails_Lau_AJJ	Plant_Epiphyte	Oahu	21.514579	-158.160702	42255	ITS1F	ITS2	Terrestrial		Naupaka	69CV.11.fasta	Snails_Lau_AJJ_69CV.11
69CV.12			Snails_Lau_AJJ	Plant_Epiphyte	Oahu	21.514579	-158.160702	42255	ITS1F	ITS2	Terrestrial		Wikstromia	69CV.12.fasta	Snails_Lau_AJJ_69CV.12
69CV.13			Snails_Lau_AJJ	Plant_Epiphyte	Oahu	21.514579	-158.160702	42255	ITS1F	ITS2	Terrestrial		Kadoa	69CV.13.fasta	Snails_Lau_AJJ_69CV.13
C9CV.14			Snails_Lau_AJJ	Plant_Epiphyte	Oahu	21.514579	-158.160702	42255	ITS1F	ITS2	Terrestrial		Freycinetia	C9CV.14.fasta	Snails_Lau_AJJ_C9CV.14
C9CV.15			Snails_Lau_AJJ	Plant_Epiphyte	Oahu	21.514579	-158.160702	42255	ITS1F	ITS2	Terrestrial		Merciane	C9CV.15.fasta	Snails_Lau_AJJ_C9CV.15
3P.1			Snails_Lau_AJJ	Plant_Epiphyte	Oahu	21.52433	-158.173474	42255	ITS1F	ITS2	Terrestrial		Ohia	3P.1.fasta	Snails_Lau_AJJ_3P.1
3P.2			Snails_Lau_AJJ	Plant_Epiphyte	Oahu	21.52433	-158.173474	42255	ITS1F	ITS2	Terrestrial		Kattoa (?!)	3P.2.fasta	Snails_Lau_AJJ_3P.2
3P.3			Snails_Lau_AJJ	Plant_Epiphyte	Oahu	21.52433	-158.173474	42255	ITS1F	ITS2	Terrestrial		Peretedia	3P.3.fasta	Snails_Lau_AJJ_3P.3
3P.4			Snails_Lau_AJJ	Plant_Epiphyte	Oahu	21.52433	-158.173474	42255	ITS1F	ITS2	Terrestrial		Koa	3P.4.fasta	Snails_Lau_AJJ_3P.4
3P.5			Snails_Lau_AJJ	Plant_Epiphyte	Oahu	21.52433	-158.173474	42255	ITS1F	ITS2	Terrestrial		Antidesma	3P.5.fasta	Snails_Lau_AJJ_3P.5
3P.6			Snails_Lau_AJJ	Plant_Epiphyte	Oahu	21.52433	-158.173474	42255	ITS1F	ITS2	Terrestrial		Coprasma	3P.6.fasta	Snails_Lau_AJJ_3P.6
3P.7			Snails_Lau_AJJ	Plant_Epiphyte	Oahu	21.52433	-158.173474	42255	ITS1F	ITS2	Terrestrial		Wikstromia	3P.7.fasta	Snails_Lau_AJJ_3P.7
3P.8			Snails_Lau_AJJ	Plant_Epiphyte	Oahu	21.52433	-158.173474	42255	ITS1F	ITS2	Terrestrial		Naupaka	3P.8.fasta	Snails_Lau_AJJ_3P.8
3P.9			Snails_Lau_AJJ	Plant_Epiphyte	Oahu	21.52433	-158.173474	42255	ITS1F	ITS2	Terrestrial		Maile	3P.9.fasta	Snails_Lau_AJJ_3P.9
3P.10			Snails_Lau_AJJ	Plant_Epiphyte	Oahu	21.52433	-158.173474	42255	ITS1F	ITS2	Terrestrial		Hapuu	3P.10.fasta	Snails_Lau_AJJ_3P.10
EKH.6			Snails_Lau_AJJ	Plant_Epiphyte	Oahu	21.46486	-158.086549	42269	ITS1F	ITS2	Terrestrial			EKH.6.fasta	Snails_Lau_AJJ_EKH.6
EKH.15			Snails_Lau_AJJ	Plant_Epiphyte	Oahu	21.46486	-158.086549	42269	ITS1F	ITS2	Terrestrial			EKH.15.fasta	Snails_Lau_AJJ_EKH.15
EKH.16			Snails_Lau_AJJ	Plant_Epiphyte	Oahu	21.46486	-158.086549	42269	ITS1F	ITS2	Terrestrial			EKH.16.fasta	Snails_Lau_AJJ_EKH.16
EKH.20			Snails_Lau_AJJ	Plant_Epiphyte	Oahu	21.46486	-158.086549	42269	ITS1F	ITS2	Terrestrial			EKH.20.fasta	Snails_Lau_AJJ_EKH.20
EKH.21			Snails_Lau_AJJ	Plant_Epiphyte	Oahu	21.46486	-158.086549	42269	ITS1F	ITS2	Terrestrial			EKH.21.fasta	Snails_Lau_AJJ_EKH.21
EKH.22			Snails_Lau_AJJ	Plant_Epiphyte	Oahu	21.46486	-158.086549	42269	ITS1F	ITS2	Terrestrial			EKH.22.fasta	Snails_Lau_AJJ_EKH.22
EKH.23			Snails_Lau_AJJ	Plant_Epiphyte	Oahu	21.46486	-158.086549	42269	ITS1F	ITS2	Terrestrial			EKH.23.fasta	Snails_Lau_AJJ_EKH.23
EKH.24			Snails_Lau_AJJ	Plant_Epiphyte	Oahu	21.46486	-158.086549	42269	ITS1F	ITS2	Terrestrial			EKH.24.fasta	Snails_Lau_AJJ_EKH.24
EKH.25			Snails_Lau_AJJ	Plant_Epiphyte	Oahu	21.46486	-158.086549	42269	ITS1F	ITS2	Terrestrial			EKH.25.fasta	Snails_Lau_AJJ_EKH.25
EKH.26			Snails_Lau_AJJ	Plant_Epiphyte	Oahu	21.46486	-158.086549	42269	ITS1F	ITS2	Terrestrial			EKH.26.fasta	Snails_Lau_AJJ_EKH.26
EKH.27			Snails_Lau_AJJ	Plant_Epiphyte	Oahu	21.46486	-158.086549	42269	ITS1F	ITS2	Terrestrial			EKH.27.fasta	Snails_Lau_AJJ_EKH.27
EKH.28			Snails_Lau_AJJ	Plant_Epiphyte	Oahu	21.46486	-158.086549	42269	ITS1F	ITS2	Terrestrial			EKH.28.fasta	Snails_Lau_AJJ_EKH.28
DS.1			Snails_Lau_AJJ	Plant_Epiphyte	Oahu	21.41466	-158.09799	42275	ITS1F	ITS2	Terrestrial		Manono	DS.1.fasta	Snails_Lau_AJJ_DS.1
DS.2			Snails_Lau_AJJ	Plant_Epiphyte	Oahu	21.41466	-158.09799	42275	ITS1F	ITS2	Terrestrial		Chirodendron	DS.2.fasta	Snails_Lau_AJJ_DS.2
DS.3			Snails_Lau_AJJ	Plant_Epiphyte	Oahu	21.41466	-158.09799	42275	ITS1F	ITS2	Terrestrial		Psidium	DS.3.fasta	Snails_Lau_AJJ_DS.3
DS.4			Snails_Lau_AJJ	Plant_Epiphyte	Oahu	21.41466	-158.09799	42275	ITS1F	ITS2	Terrestrial		Schinus	DS.4.fasta	Snails_Lau_AJJ_DS.4
DS.5			Snails_Lau_AJJ	Plant_Epiphyte	Oahu	21.41466	-158.09799	42275	ITS1F	ITS2	Terrestrial		Myrica	DS.5.fasta	Snails_Lau_AJJ_DS.5
DS.6			Snails_Lau_AJJ	Plant_Epiphyte	Oahu	21.41466	-158.09799	42275	ITS1F	ITS2	Terrestrial		Ilex	DS.6.fasta	Snails_Lau_AJJ_DS.6
DS.7			Snails_Lau_AJJ	Plant_Epiphyte	Oahu	21.41466	-158.09799	42275	ITS1F	ITS2	Terrestrial		Ieie	DS.7.fasta	Snails_Lau_AJJ_DS.7
DS.8			Snails_Lau_AJJ	Plant_Epiphyte	Oahu	21.41466	-158.09799	42275	ITS1F	ITS2	Terrestrial		Uluhe	DS.8.fasta	Snails_Lau_AJJ_DS.8
DS.9			Snails_Lau_AJJ	Plant_Epiphyte	Oahu	21.41466	-158.09799	42275	ITS1F	ITS2	Terrestrial		Psychotria	DS.9.fasta	Snails_Lau_AJJ_DS.9
DS.10			Snails_Lau_AJJ	Plant_Epiphyte	Oahu	21.41466	-158.09799	42275	ITS1F	ITS2	Terrestrial		Ileocarpus	DS.10.fasta	Snails_Lau_AJJ_DS.10
KK.1			Snails_Lau_AJJ	Plant_Epiphyte	Oahu	21.41578	-158.09927	42275	ITS1F	ITS2	Terrestrial		Manono	KK.1.fasta	Snails_Lau_AJJ_KK.1
KK.2			Snails_Lau_AJJ	Plant_Epiphyte	Oahu	21.41578	-158.09927	42275	ITS1F	ITS2	Terrestrial		Psidium	KK.2.fasta	Snails_Lau_AJJ_KK.2
KK.3			Snails_Lau_AJJ	Plant_Epiphyte	Oahu	21.41578	-158.09927	42275	ITS1F	ITS2	Terrestrial		Koa	KK.3.fasta	Snails_Lau_AJJ_KK.3
KK.4			Snails_Lau_AJJ	Plant_Epiphyte	Oahu	21.41578	-158.09927	42275	ITS1F	ITS2	Terrestrial		Ohia	KK.4.fasta	Snails_Lau_AJJ_KK.4
KK.5			Snails_Lau_AJJ	Plant_Epiphyte	Oahu	21.41578	-158.09927	42275	ITS1F	ITS2	Terrestrial		Schinus	KK.5.fasta	Snails_Lau_AJJ_KK.5
KK.6			Snails_Lau_AJJ	Plant_Epiphyte	Oahu	21.41578	-158.09927	42275	ITS1F	ITS2	Terrestrial		Syzgium	KK.6.fasta	Snails_Lau_AJJ_KK.6
KK.7			Snails_Lau_AJJ	Plant_Epiphyte	Oahu	21.41578	-158.09927	42275	ITS1F	ITS2	Terrestrial		Psidium	KK.7.fasta	Snails_Lau_AJJ_KK.7
KK.8			Snails_Lau_AJJ	Plant_Epiphyte	Oahu	21.41578	-158.09927	42275	ITS1F	ITS2	Terrestrial		Trema	KK.8.fasta	Snails_Lau_AJJ_KK.8
KK.9			Snails_Lau_AJJ	Plant_Epiphyte	Oahu	21.41578	-158.09927	42275	ITS1F	ITS2	Terrestrial		Melaleuca	KK.9.fasta	Snails_Lau_AJJ_KK.9
KK.10			Snails_Lau_AJJ	Plant_Epiphyte	Oahu	21.41578	-158.09927	42275	ITS1F	ITS2	Terrestrial		Citrus	KK.10.fasta	Snails_Lau_AJJ_KK.10
KK.11			Snails_Lau_AJJ	Plant_Epiphyte	Oahu	21.41578	-158.09927	42275	ITS1F	ITS2	Terrestrial		Psychotria	KK.11.fasta	Snails_Lau_AJJ_KK.11
KK.12			Snails_Lau_AJJ	Plant_Epiphyte	Oahu	21.41578	-158.09927	42275	ITS1F	ITS2	Terrestrial		Antidesma	KK.12.fasta	Snails_Lau_AJJ_KK.12
KK.13			Snails_Lau_AJJ	Plant_Epiphyte	Oahu	21.41578	-158.09927	42275	ITS1F	ITS2	Terrestrial		Coprasma	KK.13.fasta	Snails_Lau_AJJ_KK.13
KK.14			Snails_Lau_AJJ	Plant_Epiphyte	Oahu	21.41578	-158.09927	42275	ITS1F	ITS2	Terrestrial		Naupaka	KK.14.fasta	Snails_Lau_AJJ_KK.14
L.INOC			Snails_Lau_AJJ	Controls	Oahu	NA	NA	NA	ITS1F	ITS2	Terrestrial		Phy_hirsuta	L.INOC.fasta	Snails_Lau_AJJ_L.INOC
C.INOC			Snails_Lau_AJJ	Controls	Oahu	NA	NA	NA	ITS1F	ITS2	Terrestrial		N/A	C.INOC.fasta	Snails_Lau_AJJ_C.INOC
GB.19			Snails_Lau_AJJ	Insect_Gut	Hawaii			42340	ITS1F	ITS2	Terrestrial			GB.19.fasta	Snails_Lau_AJJ_GB.19
GB.20			Snails_Lau_AJJ	Insect_Gut	Hawaii			42340	ITS1F	ITS2	Terrestrial			GB.20.fasta	Snails_Lau_AJJ_GB.20
GB.21			Snails_Lau_AJJ	Insect_Gut	Hawaii			42340	ITS1F	ITS2	Terrestrial			GB.21.fasta	Snails_Lau_AJJ_GB.21
GB.22			Snails_Lau_AJJ	Insect_Gut	Hawaii			42340	ITS1F	ITS2	Terrestrial			GB.22.fasta	Snails_Lau_AJJ_GB.22
GB.23			Snails_Lau_AJJ	Insect_Gut	Hawaii			42340	ITS1F	ITS2	Terrestrial			GB.23.fasta	Snails_Lau_AJJ_GB.23
GB.27			Snails_Lau_AJJ	Insect_Gut	Hawaii			42340	ITS1F	ITS2	Terrestrial			GB.27.fasta	Snails_Lau_AJJ_GB.27
GB.28			Snails_Lau_AJJ	Insect_Gut	Hawaii			42340	ITS1F	ITS2	Terrestrial			GB.28.fasta	Snails_Lau_AJJ_GB.28
GB.29			Snails_Lau_AJJ	Insect_Gut	Hawaii			42340	ITS1F	ITS2	Terrestrial			GB.29.fasta	Snails_Lau_AJJ_GB.29
GB.30			Snails_Lau_AJJ	Insect_Gut	Hawaii			42340	ITS1F	ITS2	Terrestrial			GB.30.fasta	Snails_Lau_AJJ_GB.30
GB.PosCtrl			Snails_Lau_AJJ	Controls	Hawaii	NA	NA	NA	ITS1F	ITS2	Terrestrial			GB.PosCtrl.fasta	Snails_Lau_AJJ_GB.PosCtrl
P1			Snails_Lau_AJJ	Marine	Oahu				ITS1f-PCR1	ITS2_Coral_Better-PCR1	Marine		Porites compressa	P1.fasta	Snails_Lau_AJJ_P1
P9			Snails_Lau_AJJ	Marine	Oahu				ITS1f-PCR1	ITS2_Coral_Better-PCR1	Marine		Porites compressa	P9.fasta	Snails_Lau_AJJ_P9
M7			Snails_Lau_AJJ	Marine	Oahu				ITS1f-PCR1	ITS2_Coral_Better-PCR1	Marine		Montipora capitata	M7.fasta	Snails_Lau_AJJ_M7
PT5			Snails_Lau_AJJ	Marine	Oahu				ITS1f-PCR1	ITS2_Coral_Better-PCR1	Marine		Porites compressa	PT5.fasta	Snails_Lau_AJJ_PT5
PN3			Snails_Lau_AJJ	Marine	Oahu				ITS1f-PCR1	ITS2_Coral_Better-PCR1	Marine		Porites compressa	PN3.fasta	Snails_Lau_AJJ_PN3
MT1			Snails_Lau_AJJ	Marine	Oahu				ITS1f-PCR1	ITS2_Coral_Better-PCR1	Marine		Montipora capitata	MT1.fasta	Snails_Lau_AJJ_MT1
MT9			Snails_Lau_AJJ	Marine	Oahu				ITS1f-PCR1	ITS2_Coral_Better-PCR1	Marine		Montipora capitata	MT9.fasta	Snails_Lau_AJJ_MT9
MN7			Snails_Lau_AJJ	Marine	Oahu				ITS1f-PCR1	ITS2_Coral_Better-PCR1	Marine		Montipora capitata	MN7.fasta	Snails_Lau_AJJ_MN7
Mon.WS2			Snails_Lau_AJJ	Marine	Oahu				ITS1f-PCR1	ITS2_Coral_Better-PCR1	Marine		Montipora capitata	Mon.WS2.fasta	Snails_Lau_AJJ_Mon.WS2
Mon.WS10			Snails_Lau_AJJ	Marine	Oahu				ITS1f-PCR1	ITS2_Coral_Better-PCR1	Marine		Montipora capitata	Mon.WS10.fasta	Snails_Lau_AJJ_Mon.WS10
P2			Snails_Lau_AJJ	Marine	Oahu				ITS1f-PCR1	ITS2_Coral_Better-PCR1	Marine		Porites compressa	P2.fasta	Snails_Lau_AJJ_P2
P10			Snails_Lau_AJJ	Marine	Oahu				ITS1f-PCR1	ITS2_Coral_Better-PCR1	Marine		Porites compressa	P10.fasta	Snails_Lau_AJJ_P10
M8			Snails_Lau_AJJ	Marine	Oahu				ITS1f-PCR1	ITS2_Coral_Better-PCR1	Marine		Montipora capitata	M8.fasta	Snails_Lau_AJJ_M8
PT6			Snails_Lau_AJJ	Marine	Oahu				ITS1f-PCR1	ITS2_Coral_Better-PCR1	Marine		Porites compressa	PT6.fasta	Snails_Lau_AJJ_PT6
PN4			Snails_Lau_AJJ	Marine	Oahu				ITS1f-PCR1	ITS2_Coral_Better-PCR1	Marine		Porites compressa	PN4.fasta	Snails_Lau_AJJ_PN4
MT2			Snails_Lau_AJJ	Marine	Oahu				ITS1f-PCR1	ITS2_Coral_Better-PCR1	Marine		Montipora capitata	MT2.fasta	Snails_Lau_AJJ_MT2
MT10			Snails_Lau_AJJ	Marine	Oahu				ITS1f-PCR1	ITS2_Coral_Better-PCR1	Marine		Montipora capitata	MT10.fasta	Snails_Lau_AJJ_MT10
MN8			Snails_Lau_AJJ	Marine	Oahu				ITS1f-PCR1	ITS2_Coral_Better-PCR1	Marine		Montipora capitata	MN8.fasta	Snails_Lau_AJJ_MN8
Mon.WS3			Snails_Lau_AJJ	Marine	Oahu				ITS1f-PCR1	ITS2_Coral_Better-PCR1	Marine		Montipora capitata	Mon.WS3.fasta	Snails_Lau_AJJ_Mon.WS3
Mon.WS11			Snails_Lau_AJJ	Marine	Oahu				ITS1f-PCR1	ITS2_Coral_Better-PCR1	Marine		Montipora capitata	Mon.WS11.fasta	Snails_Lau_AJJ_Mon.WS11
P3			Snails_Lau_AJJ	Marine	Oahu				ITS1f-PCR1	ITS2_Coral_Better-PCR1	Marine		Porites compressa	P3.fasta	Snails_Lau_AJJ_P3
M1			Snails_Lau_AJJ	Marine	Oahu				ITS1f-PCR1	ITS2_Coral_Better-PCR1	Marine		Montipora capitata	M1.fasta	Snails_Lau_AJJ_M1
M9			Snails_Lau_AJJ	Marine	Oahu				ITS1f-PCR1	ITS2_Coral_Better-PCR1	Marine		Montipora capitata	M9.fasta	Snails_Lau_AJJ_M9
PT7			Snails_Lau_AJJ	Marine	Oahu				ITS1f-PCR1	ITS2_Coral_Better-PCR1	Marine		Porites compressa	PT7.fasta	Snails_Lau_AJJ_PT7
PN5			Snails_Lau_AJJ	Marine	Oahu				ITS1f-PCR1	ITS2_Coral_Better-PCR1	Marine		Porites compressa	PN5.fasta	Snails_Lau_AJJ_PN5
MT3			Snails_Lau_AJJ	Marine	Oahu				ITS1f-PCR1	ITS2_Coral_Better-PCR1	Marine		Montipora capitata	MT3.fasta	Snails_Lau_AJJ_MT3
MN1			Snails_Lau_AJJ	Marine	Oahu				ITS1f-PCR1	ITS2_Coral_Better-PCR1	Marine		Montipora capitata	MN1.fasta	Snails_Lau_AJJ_MN1
MN9			Snails_Lau_AJJ	Marine	Oahu				ITS1f-PCR1	ITS2_Coral_Better-PCR1	Marine		Montipora capitata	MN9.fasta	Snails_Lau_AJJ_MN9
Mon.WS4			Snails_Lau_AJJ	Marine	Oahu				ITS1f-PCR1	ITS2_Coral_Better-PCR1	Marine		Montipora capitata	Mon.WS4.fasta	Snails_Lau_AJJ_Mon.WS4
PCR.Neg1			Snails_Lau_AJJ	Controls	Oahu	NA	NA	NA	ITS1f-PCR1	ITS2_Coral_Better-PCR1	Marine		PCR negative	PCR.Neg1.fasta	Snails_Lau_AJJ_PCR.Neg1
P4			Snails_Lau_AJJ	Marine	Oahu				ITS1f-PCR1	ITS2_Coral_Better-PCR1	Marine		Porites compressa	P4.fasta	Snails_Lau_AJJ_P4
M2			Snails_Lau_AJJ	Marine	Oahu				ITS1f-PCR1	ITS2_Coral_Better-PCR1	Marine		Montipora capitata	M2.fasta	Snails_Lau_AJJ_M2
M10			Snails_Lau_AJJ	Marine	Oahu				ITS1f-PCR1	ITS2_Coral_Better-PCR1	Marine		Montipora capitata	M10.fasta	Snails_Lau_AJJ_M10
PT8			Snails_Lau_AJJ	Marine	Oahu				ITS1f-PCR1	ITS2_Coral_Better-PCR1	Marine		Porites compressa	PT8.fasta	Snails_Lau_AJJ_PT8
PN6			Snails_Lau_AJJ	Marine	Oahu				ITS1f-PCR1	ITS2_Coral_Better-PCR1	Marine		Porites compressa	PN6.fasta	Snails_Lau_AJJ_PN6
MT4			Snails_Lau_AJJ	Marine	Oahu				ITS1f-PCR1	ITS2_Coral_Better-PCR1	Marine		Montipora capitata	MT4.fasta	Snails_Lau_AJJ_MT4
MN2			Snails_Lau_AJJ	Marine	Oahu				ITS1f-PCR1	ITS2_Coral_Better-PCR1	Marine		Montipora capitata	MN2.fasta	Snails_Lau_AJJ_MN2
