Predator_individual_number,Predator_order,Predator_family,Predator_species,Predator_development_stage,Predator_body_length_[mm,_measured],Predator_body_mass_[mg,_calculated]_,Predator_sex,Study_site,Collection_date,Consumption_prey_Araneae,Consumption_prey_Diptera,Consumption_prey_Gamasidae,Consumption_prey_Isopoda,Consumption_prey_Lumbricidae,Consumption_prey_Oribatida,Consumption_prey_Staphylinidae,Consumption_prey_Collembola,Consumption_prey_Ceratophysella_denticulata,Consumption_prey_Folsomia_quadrioculata,Consumption_prey_Lepidocyrtus_lanuginosus,Consumption_prey_Protaphorura_armata,Consumption_prey_Pogonognathellus_longicornis,Consumption_prey_Lithobiidae
2076,Lithobiomorpha,Lithobiidae,Lithobius_crassipes,adult,8,7.279457173,male,HEW12,8.10.2009,0,1,1,0,0,0,0,1,NA,NA,NA,NA,NA,NA,,
2077,Lithobiomorpha,Lithobiidae,Lithobius_crassipes,adult,8,7.279457173,female,HEW12,8.10.2009,0,0,0,0,0,0,0,1,0,1,0,0,0,NA,,
2078,Lithobiomorpha,Lithobiidae,Lithobius_mutabilis,adult,12,18.70730693,female,HEW12,8.10.2009,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,,
2079,Lithobiomorpha,Lithobiidae,Lithobius_mutabilis,adult,10,12.23742378,female,HEW12,8.10.2009,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,,
2081,Lithobiomorpha,Lithobiidae,Lithobius_nodulipes,adult,9,9.575773902,male,HEW12,8.10.2009,0,0,0,1,0,0,0,1,0,0,0,0,0,NA,,
2082,Lithobiomorpha,Lithobiidae,Lithobius_sp,subadult,5,2.437475925,NA,HEW12,8.10.2009,0,1,0,0,0,0,0,1,0,0,0,0,0,NA,,
2083,Lithobiomorpha,Lithobiidae,Lithobius_mutabilis,adult,11,15.27726276,male,HEW12,8.10.2009,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,,
2084,Lithobiomorpha,Lithobiidae,Lithobius_crassipes,adult,9,9.575773902,male,HEW12,8.10.2009,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,,
2085,Lithobiomorpha,Lithobiidae,Lithobius_mutabilis,adult,11,15.27726276,male,HEW12,8.10.2009,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,,
2086,Lithobiomorpha,Lithobiidae,Lithobius_mutabilis,adult,15,31.4486695,male,HEW12,8.10.2009,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,,
2087,Lithobiomorpha,Lithobiidae,Lithobius_sp,subadult,5,2.437475925,NA,HEW12,8.10.2009,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,,
2088,Lithobiomorpha,Lithobiidae,Lithobius_aulacopus,adult,9,9.575773902,male,HEW12,8.10.2009,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,,
2090,Lithobiomorpha,Lithobiidae,Lithobius_mutabilis,adult,12,18.70730693,male,HEW12,8.10.2009,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,,
2094,Lithobiomorpha,Lithobiidae,Lithobius_crassipes,adult,8,7.279457173,male,HEW12,8.10.2009,0,0,0,0,0,0,0,1,0,0,1,0,0,NA,,
2095,Lithobiomorpha,Lithobiidae,Lithobius_crassipes,adult,9,9.575773902,female,HEW12,8.10.2009,0,1,0,0,0,0,0,1,0,0,0,0,0,NA,,
2099,Lithobiomorpha,Lithobiidae,Lithobius_sp,subadult,5,2.437475925,NA,HEW12,8.10.2009,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,,
2106,Lithobiomorpha,Lithobiidae,Lithobius_sp,subadult,5,2.437475925,NA,HEW12,8.10.2009,0,0,0,0,0,0,0,1,0,0,1,0,0,NA,,
2187,Lithobiomorpha,Lithobiidae,Lithobius_sp,subadult,7,5.334614259,female,HEW36,8.10.2009,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,,
2188,Lithobiomorpha,Lithobiidae,Lithobius_sp,subadult,5,2.437475925,NA,HEW36,8.10.2009,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,,
2190,Lithobiomorpha,Lithobiidae,Lithobius_mutabilis,adult,11,15.27726276,male,HEW36,8.10.2009,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,,
2191,Lithobiomorpha,Lithobiidae,Lithobius_mutabilis,adult,11,15.27726276,female,HEW36,8.10.2009,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,,
2192,Lithobiomorpha,Lithobiidae,Lithobius_sp,subadult,5,2.437475925,NA,HEW36,8.10.2009,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,,
2193,Lithobiomorpha,Lithobiidae,Lithobius_crassipes,adult,7,5.334614259,male,HEW36,8.10.2009,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,,
2194,Lithobiomorpha,Lithobiidae,Lithobius_sp,subadult,5,2.437475925,NA,HEW36,8.10.2009,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,,
2195,Lithobiomorpha,Lithobiidae,Lithobius_sp,subadult,7,5.334614259,NA,HEW36,8.10.2009,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,,
2196,Lithobiomorpha,Lithobiidae,Lithobius_sp,subadult,5,2.437475925,NA,HEW36,8.10.2009,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,,
2197,Lithobiomorpha,Lithobiidae,Lithobius_mutabilis,adult,14,26.782597,male,HEW36,8.10.2009,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,,
2198,Lithobiomorpha,Lithobiidae,Lithobius_sp,adult,7,5.334614259,NA,HEW36,8.10.2009,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,,
2200,Lithobiomorpha,Lithobiidae,Lithobius_mutabilis,adult,12,18.70730693,male,HEW36,8.10.2009,0,1,0,0,0,0,0,1,0,1,0,0,0,NA,,
2201,Lithobiomorpha,Lithobiidae,Lithobius_crassipes,adult,9,9.575773902,male,HEW36,8.10.2009,0,0,0,0,0,0,0,1,0,1,0,0,0,NA,,
2203,Lithobiomorpha,Lithobiidae,Lithobius_crassipes,adult,7,5.334614259,male,HEW36,8.10.2009,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,,
2207,Lithobiomorpha,Lithobiidae,Lithobius_sp,adult,8,7.279457173,NA,HEW36,8.10.2009,0,0,0,0,0,0,0,1,0,1,0,0,0,NA,,
2208,Lithobiomorpha,Lithobiidae,Lithobius_mutabilis,subadult,9,9.575773902,male,HEW36,8.10.2009,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,,
2209,Lithobiomorpha,Lithobiidae,Lithobius_nodulipes,adult,12,18.70730693,female,HEW36,8.10.2009,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,,
2211,Lithobiomorpha,Lithobiidae,Lithobius_mutabilis,adult,11,15.27726276,female,HEW36,8.10.2009,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,,
2219,Lithobiomorpha,Lithobiidae,Lithobius_mutabilis,adult,11,15.27726276,female,HEW36,8.10.2009,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,,
2280,Lithobiomorpha,Lithobiidae,Lithobius_sp,subadult,5,2.437475925,NA,HEW10,20.10.2009,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,,
2283,Lithobiomorpha,Lithobiidae,Lithobius_mutabilis,adult,13,22.53885726,NA,HEW10,20.10.2009,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,,
2284,Lithobiomorpha,Lithobiidae,Lithobius_nodulipes,adult,12,18.70730693,NA,HEW10,20.10.2009,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,,
2286,Lithobiomorpha,Lithobiidae,Lithobius_nodulipes,adult,11,15.27726276,NA,HEW10,20.10.2009,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,,
2287,Lithobiomorpha,Lithobiidae,Lithobius_crassipes,adult,7,5.334614259,NA,HEW10,20.10.2009,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,,
2289,Lithobiomorpha,Lithobiidae,Lithobius_crassipes,adult,7,5.334614259,NA,HEW10,20.10.2009,0,0,0,0,1,0,0,1,0,0,0,0,0,NA,,
2291,Lithobiomorpha,Lithobiidae,Lithobius_nodulipes,subadult,8,7.279457173,female,HEW10,20.10.2009,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,,
2292,Lithobiomorpha,Lithobiidae,Lithobius_mutabilis,subadult,6,3.72616092,female,HEW10,20.10.2009,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,,
2295,Lithobiomorpha,Lithobiidae,Lithobius_sp,subadult,6,3.72616092,NA,HEW10,20.10.2009,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,,
2296,Lithobiomorpha,Lithobiidae,Lithobius_mutabilis,subadult,9,9.575773902,female,HEW10,20.10.2009,0,0,0,0,0,0,0,1,0,1,0,0,0,NA,,
2297,Lithobiomorpha,Lithobiidae,Lithobius_sp,subadult,5,2.437475925,NA,HEW10,20.10.2009,0,0,0,0,1,0,0,1,0,0,0,1,0,NA,,
2298,Lithobiomorpha,Lithobiidae,Lithobius_mutabilis,adult,13,22.53885726,female,HEW10,20.10.2009,0,0,0,0,0,0,0,1,0,1,0,0,0,NA,,
2299,Lithobiomorpha,Lithobiidae,Lithobius_sp,subadult,5,2.437475925,NA,HEW10,20.10.2009,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,,
2300,Lithobiomorpha,Lithobiidae,Lithobius_sp,subadult,5,2.437475925,NA,HEW10,20.10.2009,0,0,0,0,0,0,0,1,0,0,1,0,0,NA,,
2301,Lithobiomorpha,Lithobiidae,Lithobius_mutabilis,subadult,7,5.334614259,male,HEW10,20.10.2009,0,0,0,0,0,0,0,1,0,0,1,0,0,NA,,
2302,Lithobiomorpha,Lithobiidae,Lithobius_nodulipes,subadult,7,5.334614259,male,HEW10,20.10.2009,0,0,0,0,0,0,0,1,0,0,1,0,0,NA,,
2367,Lithobiomorpha,Lithobiidae,Lithobius_sp,subadult,4,1.44993766,NA,HEW11,20.10.2009,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,,
2368,Lithobiomorpha,Lithobiidae,Lithobius_sp,subadult,4,1.44993766,NA,HEW11,20.10.2009,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,,
2369,Lithobiomorpha,Lithobiidae,Lithobius_crassipes,adult,9,9.575773902,male,HEW11,20.10.2009,0,0,0,0,0,0,0,1,0,0,0,1,0,NA,,
2370,Lithobiomorpha,Lithobiidae,Lithobius_sp,subadult,4,1.44993766,NA,HEW11,20.10.2009,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,,
2371,Lithobiomorpha,Lithobiidae,Lithobius_sp,subadult,4,1.44993766,NA,HEW11,20.10.2009,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,,
2372,Lithobiomorpha,Lithobiidae,Lithobius_sp,subadult,5,2.437475925,NA,HEW11,20.10.2009,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,,
2373,Lithobiomorpha,Lithobiidae,Lithobius_sp,subadult,4,1.44993766,NA,HEW11,20.10.2009,1,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,,
2374,Lithobiomorpha,Lithobiidae,Lithobius_sp,subadult,5,2.437475925,NA,HEW11,20.10.2009,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,,
2375,Lithobiomorpha,Lithobiidae,Lithobius_mutabilis,adult,10,12.23742378,male,HEW11,20.10.2009,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,,
2376,Lithobiomorpha,Lithobiidae,Lithobius_crassipes,adult,10,12.23742378,female,HEW11,20.10.2009,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,,
2377,Lithobiomorpha,Lithobiidae,Lithobius_mutabilis,adult,10,12.23742378,male,HEW11,20.10.2009,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,,
2378,Lithobiomorpha,Lithobiidae,Lithobius_dentatus,adult,17,42.08605488,female,HEW11,20.10.2009,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,,
2379,Lithobiomorpha,Lithobiidae,Lithobius_sp,subadult,4,1.44993766,NA,HEW11,20.10.2009,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,,
2380,Lithobiomorpha,Lithobiidae,Lithobius_mutabilis,subadult,7,5.334614259,male,HEW11,20.10.2009,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,,
2381,Lithobiomorpha,Lithobiidae,Lithobius_dentatus,adult,11,15.27726276,male,HEW11,20.10.2009,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,,
2382,Lithobiomorpha,Lithobiidae,Lithobius_melanops,adult,13,22.53885726,female,HEW11,20.10.2009,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,,
2384,Lithobiomorpha,Lithobiidae,Lithobius_sp,adult,9,9.575773902,male,HEW11,20.10.2009,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,,
2385,Lithobiomorpha,Lithobiidae,Lithobius_sp,adult,8,7.279457173,male,HEW11,20.10.2009,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,,
2386,Lithobiomorpha,Lithobiidae,Lithobius_melanops,subadult,8,7.279457173,male,HEW11,20.10.2009,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,,
2443,Lithobiomorpha,Lithobiidae,Lithobius_sp,subadult,5,2.437475925,NA,HEW12,20.10.2009,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,,
2444,Lithobiomorpha,Lithobiidae,Lithobius_sp,adult,8,7.279457173,male,HEW12,20.10.2009,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,,
2445,Lithobiomorpha,Lithobiidae,Lithobius_mutabilis,adult,12,18.70730693,female,HEW12,20.10.2009,0,1,0,0,0,0,0,1,0,0,0,0,0,NA,,
2446,Lithobiomorpha,Lithobiidae,Lithobius_mutabilis,adult,13,22.53885726,male,HEW12,20.10.2009,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,,
2447,Lithobiomorpha,Lithobiidae,Lithobius_sp,subadult,5,2.437475925,NA,HEW12,20.10.2009,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,,
2448,Lithobiomorpha,Lithobiidae,Lithobius_sp,subadult,5,2.437475925,NA,HEW12,20.10.2009,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,,
2449,Lithobiomorpha,Lithobiidae,Lithobius_sp,subadult,5,2.437475925,NA,HEW12,20.10.2009,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,,
2450,Lithobiomorpha,Lithobiidae,Lithobius_crassipes,adult,9,9.575773902,female,HEW12,20.10.2009,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,,
2451,Lithobiomorpha,Lithobiidae,Lithobius_sp,subadult,4,1.44993766,NA,HEW12,20.10.2009,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,,
2452,Lithobiomorpha,Lithobiidae,Lithobius_sp,subadult,5,2.437475925,NA,HEW12,20.10.2009,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,,
2454,Lithobiomorpha,Lithobiidae,Lithobius_sp,subadult,5,2.437475925,NA,HEW12,20.10.2009,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,,
2455,Lithobiomorpha,Lithobiidae,Lithobius_crassipes,adult,8,7.279457173,male,HEW12,20.10.2009,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,,
2456,Lithobiomorpha,Lithobiidae,Lithobius_mutabilis,adult,10,12.23742378,male,HEW12,20.10.2009,0,0,1,0,0,0,0,0,0,0,0,0,0,NA,,
2457,Lithobiomorpha,Lithobiidae,Lithobius_sp,subadult,5,2.437475925,NA,HEW12,20.10.2009,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,,
2458,Lithobiomorpha,Lithobiidae,Lithobius_sp,subadult,5,2.437475925,NA,HEW12,20.10.2009,0,0,0,0,0,0,0,1,0,0,0,0,1,NA,,
2460,Lithobiomorpha,Lithobiidae,Lithobius_sp,subadult,5,2.437475925,NA,HEW12,20.10.2009,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,,
2461,Lithobiomorpha,Lithobiidae,Lithobius_melanops,adult,11,15.27726276,male,HEW12,20.10.2009,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,,
2462,Lithobiomorpha,Lithobiidae,Lithobius_melanops,subadult,7,5.334614259,male,HEW12,20.10.2009,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,,
2495,Lithobiomorpha,Lithobiidae,Lithobius_crassipes,adult,9,9.575773902,male,HEW36,20.10.2009,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,,
2496,Lithobiomorpha,Lithobiidae,Lithobius_crassipes,adult,9,9.575773902,male,HEW36,20.10.2009,0,0,0,0,0,0,0,1,0,0,0,1,0,NA,,
2497,Lithobiomorpha,Lithobiidae,Lithobius_mutabilis,adult,10,12.23742378,female,HEW36,20.10.2009,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,,
2498,Lithobiomorpha,Lithobiidae,Lithobius_sp,subadult,5,2.437475925,NA,HEW36,20.10.2009,0,1,0,0,0,0,0,1,0,0,0,0,0,NA,,
2500,Lithobiomorpha,Lithobiidae,Lithobius_crassipes,adult,8,7.279457173,female,HEW36,20.10.2009,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,,
2501,Lithobiomorpha,Lithobiidae,Lithobius_mutabilis,adult,12,18.70730693,male,HEW36,20.10.2009,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,,
2502,Lithobiomorpha,Lithobiidae,Lithobius_crassipes,adult,8,7.279457173,male,HEW36,20.10.2009,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,,
2503,Lithobiomorpha,Lithobiidae,Lithobius_sp,subadult,5,2.437475925,NA,HEW36,20.10.2009,0,0,0,0,0,0,0,1,0,1,0,0,0,NA,,
2504,Lithobiomorpha,Lithobiidae,Lithobius_sp,subadult,6,3.72616092,female,HEW36,20.10.2009,0,0,0,0,0,0,0,1,0,1,0,0,0,NA,,
2505,Lithobiomorpha,Lithobiidae,Lithobius_crassipes,adult,8,7.279457173,male,HEW36,20.10.2009,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,,
2506,Lithobiomorpha,Lithobiidae,Lithobius_mutabilis,subadult,8,7.279457173,male,HEW36,20.10.2009,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,,
2507,Lithobiomorpha,Lithobiidae,Lithobius_melanops,adult,11,15.27726276,NA,HEW36,20.10.2009,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,,
2510,Lithobiomorpha,Lithobiidae,Lithobius_sp,subadult,5,2.437475925,NA,HEW36,20.10.2009,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,,
2511,Lithobiomorpha,Lithobiidae,Lithobius_sp,subadult,5,2.437475925,NA,HEW36,20.10.2009,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,,
2512,Lithobiomorpha,Lithobiidae,Lithobius_crassipes,adult,8,7.279457173,male,HEW36,20.10.2009,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,,
2513,Lithobiomorpha,Lithobiidae,Lithobius_sp,subadult,5,2.437475925,NA,HEW36,20.10.2009,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,,
2515,Lithobiomorpha,Lithobiidae,Lithobius_crassipes,adult,8,7.279457173,male,HEW36,20.10.2009,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,,
2517,Lithobiomorpha,Lithobiidae,Lithobius_mutabilis,subadult,8,7.279457173,male,HEW36,20.10.2009,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,,
2613,Lithobiomorpha,Lithobiidae,Lithobius_muticus,subadult,7,5.334614259,NA,HEW10,28.10.2009,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,,
2614,Lithobiomorpha,Lithobiidae,Lithobius_muticus,subadult,6,3.72616092,NA,HEW10,28.10.2009,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,,
2615,Lithobiomorpha,Lithobiidae,Lithobius_muticus,subadult,5,2.437475925,NA,HEW10,28.10.2009,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,,
2616,Lithobiomorpha,Lithobiidae,Lithobius_muticus,subadult,7,5.334614259,NA,HEW10,28.10.2009,0,0,0,0,0,0,0,1,1,0,1,0,0,NA,,
2619,Lithobiomorpha,Lithobiidae,Lithobius_sp,subadult,5,2.437475925,NA,HEW10,28.10.2009,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,,
2620,Lithobiomorpha,Lithobiidae,Lithobius_muticus,subadult,6,3.72616092,NA,HEW10,28.10.2009,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,,
2621,Lithobiomorpha,Lithobiidae,Lithobius_muticus,subadult,8,7.279457173,NA,HEW10,28.10.2009,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,,
2622,Lithobiomorpha,Lithobiidae,Lithobius_muticus,subadult,7,5.334614259,NA,HEW10,28.10.2009,0,0,0,0,1,0,0,1,0,0,0,0,0,NA,,
2623,Lithobiomorpha,Lithobiidae,Lithobius_mutabilis,adult,15,31.4486695,NA,HEW10,28.10.2009,0,0,0,0,1,0,0,1,0,0,0,0,0,NA,,
2671,Lithobiomorpha,Lithobiidae,Lithobius_nodulipes,adult,12,18.70730693,NA,HEW11,28.10.2009,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,,
2673,Lithobiomorpha,Lithobiidae,Lithobius_mutabilis,adult,10,12.23742378,NA,HEW11,28.10.2009,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,,
2675,Lithobiomorpha,Lithobiidae,Lithobius_mutabilis,subadult,7,5.334614259,NA,HEW11,28.10.2009,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,,
2676,Lithobiomorpha,Lithobiidae,Lithobius_muticus,subadult,7,5.334614259,NA,HEW11,28.10.2009,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,,
2677,Lithobiomorpha,Lithobiidae,Lithobius_mutabilis,subadult,7,5.334614259,NA,HEW11,28.10.2009,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,,
2678,Lithobiomorpha,Lithobiidae,Lithobius_mutabilis,subadult,9,9.575773902,NA,HEW11,28.10.2009,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,,
2680,Lithobiomorpha,Lithobiidae,Lithobius_mutabilis,adult,11,15.27726276,NA,HEW11,28.10.2009,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,,
2682,Lithobiomorpha,Lithobiidae,Lithobius_mutabilis,adult,12,18.70730693,NA,HEW11,28.10.2009,0,0,0,0,0,0,0,1,1,0,0,0,0,NA,,
