Family,Species_number,Species_name,English_name,Clutch_size,Egg_mass,Mating_System,mass,wing,tarsus,bill,tail,Gender
8,138,Alectoris chukar,Chukar,11.5,22.5,NA,536,168,46.8,15.2,82.3,Male
8,141,Alectoris barbara,Barbary Partridge,12,19.6,NA,NA,166,45.1,15.4,95.1,Male
8,142,Alectoris rufa,Red-legged Partridge,13,20.1,2,516,165,44.5,13.9,93.2,Male
8,144,Francolinus francolinus,Black Francolin,10,23.5,NA,487.5,177,57,28.6,92.3,Male
8,149,Francolinus coqui,Coqui Francolin,4.5,16.1,NA,283.5,134,37.8,NA,75.2,Male
8,150,Francolinus albogularis,White-throated Francolin,6,14,NA,NA,135,39.8,NA,68.5,Male
8,151,Francolinus schlegelii,Schlegel's Francolin,3.5,NA,NA,NA,128,37.2,NA,66.7,Male
8,152,Francolinus lathami,Forest Francolin,2,17.5,NA,254,136,41.4,NA,73.3,Male
8,153,Francolinus sephaena,Crested Francolin,6,19.5,NA,368,154,45.8,NA,98.5,Male
8,154,Francolinus streptophorus,Ring-necked Francolin,4.5,NA,NA,385,150,40.6,NA,73.9,Male
8,155,Francolinus finschi,Finsch's Francolin,5,NA,NA,NA,167,48.9,NA,88.1,Male
8,156,Francolinus africanus,Grey-winged Francolin,5,17.8,NA,456,157,42.7,NA,84.5,Male
8,157,Francolinus levaillantii,Red-winged Francolin,5,21,NA,495,162,NA,NA,80.9,Male
8,158,Francolinus psilolaemus,Moorland Francolin,3,NA,NA,520,164,44.8,NA,85.8,Male
8,159,Francolinus shelleyi,Shelley's Francolin,4.5,NA,NA,450,162,41.8,NA,86.3,Male
8,160,Francolinus levaillantoides,OrangeRiver Francolin,6.5,NA,NA,454,163,43.1,NA,87.2,Male
8,161,Francolinus nahani,Nahan's Francolin,4,NA,NA,310,135,37.1,NA,79.5,Male
8,162,Francolinus hartlaubi,Hartlaub's Francolin,NA,NA,NA,NA,143,37.8,NA,NA,Male
8,163,Francolinus bicalcaratus,Double-spurred Francolin,6,26.5,NA,NA,177.5,56.5,28,70,Male
8,164,Francolinus clappertoni,Clapperton's Francolin,NA,23,NA,604,180,63.6,NA,87.7,Male
8,165,Francolinus icterorhynchus,Heuglin's Francolin,7,NA,NA,571,169,56.8,NA,85.2,Male
8,166,Francolinus harwoodi,Harwood's Francolin,NA,NA,NA,545,181,56,NA,81.6,Male
8,167,Francolinus adspersus,Red-billed Francolin,6.7,26.8,NA,461,177,54.2,NA,103,Male
8,168,Francolinus capensis,Cape Francolin,7.4,33,NA,757.5,212,67.8,NA,119,Male
8,169,Francolinus hildebrandti,Hildebrandt's Francolin,6,26.3,NA,622.5,174,50.3,NA,105,Male
8,170,Francolinus natalensis,Natal Francolin,5,NA,NA,532.5,168,49.3,NA,101,Male
8,171,Francolinus ahantensis,Ahanta Francolin,5,NA,NA,NA,172,56.4,NA,98,Male
8,172,Francolinus squamatus,Scaly Francolin,6,NA,NA,510,175,53.9,NA,97.4,Male
8,173,Francolinus griseostriatus,Grey-striped Francolin,NA,NA,NA,NA,153,48,NA,95,Male
8,174,Francolinus leucoscepus,Yellow-necked Spurfowl,5,30.8,NA,753,200,64.4,NA,102,Male
8,175,Francolinus rufopictus,Grey-breasted Spurfowl,4.5,28.4,NA,848,213,68,NA,95,Male
8,176,Francolinus afer,Red-necked Spurfowl,6,33,NA,532.5,192,60,NA,102,Male
8,177,Francolinus swainsonii,Swainson's Spurfowl,5.5,29.1,NA,732,191,60.5,NA,90.1,Male
8,178,Francolinus erckelii,Erckel's Francolin,7,33,NA,1263.3,216,66.2,NA,130,Male
8,179,Francolinus ochropectus,Ochre-breasted Francolin,NA,NA,NA,NA,204.5,62.5,NA,127,Male
8,180,Francolinus castaneicollis,Chestnut-naped Francolin,5.5,NA,NA,1057.5,210,67,NA,133,Male
8,181,Francolinus nobilis,Handsome Francolin,NA,NA,NA,878.5,198,64.6,NA,106,Male
8,182,Francolinus jacksoni,Jackson's Francolin,NA,NA,NA,1064,218,74.7,NA,129,Male
8,183,Francolinus camerunensis,Cameroon Francolin,NA,NA,NA,NA,171,59,NA,82,Male
8,184,Francolinus swierstrai,Swierstra's Francolin,NA,NA,NA,NA,171,53,NA,98,Male
8,185,Perdix perdix,Grey Partridge,15,14.1,NA,378,159,42.5,12.9,78.2,Male
8,191,Coturnix coturnix,Common Quail,10.5,8.2,2,94.5,111,26,8.9,36.5,Male
8,193,Coturnix pectoralis,Stubble Quail,7.6,8.6,2,97.9,102.1,23.1,11.5,33,Male
8,196,Coturnix delegorguei,Harlequin Quail,6,7.5,NA,72.4,96,NA,NA,NA,Male
8,197,Coturnix ypsilophora,Brown Quail,7.9,11.2,2,98,98.3,22.6,13.2,45.5,Male
8,199,Coturnix chinensis,Blue-breasted Quail,6.5,4.8,2,41,72.1,19,9.7,NA,Male
8,201,Perdicula asiatica,Jungle Bush-Quail,NA,5.6,2,NA,NA,NA,NA,NA,Male
8,226,Ptilopachus petrosus,Stone Partridge,5,11.9,NA,190,123,NA,NA,NA,Male
8,243,Gallus gallus,Red Junglefowl,NA,NA,4,844,NA,NA,NA,NA,Male
8,247,Lophura leucomelanos,Kalij Pheasant,NA,NA,4,995,NA,NA,NA,NA,Male
8,269,Phasianus colchicus,Common Pheasant,11.5,31.5,4,1186,245,NA,NA,466,Male
8,270,Chrysolophus pictus,Golden Pheasant,8.5,26.7,NA,875,195,70.6,29.8,678,Male
8,281,Afropavo congensis,Congo Peafowl,3,70,NA,NA,318,99,NA,221,Male
8,285,Dendragapus canadensis,Spruce Grouse,NA,NA,5,492,182,38.2,10.5,NA,Male
8,286,Dendragapus obscurus,Blue Grouse,7.1,32.5,5,1273,229,96,20,169,Male
8,287,Lagopus lagopus,Willow Ptarmigan,7.5,21.5,2,635,208,40,11.5,122.6,Male
8,288,Lagopus mutus,Rock Ptarmigan,7.23,20,2,439,203,32.4,9.72,116.3,Male
8,289,Lagopus leucurus,White-tailed Ptarmigan,5.21,20,2,359,200.5,NA,NA,105,Male
8,290,Tetrao tetrix,Black Grouse,8.5,35.5,NA,1290,257,49.7,14.6,193,Male
8,291,Tetrao mlokosiewiczi,Caucasian Grouse,6,32.5,NA,865,206,50,13.6,210,Male
8,292,Tetrao urogallus,Western Capercaillie,8,53,5,4240,390,70.6,31.4,312,Male
8,294,Bonasa bonasia,Hazel Grouse,9,19,NA,369,168,33.6,10.5,NA,Male
8,296,Bonasa umbellus,Ruffed Grouse,11.03,18,5,585,NA,43.6,26.9,184,Male
8,297,Centrocercus urophasianus,Sage Grouse,7.35,43,NA,3200,340,74,41,NA,Male
8,298,Tympanuchus phasianellus,Sharp-tailed Grouse,11.78,24,5,953,NA,NA,NA,NA,Male
8,299,Tympanuchus cupido,Greater Prairie-chicken,10.55,24.5,5,933,229,48,NA,104.7,Male
8,300,Tympanuchus pallidicinctus,Lesser Prairie-chicken,11.42,NA,NA,743,210.4,96.4,NA,NA,Male
8,301,Meleagris gallopavo,Wild Turkey,10.52,78.8,5,7400,511,136.8,34.8,372.5,Male
9,303,Agelastes meleagrides,White-breasted Guineafowl,NA,29.2,NA,NA,209,84,NA,152.5,Male
9,304,Agelastes niger,Black Guineafowl,NA,29.5,NA,NA,209,82,NA,156,Male
9,305,Numida meleagris,Helmeted Guineafowl,8,39.4,2,1597,269,84,NA,172,Male
9,306,Guttera plumifera,Plumed Guineafowl,9.5,38.5,NA,NA,228,83,NA,131,Male
9,307,Guttera pucherani,Crested Guineafowl,4.5,48.6,NA,1149,268,93,NA,151,Male
9,308,Acryllium vulturinum,Vulturine Guineafowl,NA,49,NA,1335.5,298,109,NA,272,Male
10,312,Oreortyx pictus,Mountain Quail,10.9,10.41,NA,244.7,133.7,36.9,15.3,86.1,Male
10,313,Callipepla squamata,Scaled Quail,NA,10.3,2,191,NA,33,14,NA,Male
10,315,Callipepla californica,California Quail,NA,10,2,186.4,NA,31.05,NA,NA,Male
10,316,Callipepla gambelii,Gambel's Quail,NA,9.5,2,171.1,NA,NA,NA,NA,Male
10,318,Colinus virginianus,Northern Bobwhite,6.5,8.9,2,173,NA,NA,NA,146,Male
10,337,Cyrtonyx montezumae,Montezuma Quail,10.6,10.1,NA,191.7,123.3,26.62,8.62,58,Male
12,343,Anseranas semipalmata,Magpie Goose,9.05,128,2,2766,419,106,80,NA,Male
13,344,Dendrocygna guttata,Spotted Whistling-Duck,NA,50,NA,NA,NA,NA,NA,NA,Male
13,345,Dendrocygna eytoni,Plumed Whistling-Duck,11,40,2,788,232,59.5,40,69.2,Male
13,346,Dendrocygna bicolor,Fulvous Whistling-Duck,13.34,51,2,675,216,54.2,46.2,51.5,Male
13,347,Dendrocygna arcuata,Wandering Whistling-Duck,10.5,40,2,866,214,52,48,54.5,Male
13,349,Dendrocygna viduata,White-faced Whistling-Duck,7.25,36,NA,686,219,52.6,47.7,55.4,Male
13,350,Dendrocygna arborea,West Indian Whistling-Duck,NA,54,NA,NA,NA,NA,NA,NA,Male
13,351,Dendrocygna autumnalis,Black-bellied Whistling-Duck,13.4,44,NA,813,NA,NA,NA,NA,Male
13,352,Thalassornis leuconotus,White-backed Duck,6.75,84,NA,720,NA,NA,NA,NA,Male
14,353,Oxyura dominica,Masked Duck,NA,70,NA,406,NA,NA,NA,NA,Male
14,354,Oxyura jamaicensis,Ruddy Duck,8.1,73,NA,590,NA,NA,NA,68.8,Male
14,356,Oxyura leucocephala,White-headed Duck,7.5,96,NA,737,162,35.9,45.5,92.4,Male
14,357,Oxyura maccoa,Maccoa Duck,5.9,96,4,820,169,34,41,72.5,Male
14,358,Oxyura vittata,Lake Duck,NA,86,NA,690,NA,NA,NA,NA,Male
14,359,Oxyura australis,Blue-billed Duck,5.5,90,2,812,160,37.3,40.3,66.5,Male
14,360,Biziura lobata,Musk Duck,2.8,128,5,2398,223,52.6,41,113.5,Male
14,361,Heteronetta atricapilla,Black-headed Duck,NA,NA,NA,460,NA,NA,NA,NA,Male
14,362,Stictonetta naevosa,Freckled Duck,6,66,2,969,234,47.8,56.6,68.8,Male
14,363,Cygnus olor,Mute Swan,5.3,340,2,11800,606,NA,NA,224,Male
14,364,Cygnus atratus,Black Swan,4.55,258,2,6200,511.7,100.3,70.8,105.5,Male
14,365,Cygnus melanocorypha,Black-necked Swan,NA,247,2,5400,NA,NA,NA,NA,Male
14,366,Cygnus cygnus,Whooper Swan,4.4,331,2,14000,NA,NA,NA,169,Male
14,367,Cygnus buccinator,Trumpeter Swan,NA,324,NA,11400,NA,NA,NA,NA,Male
14,368,Cygnus columbianus,Tundra Swan,4,280,2,7258,531,NA,NA,151,Male
14,369,Coscoroba coscoroba,Coscoroba Swan,NA,185,NA,4600,NA,NA,NA,NA,Male
14,370,Anser cygnoides,Swan Goose,NA,145,NA,3500,NA,NA,NA,NA,Male
14,371,Anser brachyrhynchus,Pink-footed Goose,4.4,120,NA,2770,443,NA,NA,135,Male
14,372,Anser fabalis,Bean Goose,5,146,NA,3198,NA,NA,NA,132,Male
14,373,Anser albifrons,Greater White-fronted Goose,5.5,125,2,2853,428,NA,NA,119,Male
14,374,Anser erythropus,Lesser White-fronted Goose,5.83,100,NA,1870,NA,NA,NA,139,Male
14,375,Anser anser,Greylag Goose,NA,160,2,3692,NA,NA,NA,139,Male
14,376,Anser indicus,Bar-headed Goose,NA,141,NA,2505,NA,NA,NA,NA,Male
14,377,Anser caerulescens,Snow Goose,NA,127,2,2744,423.9,NA,NA,NA,Male
14,378,Anser rossii,Ross's Goose,NA,92,NA,1679,NA,NA,NA,NA,Male
14,379,Anser canagica,Emperor Goose,NA,120,NA,2812,NA,NA,NA,NA,Male
14,380,Branta sandvicensis,Nene,3.13,131,2,2010,NA,NA,NA,NA,Male
14,381,Branta canadensis,Canada Goose,5,163,2,3814,506,NA,NA,150,Male
14,382,Branta leucopsis,Barnacle Goose,NA,107,2,1788,410,NA,NA,126,Male
14,383,Branta bernicla,Brent Goose,4,91,2,1370,340,NA,NA,94.6,Male
14,384,Branta ruficollis,Red-breasted Goose,NA,90,NA,1375,NA,NA,NA,109,Male
14,385,Cereopsis novaehollandiae,Cape Barren Goose,4.24,137,2,5290,470,111.2,50.5,169,Male
14,386,Cyanochen cyanopterus,Blue-winged Goose,NA,NA,NA,2180,NA,NA,NA,162,Male
14,387,Chloephaga melanoptera,Andean Goose,NA,113,NA,2730,NA,NA,NA,NA,Male
14,388,Chloephaga picta,Upland Goose,NA,NA,NA,3170,NA,NA,NA,NA,Male
14,389,Chloephaga hybrida,Kelp Goose,NA,139,NA,2611,NA,NA,NA,NA,Male
14,390,Chloephaga poliocephala,Ashy-headed Goose,NA,89,NA,2267,NA,NA,NA,NA,Male
14,391,Chloephaga rubidiceps,Ruddy-headed Goose,NA,NA,NA,1750,NA,NA,NA,NA,Male
14,392,Neochen jubata,Orinoco Goose,NA,63,NA,NA,NA,NA,NA,NA,Male
14,393,Alopochen aegyptiacus,Egyptian Goose,8.5,97,NA,2075,392,85.5,49.6,123,Male
14,394,Tadorna ferruginea,Ruddy Shelduck,8.5,83,NA,1360,NA,NA,NA,125,Male
14,395,Tadorna cana,South African Shelduck,10,83,NA,1758,355.8,58,45.2,125.9,Male
14,396,Tadorna tadornoides,Australian Shelduck,9.33,93,2,1559,358,65.4,46,113,Male
14,397,Tadorna variegata,Paradise Shelduck,9.4,91,2,1712,374.5,67.1,43.7,128.2,Male
14,399,Tadorna tadorna,Common Shelduck,10.58,78,NA,1261,334,NA,NA,108,Male
14,400,Tadorna radjah,Radjah Shelduck,NA,59,2,934,282,54.9,46,106.2,Male
14,401,Tachyeres pteneres,Flightless Steamerduck,NA,166.5,NA,5394,NA,NA,NA,NA,Male
14,402,Tachyeres leucocephalus,Chubut Steamerduck,NA,NA,NA,3808,NA,NA,NA,NA,Male
14,403,Tachyeres brachypterus,Falkland Steamerduck,NA,147,NA,4200,NA,NA,NA,NA,Male
14,404,Tachyeres patachonicus,Flying Steamerduck,NA,115,NA,2958,NA,NA,NA,NA,Male
14,405,Plectropterus gambensis,Spur-winged Goose,6.5,140,4,6100,NA,NA,NA,NA,Male
14,406,Cairina moschata,Muscovy Duck,NA,74,4,3000,NA,NA,NA,NA,Male
14,407,Cairina scutulata,White-winged Duck,NA,72.3,NA,3400,NA,NA,NA,NA,Male
14,408,Pteronetta hartlaubii,Hartlaub's Duck,9,NA,NA,976,NA,NA,NA,NA,Male
14,409,Sarkidiornis melanotos,Comb Duck,8.5,66,NA,1455,359,59.8,51,137.7,Male
14,410,Nettapus pulchellus,Green Pygmy-goose,NA,30,2,310,173.8,26.9,24.6,66.7,Male
14,411,Nettapus coromandelianus,Cotton Pygmy-goose,NA,27,2,282,186.5,28.4,23,67,Male
14,412,Nettapus auritus,African Pygmy-goose,9,23,NA,285,NA,NA,NA,NA,Male
14,413,Callonetta leucophrys,Ringed Teal,NA,NA,NA,423,NA,NA,NA,NA,Male
14,414,Aix sponsa,Wood Duck,10.95,44,2,680,NA,NA,NA,NA,Male
14,415,Aix galericulata,Mandarin Duck,11.5,41,NA,628,NA,NA,NA,101,Male
14,416,Chenonetta jubata,Maned Duck,NA,54,2,815,277,51.2,27.9,95.7,Male
14,417,Amazonetta brasiliensis,Brazilian Teal,NA,NA,NA,430,NA,NA,NA,NA,Male
14,418,Merganetta armata,Torrent Duck,NA,NA,NA,440,NA,NA,NA,NA,Male
14,419,Hymenolaimus malacorhynchos,Blue Duck,6.5,NA,2,897,233,49.8,44,107,Male
14,420,Salvadorina waigiuensis,Salvadori's Teal,NA,NA,NA,462,NA,NA,NA,NA,Male
14,422,Anas specularis,Spectacled Duck,NA,53,NA,1460,NA,NA,NA,NA,Male
14,423,Anas capensis,Cape Teal,8.09,50,NA,419,NA,NA,NA,NA,Male
14,424,Anas strepera,Gadwall,9.96,44,NA,990,269,NA,NA,86,Male
14,425,Anas falcata,Falcated Duck,NA,49,NA,713,NA,NA,NA,NA,Male
14,426,Anas penelope,Eurasian Wigeon,9,44,NA,819,NA,NA,NA,106,Male
14,427,Anas americana,American Wigeon,8.48,43,2,821,263,NA,NA,116,Male
14,428,Anas sibilatrix,Chiloe Wigeon,NA,53,NA,939,NA,NA,NA,NA,Male
14,429,Anas sparsa,African Black Duck,NA,71.7,NA,1086,NA,43,47,110,Male
14,430,Anas rubripes,American Black Duck,9.33,63,2,1252,285,NA,NA,NA,Male
14,431,Anas fulvigula,Mottled Duck,9.4,55.5,NA,1030,259,NA,NA,NA,Male
14,432,Anas platyrhynchos,Mallard,10.53,54,2,1210,279,NA,NA,85.8,Male
14,433,Anas wyvilliana,Hawaiian Duck,8.3,NA,NA,644,NA,NA,NA,NA,Male
14,434,Anas laysanensis,Laysan Duck,3.8,NA,NA,463,NA,NA,NA,74.5,Male
14,435,Anas poecilorhyncha,Spot-billed Duck,NA,57,NA,1365,NA,NA,NA,NA,Male
14,436,Anas luzonica,Philippine Duck,NA,NA,NA,906,NA,NA,NA,NA,Male
14,437,Anas superciliosa,Pacific Black Duck,11,63,2,1059,261,46,52,88,Male
14,438,Anas undulata,Yellow-billed Duck,7.8,55,NA,954,583,45,52,100,Male
14,439,Anas melleri,Meller's Duck,NA,45,NA,1010,NA,NA,NA,NA,Male
14,440,Anas discors,Blue-winged Teal,10.1,29,2,478,182.9,NA,NA,65,Male
14,441,Anas cyanoptera,Cinnamon Teal,9.13,32,NA,408,NA,NA,NA,71,Male
14,442,Anas smithii,Cape Shoveler,9.36,NA,NA,688,238.1,41.1,60.6,76.4,Male
14,443,Anas platalea,Red Shoveler,NA,46,NA,608,NA,NA,NA,NA,Male
14,444,Anas rhynchotis,Australian Shoveler,10,43.2,2,667,248,37.6,61.9,78.6,Male
14,445,Anas clypeata,Northern Shoveler,9.2,40,2,636,NA,NA,NA,81.7,Male
14,446,Anas bernieri,Bernier's Teal,NA,36,NA,380,NA,NA,NA,NA,Male
14,447,Anas gibberifrons,Sunda Teal,NA,35,NA,508,NA,NA,NA,NA,Male
14,448,Anas gracilis,Grey Teal,8.3,NA,2,508,208.5,36,38.2,88.2,Male
14,449,Anas castanea,Chestnut Teal,9.5,40,2,683,217.6,38.1,40.8,91.3,Male
14,450,Anas aucklandica,Brown Teal,3.5,NA,2,521,139,33,38.6,90,Male
14,451,Anas bahamensis,White-cheeked Pintail,NA,34,NA,503,NA,NA,NA,NA,Male
14,452,Anas erythrorhyncha,Red-billed Duck,10,39,NA,617,223.8,36,44.3,81.3,Male
14,453,Anas flavirostris,Speckled Teal,NA,39,NA,429,NA,NA,NA,NA,Male
14,454,Anas acuta,Northern Pintail,8.3,45,2,1025,275,NA,NA,179,Male
14,455,Anas eatoni,Eaton's Pintail,4.11,37,2,497,229.4,33.5,36.6,103.1,Male
14,456,Anas georgica,Yellow-billed Pintail,NA,37,2,632,217,37,34,100,Male
14,457,Anas querquedula,Garganey,8.5,27,NA,342,NA,NA,NA,66.1,Male
14,458,Anas formosa,Baikal Teal,NA,31,NA,437,NA,NA,NA,NA,Male
14,459,Anas crecca,Common Teal,9.5,26.5,2,322,187,NA,NA,66.9,Male
14,461,Anas versicolor,Silver Teal,NA,34,NA,442,NA,NA,NA,NA,Male
14,462,Anas hottentota,Hottentot Teal,7.1,NA,NA,NA,NA,NA,NA,NA,Male
14,463,Malacorhynchus membranaceus,Pink-eared Duck,7.24,NA,2,404,197,34.4,67,60.8,Male
14,464,Marmaronetta angustirostris,Marbled Teal,10.5,NA,NA,562,207,NA,44.2,69.8,Male
14,466,Netta rufina,Red-crested Pochard,9,56,NA,1130,NA,NA,NA,70.6,Male
14,467,Netta peposaca,Rosy-billed Pochard,NA,NA,NA,1181,NA,NA,NA,NA,Male
14,468,Netta erythrophthalma,Southern Pochard,6.7,59,NA,788,217.5,39.6,44,59,Male
14,469,Aythya ferina,Common Pochard,8.54,66,NA,849,NA,NA,NA,54.2,Male
14,470,Aythya valisineria,Canvasback,8.1,68,2,1252,NA,NA,NA,57.1,Male
14,471,Aythya americana,Redhead,NA,65,NA,1100,NA,NA,NA,NA,Male
14,472,Aythya collaris,Ring-necked Duck,8.84,51,2,744,206,NA,NA,NA,Male
14,473,Aythya nyroca,Ferruginous Pochard,9,43,NA,583,NA,NA,NA,54,Male
14,475,Aythya baeri,Baer's Pochard,NA,43,NA,880,NA,NA,NA,NA,Male
14,476,Aythya australis,Hardhead,11,60,NA,902,218.9,39.9,44.8,NA,Male
14,477,Aythya fuligula,Tufted Duck,9.5,56,NA,723,NA,NA,NA,53.7,Male
14,478,Aythya novaeseelandiae,New Zealand Scaup,7.39,63,2,677,187.7,35.4,38.7,56.2,Male
14,479,Aythya marila,Greater Scaup,9.5,67,2,1052,227,NA,NA,56.3,Male
14,480,Aythya affinis,Lesser Scaup,9.91,51,2,825,NA,NA,NA,52.3,Male
14,481,Somateria mollissima,Common Eider,3.06,110,2,2218,NA,NA,NA,96,Male
14,482,Somateria spectabilis,King Eider,4.5,73,NA,1668,NA,NA,NA,82.8,Male
14,483,Somateria fischeri,Spectacled Eider,NA,73,NA,1432,NA,NA,NA,NA,Male
14,484,Polysticta stelleri,Steller's Eider,7,58,NA,773,NA,NA,NA,NA,Male
14,486,Histrionicus histrionicus,Harlequin Duck,5.7,53,2,653,205,NA,NA,93,Male
14,487,Clangula hyemalis,Long-tailed Duck,7.5,43,2,661,NA,NA,NA,215,Male
14,488,Melanitta nigra,Black Scoter,6.8,72,2,1100,NA,NA,NA,92.3,Male
14,489,Melanitta perspicillata,Surf Scoter,NA,62,NA,1000,NA,NA,NA,NA,Male
14,490,Melanitta fusca,White-winged Scoter,8.43,92,2,1794,NA,NA,NA,81.2,Male
14,491,Bucephala clangula,Common Goldeneye,9.3,57,NA,1000,NA,NA,NA,84.6,Male
14,492,Bucephala islandica,Barrow's Goldeneye,9.5,70,NA,1090,NA,NA,NA,88.9,Male
14,493,Bucephala albeola,Bufflehead,NA,37,2,481,NA,NA,NA,67.5,Male
14,494,Mergellus albellus,Smew,8,42,NA,652,NA,NA,NA,74.8,Male
14,495,Lophodytes cucullatus,Hooded Merganser,NA,60,NA,680,NA,NA,NA,NA,Male
14,497,Mergus serrator,Red-breasted Merganser,9.2,72,2,1135,NA,NA,NA,81.2,Male
14,498,Mergus squamatus,Scaly-sided Merganser,NA,NA,NA,1232,NA,NA,NA,NA,Male
14,499,Mergus merganser,Common Merganser,9.4,82,2,1709,NA,NA,NA,105,Male
15,501,Turnix sylvatica,Small Buttonquail,4,6,1,36,76.7,18.4,NA,39.4,Male
15,502,Turnix maculosa,Red-backed Buttonquail,3.6,4.6,1,33.9,76,18.6,10.2,NA,Male
15,504,Turnix hottentotta,Hottentot Buttonquail,3,4.5,NA,40.1,73.9,19.8,NA,24.7,Male
15,507,Turnix suscitator,Barred Buttonquail,NA,NA,1,44,NA,NA,NA,NA,Male
15,509,Turnix melanogaster,Black-breasted Buttonquail,3.5,7.5,1,65.3,108.2,24,13.7,NA,Male
15,510,Turnix castanota,Chestnut-backed Buttonquail,4,6.6,NA,68.9,90.6,21.8,14,35,Male
15,511,Turnix olivii,Buff-breasted Buttonquail,3,NA,NA,NA,101,22.8,15.1,41,Male
15,512,Turnix varia,Painted Buttonquail,3.65,8,1,82,101.5,21.5,13,NA,Male
15,515,Turnix pyrrhothorax,Red-chested Buttonquail,4,4.4,1,37.1,78.4,18.2,10.6,NA,Male
15,516,Turnix velox,Little Buttonquail,3.66,4.2,1,37,78.1,17.4,10.1,30,Male
15,517,Ortyxelos meiffrenii,Lark Buttonquail,2,2,NA,17.6,73,18,NA,30.3,Male
16,518,Indicator maculatus,Spotted Honeyguide,2,NA,NA,50.6,102,15.8,12.7,66.2,Male
16,519,Indicator variegatus,Scaly-throated Honeyguide,2,NA,NA,48.5,109,15.6,12.4,69.9,Male
16,520,Indicator indicator,Greater Honeyguide,4,NA,NA,48.9,111,16,13.6,73.6,Male
16,522,Indicator minor,Lesser Honeyguide,NA,NA,NA,27.5,89.2,14,10.6,56.7,Male
16,523,Indicator conirostris,Thick-billed Honeyguide,NA,NA,NA,29,90.6,15.1,11,57.3,Male
16,524,Indicator willcocksi,Willcocks's Honeyguide,NA,NA,NA,20,76.2,13.3,8.4,49.3,Male
16,525,Indicator exilis,Least Honeyguide,NA,NA,NA,18.8,73.5,12.7,8.8,46.8,Male
16,526,Indicator pumilio,Dwarf Honeyguide,NA,NA,NA,14.3,72.9,11.8,7.8,48.9,Male
16,527,Indicator meliphilus,Pallid Honeyguide,NA,NA,NA,16,75.1,12.8,7.7,47.9,Male
16,529,Melichneutes robustus,Lyre-tailed Honeyguide,NA,NA,NA,56.9,96,14.7,13.4,58.4,Male
16,530,Melignomon eisentrauti,Yellow-footed Honeyguide,NA,NA,NA,25.5,83.2,16,12.8,49.8,Male
16,531,Melignomon zenkeri,Zenker's Honeyguide,NA,NA,NA,NA,82.6,15.9,11.35,53.8,Male
16,532,Prodotiscus insignis,Cassin's Honeyguide,NA,NA,NA,11.5,66,10.8,8.5,44.6,Male
16,533,Prodotiscus zambesiae,Green-backed Honeyguide,2,NA,NA,9.7,74.2,11.1,8.9,47.4,Male
16,534,Prodotiscus regulus,Wahlberg's Honeyguide,5.5,NA,NA,14.1,77.5,11.7,11.5,50.5,Male
17,535,Jynx torquilla,Eurasian Wryneck,7.5,2.7,2,38.8,89.6,19.5,16.1,58.5,Male
17,536,Jynx ruficollis,Rufous-necked Wryneck,3.1,3.5,NA,54.1,93.9,20.8,NA,71.2,Male
17,563,Sasia africana,African Piculet,2,1.08,NA,NA,47.6,11.04,NA,18.2,Male
17,568,Melanerpes lewis,Lewis's Woodpecker,5.88,5.6,NA,106.3,168.2,25.6,24.2,100.4,Male
17,569,Melanerpes herminieri,Guadeloupe Woodpecker,NA,NA,2,NA,NA,NA,NA,NA,Male
