Family,Species_number,Species_name,English_name,M_mass,M_mass_N,F_mass,F_mass_N,unsexed_mass,unsexed_mass_N,M_wing,M_wing_N,F_wing,F_wing_N,Unsexed_wing,Unsexed_wing_N,M_tarsus,M_tarsus_N,F_tarsus,F_tarsus_N,Unsexed_tarsus,Unsexed_tarsus_N,M_bill,M_bill_N,F_bill,F_bill_N,Unsexed_bill,Unsexed_bill_N,M_tail,M_tail_N,F_tail,F_tail_N,Unsexed_tail,Unsexed_tail_N,Clutch_size,Egg_mass,Mating_System
6,68,Ortalis motmot,Little Chachalaca,423,NA,385,NA,423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63,2
6,92,Penelopina nigra,Highland Guan,NA,NA,NA,NA,890,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
6,101,Crax rubra,Great Curassow,4200,NA,3685,NA,4200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,218,2
7,108,Alectura lathami,Australian Brush-turkey,2450,27,2210,13,NA,NA,320.7,35,307,23,NA,NA,123.3,34,111.2,23,NA,NA,39.3,36,36.2,23,NA,NA,270.2,6,261.7,3,NA,NA,14.78,190,4
7,118,Megapodius reinwardt,Orange-footed Scrubfowl,1098,5,888,6,NA,NA,269,9,265,6,NA,NA,76.1,9,73.4,6,NA,NA,NA,NA,NA,NA,NA,NA,108,9,111,6,NA,NA,5.5,129,2
7,126,Leipoa ocellata,Malleefowl,2040,2,1830,4,NA,NA,337.88,6,325.5,4,NA,NA,74.8,5,71,4,NA,NA,27.6,5,28.2,4,NA,NA,NA,NA,NA,NA,NA,NA,18.6,175,2
8,128,Ammoperdix griseogularis,See-see Partridge,205,3,183.7,3,NA,NA,136,8,130,8,NA,NA,34.4,8,31.6,8,NA,NA,11.9,8,11.1,8,NA,NA,55.5,8,56,8,NA,NA,10,12.3,NA
8,129,Ammoperdix heyi,Sand Partridge,NA,NA,NA,NA,NA,NA,131,12,128,11,NA,NA,33.9,12,32.3,10,NA,NA,12.3,12,11.4,10,NA,NA,92.3,12,88.3,7,NA,NA,10,13.8,NA
8,131,Tetraogallus caspius,Caspian Snowcock,2684.5,NA,2343.8,NA,NA,NA,303,3,288,3,NA,NA,67,3,61.8,3,NA,NA,NA,NA,NA,NA,NA,NA,188,3,176,2,NA,NA,7.5,75,NA
8,137,Alectoris graeca,Rock Partridge,700,NA,575,NA,NA,NA,171,8,162,13,NA,NA,46.9,9,44.5,13,NA,NA,15.2,8,13.7,12,NA,NA,NA,NA,NA,NA,NA,NA,11,19.7,2
8,138,Alectoris chukar,Chukar,536,5,501,4,NA,NA,168,5,154,12,NA,NA,46.8,5,44.1,12,NA,NA,15.2,5,14.3,12,NA,NA,82.3,5,78.9,12,NA,NA,11.5,22.5,NA
8,141,Alectoris barbara,Barbary Partridge,NA,NA,NA,NA,500,NA,166,15,156,8,NA,NA,45.1,13,43.1,8,NA,NA,15.4,10,14.5,7,NA,NA,95.1,13,83.6,8,NA,NA,12,19.6,NA
8,142,Alectoris rufa,Red-legged Partridge,516,7,439,8,NA,NA,165,14,157,9,NA,NA,44.5,15,41.4,13,NA,NA,13.9,11,13.3,9,NA,NA,93.2,13,84.4,13,NA,NA,13,20.1,2
8,144,Francolinus francolinus,Black Francolin,487.5,NA,425,NA,NA,NA,177,12,167,7,NA,NA,57,12,52.4,7,NA,NA,28.6,12,26.6,7,NA,NA,92.3,12,88.3,7,NA,NA,10,23.5,NA
8,149,Francolinus coqui,Coqui Francolin,283.5,2,238.5,4,NA,NA,134,221,131,139,NA,NA,37.8,221,37.1,139,NA,NA,NA,NA,NA,NA,NA,NA,75.2,221,75.4,139,NA,NA,4.5,16.1,NA
8,150,Francolinus albogularis,White-throated Francolin,NA,NA,NA,NA,276,8,135,4,127,4,NA,NA,39.8,4,38.1,4,NA,NA,NA,NA,NA,NA,NA,NA,68.5,4,64.5,4,NA,NA,6,14,NA
8,151,Francolinus schlegelii,Schlegel's Francolin,NA,NA,NA,NA,NA,NA,128,10,123,8,NA,NA,37.2,10,34.4,8,NA,NA,NA,NA,NA,NA,NA,NA,66.7,10,65.1,8,NA,NA,3.5,NA,NA
8,152,Francolinus lathami,Forest Francolin,254,1,284,1,NA,NA,136,24,134,39,NA,NA,41.4,24,40.6,39,NA,NA,NA,NA,NA,NA,NA,NA,73.3,24,72.5,39,NA,NA,2,17.5,NA
8,153,Francolinus sephaena,Crested Francolin,368,17,315,9,NA,NA,154,44,145,55,NA,NA,45.8,44,42.7,55,NA,NA,NA,NA,NA,NA,NA,NA,98.5,44,95.7,55,NA,NA,6,19.5,NA
8,154,Francolinus streptophorus,Ring-necked Francolin,385,2,NA,NA,NA,NA,150,16,152,9,NA,NA,40.6,16,42.5,9,NA,NA,NA,NA,NA,NA,NA,NA,73.9,16,77.7,9,NA,NA,4.5,NA,NA
8,155,Francolinus finschi,Finsch's Francolin,NA,NA,NA,NA,NA,NA,167,4,166,9,NA,NA,48.9,4,45,9,NA,NA,NA,NA,NA,NA,NA,NA,88.1,4,84.7,9,NA,NA,5,NA,NA
8,156,Francolinus africanus,Grey-winged Francolin,456,6,397.5,4,NA,NA,157,27,153,20,NA,NA,42.7,27,41.7,20,NA,NA,NA,NA,NA,NA,NA,NA,84.5,27,81.1,20,NA,NA,5,17.8,NA
8,157,Francolinus levaillantii,Red-winged Francolin,495,1,515,1,487,22,162,23,158,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80.9,23,77.4,17,NA,NA,5,21,NA
8,158,Francolinus psilolaemus,Moorland Francolin,520,2,440,2,NA,NA,164,17,159,11,NA,NA,44.8,17,44.4,11,NA,NA,NA,NA,NA,NA,NA,NA,85.8,17,87.4,11,NA,NA,3,NA,NA
8,159,Francolinus shelleyi,Shelley's Francolin,450,4,426,3,NA,NA,162,76,157,57,NA,NA,41.8,76,40.5,57,NA,NA,NA,NA,NA,NA,NA,NA,86.3,76,82.9,57,NA,NA,4.5,NA,NA
8,160,Francolinus levaillantoides,OrangeRiver Francolin,454,6,414.5,6,NA,NA,163,52,160,34,NA,NA,43.1,52,41.2,34,NA,NA,NA,NA,NA,NA,NA,NA,87.2,52,86.8,34,NA,NA,6.5,NA,NA
8,161,Francolinus nahani,Nahan's Francolin,310,2,247,3,NA,NA,135,9,135,13,NA,NA,37.1,9,36.7,13,NA,NA,NA,NA,NA,NA,NA,NA,79.5,9,79,13,NA,NA,4,NA,NA
8,162,Francolinus hartlaubi,Hartlaub's Francolin,NA,NA,NA,NA,NA,NA,143,27,135,19,NA,NA,37.8,27,34.8,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,163,Francolinus bicalcaratus,Double-spurred Francolin,NA,NA,NA,NA,NA,NA,177.5,16,169,10,NA,NA,56.5,16,56.5,10,NA,NA,28,16,24.5,10,NA,NA,70,16,60.5,10,NA,NA,6,26.5,NA
8,164,Francolinus clappertoni,Clapperton's Francolin,604,12,463,10,NA,NA,180,24,166,18,NA,NA,63.6,24,56.3,18,NA,NA,NA,NA,NA,NA,NA,NA,87.7,24,81.7,18,NA,NA,NA,23,NA
8,165,Francolinus icterorhynchus,Heuglin's Francolin,571,7,441,3,NA,NA,169,33,157,19,NA,NA,56.8,33,48.4,19,NA,NA,NA,NA,NA,NA,NA,NA,85.2,33,77,19,NA,NA,7,NA,NA
8,166,Francolinus harwoodi,Harwood's Francolin,545,1,446,1,NA,NA,181,5,163.5,2,NA,NA,56,5,46.5,2,NA,NA,NA,NA,NA,NA,NA,NA,81.6,5,70.5,2,NA,NA,NA,NA,NA
8,167,Francolinus adspersus,Red-billed Francolin,461,17,394,26,NA,NA,177,106,163,111,NA,NA,54.2,106,46.7,111,NA,NA,NA,NA,NA,NA,NA,NA,103,106,94.8,111,NA,NA,6.7,26.8,NA
8,168,Francolinus capensis,Cape Francolin,757.5,6,547,4,NA,NA,212,12,196,20,NA,NA,67.8,12,61.5,20,NA,NA,NA,NA,NA,NA,NA,NA,119,12,111,20,NA,NA,7.4,33,NA
8,169,Francolinus hildebrandti,Hildebrandt's Francolin,622.5,2,455,2,NA,NA,174,30,162,29,NA,NA,50.3,30,45.8,29,NA,NA,NA,NA,NA,NA,NA,NA,105,30,97.2,29,NA,NA,6,26.3,NA
8,170,Francolinus natalensis,Natal Francolin,532.5,6,385,3,NA,NA,168,38,156,28,NA,NA,49.3,38,45.2,28,NA,NA,NA,NA,NA,NA,NA,NA,101,38,95.2,28,NA,NA,5,NA,NA
8,171,Francolinus ahantensis,Ahanta Francolin,NA,NA,NA,NA,NA,NA,172,13,164,14,NA,NA,56.4,13,50.2,14,NA,NA,NA,NA,NA,NA,NA,NA,98,13,92.5,14,NA,NA,5,NA,NA
8,172,Francolinus squamatus,Scaly Francolin,510,14,440,17,NA,NA,175,47,163,60,NA,NA,53.9,47,49.1,60,NA,NA,NA,NA,NA,NA,NA,NA,97.4,47,89.2,60,NA,NA,6,NA,NA
8,173,Francolinus griseostriatus,Grey-striped Francolin,NA,NA,NA,NA,NA,NA,153,5,148,8,NA,NA,48,5,42.4,8,NA,NA,NA,NA,NA,NA,NA,NA,95,5,91,8,NA,NA,NA,NA,NA
8,174,Francolinus leucoscepus,Yellow-necked Spurfowl,753,173,545,223,NA,NA,200,54,187,38,NA,NA,64.4,54,57.8,38,NA,NA,NA,NA,NA,NA,NA,NA,102,54,91.2,38,NA,NA,5,30.8,NA
8,175,Francolinus rufopictus,Grey-breasted Spurfowl,848,18,588,24,NA,NA,213,18,190,24,NA,NA,68,18,58,24,NA,NA,NA,NA,NA,NA,NA,NA,95,18,86,24,NA,NA,4.5,28.4,NA
8,176,Francolinus afer,Red-necked Spurfowl,532.5,3,NA,NA,586,14,192,13,182,8,NA,NA,60,13,56,8,NA,NA,NA,NA,NA,NA,NA,NA,102,13,96,8,NA,NA,6,33,NA
8,177,Francolinus swainsonii,Swainson's Spurfowl,732,41,510,63,NA,NA,191,58,174,26,NA,NA,60.5,58,52.1,26,NA,NA,NA,NA,NA,NA,NA,NA,90.1,58,81.7,26,NA,NA,5.5,29.1,NA
8,178,Francolinus erckelii,Erckel's Francolin,1263.3,3,1136,1,NA,NA,216,13,185,11,NA,NA,66.2,13,55.7,11,NA,NA,NA,NA,NA,NA,NA,NA,130,13,112,11,NA,NA,7,33,NA
8,179,Francolinus ochropectus,Ochre-breasted Francolin,NA,NA,NA,NA,NA,NA,204.5,3,176,1,NA,NA,62.5,3,47.2,1,NA,NA,NA,NA,NA,NA,NA,NA,127,3,110,1,NA,NA,NA,NA,NA
8,180,Francolinus castaneicollis,Chestnut-naped Francolin,1057.5,6,600,4,NA,NA,210,31,186,30,NA,NA,67,31,56,30,NA,NA,NA,NA,NA,NA,NA,NA,133,31,114,30,NA,NA,5.5,NA,NA
8,181,Francolinus nobilis,Handsome Francolin,878.5,2,639.3,3,NA,NA,198,11,178,13,NA,NA,64.6,11,55.1,13,NA,NA,NA,NA,NA,NA,NA,NA,106,11,100,13,NA,NA,NA,NA,NA
8,182,Francolinus jacksoni,Jackson's Francolin,1064,1,NA,NA,NA,NA,218,13,200,8,NA,NA,74.7,13,66,8,NA,NA,NA,NA,NA,NA,NA,NA,129,13,116,8,NA,NA,NA,NA,NA
8,183,Francolinus camerunensis,Cameroon Francolin,NA,NA,NA,NA,NA,NA,171,3,164,7,NA,NA,59,3,59,7,NA,NA,NA,NA,NA,NA,NA,NA,82,3,81,7,NA,NA,NA,NA,NA
8,184,Francolinus swierstrai,Swierstra's Francolin,NA,NA,NA,NA,NA,NA,171,7,167,1,NA,NA,53,7,43,1,NA,NA,NA,NA,NA,NA,NA,NA,98,7,NA,NA,NA,NA,NA,NA,NA
8,185,Perdix perdix,Grey Partridge,378,10,386,4,NA,NA,159,9,154,9,NA,NA,42.5,21,41.4,22,NA,NA,12.9,21,12.4,22,NA,NA,78.2,9,72.3,13,NA,NA,15,14.1,NA
8,191,Coturnix coturnix,Common Quail,94.5,20,103,11,NA,NA,111,45,113,20,NA,NA,26,23,26.6,18,NA,NA,8.9,22,9,17,NA,NA,36.5,32,39,15,NA,NA,10.5,8.2,2
8,193,Coturnix pectoralis,Stubble Quail,97.9,30,106,28,NA,NA,102.1,9,104.3,12,NA,NA,23.1,10,24.6,12,NA,NA,11.5,10,12.2,12,NA,NA,33,8,34.3,7,NA,NA,7.6,8.6,2
8,196,Coturnix delegorguei,Harlequin Quail,72.4,11,78.5,16,NA,NA,96,35,100,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.7,65,6,7.5,NA
8,197,Coturnix ypsilophora,Brown Quail,98,13,103,12,NA,NA,98.3,16,100.3,17,NA,NA,22.6,16,22.6,15,NA,NA,13.2,15,13.2,17,NA,NA,45.5,17,47,4,NA,NA,7.9,11.2,2
8,199,Coturnix chinensis,Blue-breasted Quail,41,6,35.6,5,NA,NA,72.1,17,72.2,6,NA,NA,19,17,18.7,5,NA,NA,9.7,17,10.2,5,NA,NA,NA,NA,NA,NA,29.6,14,6.5,4.8,2
8,201,Perdicula asiatica,Jungle Bush-Quail,NA,NA,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.6,2
8,226,Ptilopachus petrosus,Stone Partridge,190,2,NA,NA,NA,NA,123,12,122,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.5,NA,5,11.9,NA
8,243,Gallus gallus,Red Junglefowl,844,NA,500,NA,2300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
8,247,Lophura leucomelanos,Kalij Pheasant,995,NA,794,NA,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
8,269,Phasianus colchicus,Common Pheasant,1186,12,989,12,NA,NA,245,10,215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,466,10,300,2,NA,NA,11.5,31.5,4
8,270,Chrysolophus pictus,Golden Pheasant,875,NA,NA,NA,NA,NA,195,10,187,5,NA,NA,70.6,10,63.9,5,NA,NA,29.8,10,28.8,5,NA,NA,678,7,355,9,NA,NA,8.5,26.7,NA
8,281,Afropavo congensis,Congo Peafowl,NA,NA,NA,NA,NA,NA,318,32,286,14,NA,NA,99,33,86,15,NA,NA,NA,NA,NA,NA,NA,NA,221,30,190,14,NA,NA,3,70,NA
8,285,Dendragapus canadensis,Spruce Grouse,492,NA,424,NA,550,NA,182,16,180.5,15,NA,NA,38.2,16,37.8,15,NA,NA,10.5,16,10.5,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
8,286,Dendragapus obscurus,Blue Grouse,1273,482,839,223,1295,NA,229,263,208,358,NA,NA,96,87,88,99,NA,NA,20,115,18,108,NA,NA,169,119,138,114,NA,NA,7.1,32.5,5
8,287,Lagopus lagopus,Willow Ptarmigan,635,NA,555,NA,NA,NA,208,21,195,14,NA,NA,40,14,36.2,12,NA,NA,11.5,22,11.1,13,NA,NA,122.6,366,110.7,157,NA,NA,7.5,21.5,2
8,288,Lagopus mutus,Rock Ptarmigan,439,NA,414,NA,480,NA,203,16,189,8,NA,NA,32.4,11,29.9,7,NA,NA,9.72,20,9.04,10,NA,NA,116.3,14,102.6,5,NA,NA,7.23,20,2
8,289,Lagopus leucurus,White-tailed Ptarmigan,359,NA,351,NA,359,NA,200.5,193,193.2,162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105,202,96.3,172,NA,NA,5.21,20,2
8,290,Tetrao tetrix,Black Grouse,1290,23,988,14,NA,NA,257,15,226,18,NA,NA,49.7,14,44.8,15,NA,NA,14.6,16,13.4,20,NA,NA,193,14,123,16,NA,NA,8.5,35.5,NA
8,291,Tetrao mlokosiewiczi,Caucasian Grouse,865,12,766,5,NA,NA,206,12,200,NA,NA,NA,50,12,48,NA,NA,NA,13.6,12,12.5,NA,NA,NA,210,12,147,1,NA,NA,6,32.5,NA
8,292,Tetrao urogallus,Western Capercaillie,4240,32,1985,31,NA,NA,390,9,300,10,NA,NA,70.6,9,53.3,6,NA,NA,31.4,12,20.4,10,NA,NA,312,9,184,8,NA,NA,8,53,5
8,294,Bonasa bonasia,Hazel Grouse,369,39,370,25,NA,NA,168,15,165,9,NA,NA,33.6,9,33.8,4,NA,NA,10.5,17,10.3,8,NA,NA,NA,NA,NA,NA,NA,NA,9,19,NA
8,296,Bonasa umbellus,Ruffed Grouse,585,3,472,5,NA,NA,NA,NA,NA,NA,NA,NA,43.6,306,41.7,151,NA,NA,26.9,306,26.2,151,NA,NA,184,295,147.5,217,NA,NA,11.03,18,5
8,297,Centrocercus urophasianus,Sage Grouse,3200,465,1700,221,NA,NA,340,50,284,35,NA,NA,74,50,NA,NA,NA,NA,41,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.35,43,NA
8,298,Tympanuchus phasianellus,Sharp-tailed Grouse,953,NA,817,NA,900,NA,NA,NA,NA,NA,204.5,NA,NA,NA,NA,NA,43.5,NA,NA,NA,NA,NA,11.5,NA,NA,NA,NA,NA,NA,NA,11.78,24,5
8,299,Tympanuchus cupido,Greater Prairie-chicken,933,393,795,318,975,NA,229,5,226,5,NA,NA,48,42,48.5,33,NA,NA,NA,NA,NA,NA,NA,NA,104.7,10,98.3,10,NA,NA,10.55,24.5,5
8,300,Tympanuchus pallidicinctus,Lesser Prairie-chicken,743,37,628,18,NA,NA,210.4,65,202.8,11,NA,NA,96.4,12,97.8,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.42,NA,NA
8,301,Meleagris gallopavo,Wild Turkey,7400,NA,4222,NA,NA,NA,511,17,417,7,NA,NA,136.8,6,130.6,7,NA,NA,34.8,18,31.3,6,NA,NA,372.5,2,316.4,5,NA,NA,10.52,78.8,5
9,303,Agelastes meleagrides,White-breasted Guineafowl,NA,NA,NA,NA,NA,NA,209,7,201,4,NA,NA,84,7,79,4,NA,NA,NA,NA,NA,NA,NA,NA,152.5,7,138.5,4,NA,NA,NA,29.2,NA
9,304,Agelastes niger,Black Guineafowl,NA,NA,NA,NA,NA,NA,209,22,197,17,NA,NA,82,21,74,16,NA,NA,NA,NA,NA,NA,NA,NA,156,21,148,17,NA,NA,NA,29.5,NA
9,305,Numida meleagris,Helmeted Guineafowl,1597,NA,1578,NA,NA,NA,269,198,259,113,NA,NA,84,198,79,103,NA,NA,NA,NA,NA,NA,NA,NA,172,198,170,110,NA,NA,8,39.4,2
9,306,Guttera plumifera,Plumed Guineafowl,NA,NA,NA,NA,NA,NA,228,15,222,11,NA,NA,83,14,77,11,NA,NA,NA,NA,NA,NA,NA,NA,131,15,124,11,NA,NA,9.5,38.5,NA
9,307,Guttera pucherani,Crested Guineafowl,1149,NA,NA,NA,NA,NA,268,42,257,22,NA,NA,93,38,86,20,NA,NA,NA,NA,NA,NA,NA,NA,151,40,144,21,NA,NA,4.5,48.6,NA
9,308,Acryllium vulturinum,Vulturine Guineafowl,1335.5,2,1329,2,NA,NA,298,31,290,20,NA,NA,109,30,99,20,NA,NA,NA,NA,NA,NA,NA,NA,272,23,260,20,NA,NA,NA,49,NA
10,312,Oreortyx pictus,Mountain Quail,244.7,45,233.7,24,NA,NA,133.7,49,133.1,19,NA,NA,36.9,53,35.8,29,NA,NA,15.3,52,15.3,28,NA,NA,86.1,28,82.7,28,NA,NA,10.9,10.41,NA
10,313,Callipepla squamata,Scaled Quail,191,143,177,132,168,NA,NA,NA,NA,NA,115,NA,33,NA,32.3,NA,NA,NA,14,NA,13.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.3,2
10,315,Callipepla californica,California Quail,186.4,166,162,102,180,NA,NA,NA,NA,NA,112,NA,31.05,10,30.2,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,2
10,316,Callipepla gambelii,Gambel's Quail,171.1,108,167.4,77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,9.5,2
10,318,Colinus virginianus,Northern Bobwhite,173,899,170,692,178.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.7,50,NA,NA,NA,NA,14.5,50,146,1,156.3,3,NA,NA,6.5,8.9,2
10,337,Cyrtonyx montezumae,Montezuma Quail,191.7,46,179.4,23,NA,NA,123.3,54,119.3,30,NA,NA,26.62,55,25.55,28,NA,NA,8.62,54,8.34,30,NA,NA,58,51,58.5,26,NA,NA,10.6,10.1,NA
12,343,Anseranas semipalmata,Magpie Goose,2766,NA,2071,NA,NA,NA,419,165,389,177,NA,NA,106,42,93,43,NA,NA,80,74,73,56,NA,NA,NA,NA,NA,NA,NA,NA,9.05,128,2
13,344,Dendrocygna guttata,Spotted Whistling-Duck,NA,NA,800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA
13,345,Dendrocygna eytoni,Plumed Whistling-Duck,788,NA,792,NA,788,NA,232,59,228,57,NA,NA,59.5,8,54.5,9,NA,NA,40,65,43,65,NA,NA,69.2,7,70.6,8,NA,NA,11,40,2
13,346,Dendrocygna bicolor,Fulvous Whistling-Duck,675,NA,690,NA,688,NA,216,12,217,15,NA,NA,54.2,12,54,15,NA,NA,46.2,12,46.1,15,NA,NA,51.5,135,49.3,148,NA,NA,13.34,51,2
13,347,Dendrocygna arcuata,Wandering Whistling-Duck,866,NA,732,NA,866,NA,214,82,214,86,NA,NA,52,12,51.9,8,NA,NA,48,24,47,47,NA,NA,54.5,12,54.3,6,NA,NA,10.5,40,2
13,349,Dendrocygna viduata,White-faced Whistling-Duck,686,NA,662,NA,NA,NA,219,6,223.3,6,NA,NA,52.6,6,52.9,6,NA,NA,47.7,6,47.4,6,NA,NA,55.4,6,56.3,6,NA,NA,7.25,36,NA
13,350,Dendrocygna arborea,West Indian Whistling-Duck,NA,NA,1150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,NA
13,351,Dendrocygna autumnalis,Black-bellied Whistling-Duck,813,NA,849,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.4,44,NA
13,352,Thalassornis leuconotus,White-backed Duck,720,NA,695,NA,NA,NA,NA,NA,NA,NA,169.7,8,NA,NA,NA,NA,38.3,8,NA,NA,NA,NA,37.1,8,NA,NA,NA,NA,49,8,6.75,84,NA
14,353,Oxyura dominica,Masked Duck,406,NA,339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,NA
14,354,Oxyura jamaicensis,Ruddy Duck,590,NA,499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.8,5,68.2,6,NA,NA,8.1,73,NA
14,356,Oxyura leucocephala,White-headed Duck,737,NA,593,NA,NA,NA,162,10,159,6,NA,NA,35.9,16,34.9,NA,NA,NA,45.5,17,44.5,16,NA,NA,92.4,9,85.5,6,NA,NA,7.5,96,NA
14,357,Oxyura maccoa,Maccoa Duck,820,NA,554,NA,668,NA,169,2,155,1,NA,NA,34,2,31,1,NA,NA,41,2,36,1,NA,NA,72.5,2,66,1,NA,NA,5.9,96,4
14,358,Oxyura vittata,Lake Duck,690,NA,590,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86,NA
14,359,Oxyura australis,Blue-billed Duck,812,NA,852,NA,812,NA,160,222,153,121,NA,NA,37.3,16,37.1,8,NA,NA,40.3,17,40.4,8,NA,NA,66.5,13,64.6,7,NA,NA,5.5,90,2
14,360,Biziura lobata,Musk Duck,2398,NA,1551,NA,2398,NA,223,219,185,248,NA,NA,52.6,7,44.8,5,NA,NA,41,240,35,289,NA,NA,113.5,4,103.2,4,NA,NA,2.8,128,5
