Stream,Pool,Area,MaxDepth,MeanDepth,Volume,Bedrock,Boulder,Cobble,Gravel,Sand,Silt,Leaves,Wood&roots,Openness,PPFD,PAR,Fish biomass1,Fish biomass2,Chl a rock1,chl a rock2,chl a tile1,chl a tile2,ng/mg chl a rock1,ng/mg chl a rock2,ng/mg chl a tile1,ng/mg chl a tile2
Q13,2.20,6.89335872,34.4,19.68125,1356.699163,0,5,19,70,1,0,5,0,7.34,6.81,10.95,2319.387221,1431.375366,€,15.05429915,11.54864377,28.00184358,€,724.9997926,343.2326587,1348.540412
Q13,2.21,1.505120774,15,8.475,127.5589856,0,0,79,20,1,0,0,0,7.165,9.1,430.575,1516.005909,935.580525,1636.140839,298.382263,770.8192827,474.9844603,16243.93118,4800.242532,7652.846921,7641.340959
MR,3.01,17.83382884,39.5,26.65625,4753.830001,5,1,16,60,3,1,10,4,8.02,6.24,20.8025,3271.461107,259.7389589,395.638982,499.4533756,241.0347696,92.03437208,21567.60438,342927.6091,13139.61158,63191.33819
MR,3.02,2.63682141,15.3,12.00625,316.5833705,0,0,40,55,3,0,1,1,8.07,8.78,38.0175,680.1401705,54,€,1077.203772,256.6653111,197.6133504,€,525998.8833,9950.604551,96494.65061
MR,3.03,2.19750904,16.4,10.78125,236.9189434,20,0,76,0,2,0,2,0,4.395,4.31,32.165,680.1401705,54,2552.644062,210.6499485,569.2887345,377.6287344,82475.03452,85723.17893,18393.51938,153674.5477
MR,3.04,15.28258412,48.4,16.3875,2504.433472,4,0,39,40,0,0,15,2,7.82,8.88,47.565,2721.955846,216.1107696,€,821.7518371,432.0685559,276.2281766,€,581113.6389,24258.74784,195338.7307
MR,3.05,10.38384999,68.2,48.6625,5053.041001,5,0,10,54,25,0,1,5,8.95,6.45,26.9075,997.1458193,79.16878987,4441.337528,653.4590721,557.8267449,827.2795784,462501.8904,857082.8212,58089.69086,1085067.367
MR,3.06,3.597949602,29.4,13.3875,481.675503,0,0,15,67,15,1,1,1,10.3,9.25,445.45,11081.43689,879.8150996,4593.739823,1193.077173,220.8344192,251.2756973,14915.07332,48790.15535,717.0109064,10275.76471
MR,3.07,7.493286039,23.6,17.54375,1314.60337,0,0,79,10,5,0,5,1,10.44,12.87,1796.35,13868.55262,1101.099265,1874.227029,1183.796387,566.323352,727.4115113,10126.59332,80560.62907,3059.888787,49502.37183
MR,3.08,3.119513221,26.6,18.64375,581.5942461,0,10,0,33,30,0,25,2,8.04,5.98,144.5775,4361.628571,346.2932394,1538.869868,1545.935456,679.1999187,412.8434674,11006.26708,139262.4962,4857.756893,37190.17607
MR,3.09,5.939983166,32.8,20.6,1223.636532,0,0,0,45,55,0,0,0,9.59,11.72,1825.825,939.0727649,74.55805657,€,885.9856867,€,€,€,705857.9993,€,€
MR,3.10,11.698301,39.8,26.63125,3115.403785,0,0,0,49,50,0,0,1,7.44,8.63,183.295,7980.838649,633.6418664,394.4073662,1315.920091,258.1617366,54.88593611,5781.2171,242945.2682,3784.13076,10133.04574
MR,3.11,8.61501724,20,11.64375,1003.11107,8,0,50,40,0,0,1,1,5.66,7.05,265.3,0,0,€,1480.010166,€,271.0131813,€,€,€,€
MR,3.12,2.226331241,26.1,20.025,445.8228311,15,0,15,29,40,0,0,1,7.06,8.47,260.395,1487.360466,118.0895772,€,289.035195,326.5793844,€,€,54491.52243,4888.35022,€
MR,3.13,4.317255681,21.4,16.25625,701.8238766,0,0,20,0,63,0,2,15,7.36,6.32,62.0925,0,0,713.6314863,1622.046806,257.3957679,139.6195091,€,€,€,€
MR,3.14,4.553584308,19.2,13.59375,619.0028669,0,0,64,24,10,0,2,0,8.4,9.13,270.1575,1888.248115,149.9182119,4294.793827,4059.268115,421.121338,581.8582708,103570.6358,1232953.579,10155.50605,176732.4101
MR,3.15,1.939221382,10.1,6.98125,135.3818927,0,0,0,0,73,2,10,15,8.245,7.905,13.98,2065.869432,164.0205272,€,978.1431086,436.5674755,546.9650952,€,115646.2586,4098.037222,64667.90624
MR,3.16,5.029061171,53.3,43.0125,2163.124936,40,0,5,35,0,0,5,15,8.745,11.18,692.62875,3178.324279,252.3443233,€,1290.514519,275.4967456,457.7878071,€,257191.3001,4359.183848,91234.18569
MR,3.17,25.04766488,85.5,47.26875,11839.71809,0,0,2,20,67,3,3,5,7.88,7.59,769.19,61620.60083,4892.392171,€,1600.041183,511.5508009,148.6265618,€,81917.58539,2079.361911,7609.259811
MR,3.18,11.64158555,29.2,21.8,2537.865651,38,0,1,29,20,1,7,4,6.37,6.2,248.71,38455.96739,3053.226863,1283.863583,690.0007933,273.4529103,125.4710191,3886.576975,26308.89753,827.8105237,4784.058535
MR,3.19,4.269501318,15.5,12.5375,535.2887278,25,0,10,25,30,5,2.5,2.5,7.18,8.845,€,0,0,€,789.6454743,€,125.25968,€,€,€,€
MR,3.20,11.08900306,34.6,28.08125,3113.930673,5,1.5,40,47,3,0,2,1.5,6.43,6.34,€,27822.55368,2208.982742,€,863.1601499,€,€,€,43330.28667,€,€
MT,4.01,12.24110903,29.8,13.35625,1634.953124,1,1,43,50,3,0,2,0,3.71,2.22,15.945,6602.181331,3831.262236,44.86718907,29.22806154,567.6783283,305.7430359,831.8828666,933.8538213,10525.32786,9768.670497
MT,4.02,17.43263337,23.4,12.0375,2098.453242,0,1,25,50,20,1,2,1,3.15,3.02,51.52,9223.637327,5352.499665,€,544.8284319,569.4245789,654.8858444,€,17744.59579,10762.09912,21329.07154
MT,4.03,6.69156047,38.4,14.525,971.9491582,6,14,32,45,1,0,1,1,3.94,4.52,6.165,5764.199626,3344.979369,17.88025563,10.88277557,74.82284106,105.9959188,207.5688205,217.7076232,868.6055272,2120.425933
MT,4.04,9.543625202,21.3,11.99375,1144.638548,0,1,60,38,1,0,0,0,5.12,5.5,11.045,1120.135788,650.0175818,€,9.627634152,71.51628458,160.2334963,€,1413.53918,6093.231046,23525.64725
MT,4.05,11.08391029,18.5,11.40625,1264.258517,1,0,15,80,2,0,1,1,5.11,4.49,23.2175,1470.744692,853.4768001,€,57.70555201,371.7533318,422.1179654,€,7494.089605,28016.28727,54819.50603
MT,4.06,15.82729271,34.2,16.9,2674.812468,37,1,1,23,18,2,13,5,5.43,7.3,43.7625,10732.72264,6228.225621,20.44159085,68.49744583,387.1055756,526.4739564,301.4473148,1740.670925,5708.554543,13378.86249
MT,4.07,29.40875563,21.6,13.21875,3887.469885,1,0,43,46,2,0,7,1,4.97,4.87,13.425,10052.68533,5833.598281,€,45.4153314,198.9768146,160.2731966,€,2289.510382,5820.992427,8079.807775
MT,4.08,23.61191962,36.4,23.08125,5449.926197,25,0,7,52,15,0,1,0,5.86,4.97,7.4875,7293.321596,4232.332649,55.5749234,103.2118035,310.6935607,87.88030507,1799.222215,5758.122082,10058.61497,4902.787354
MT,4.09,12.63338523,27.5,14.4375,1823.944992,8,0,1,88,2,0,1,0,8.38,9.18,14.4075,4438.766307,2575.82712,€,1414.794333,579.287292,298.9920431,€,69389.91242,16487.37287,14664.34463
MT,4.10,4.775809125,26.5,15.5375,742.0413428,6,0,0,62,4,0,18,10,6.405,8.735,1837.1,1123.385425,651.9033542,1139.781422,2367.215583,1255.577291,1328.825052,48455.12851,173420.9482,53377.91775,97349.01295
MT,4.11,20.67057937,41.3,27.1,5601.72701,7,0,20,43,5,0,10,15,8.2,5.25,32.8825,12512.71121,7261.157414,€,97.58730478,20.34927642,91.73373344,€,2778.050404,336.1632235,2611.414834
MT,4.12,5.26727382,32,21.13125,1113.040799,30,2,30,25,10,0,1,2,8.86,10.61,121.1525,421.9586282,244.8636407,47.37474488,207.4562144,91.22940761,217.3298496,5913.749281,44626.00833,11388.08969,46749.93085
MT,4.13,15.15325161,48.9,27.6625,4191.768228,45,1,15,15,3,0,20,1,5.85,5.68,30.89,16456.23917,9549.596492,€,886.1640061,411.4538336,194.8352363,€,14061.60581,3788.753555,3091.635716
MT,4.14,19.27663803,51.5,28.225,5440.831083,0,20,5,64,10,0,1,0,6.48,7.4,83.6675,3174.054858,1841.911923,172.3646179,132.7737022,22.96838159,105.8040582,10468.03063,13895.51022,1394.91344,11072.98621
MT,4.15,16.54496775,27.8,17.83125,2950.174561,0,3,40,44,7,1,3,2,8.53,7.85,18.6175,2886.239695,1674.892069,18.00392795,10.71094519,32.62042041,99.77415479,1032.050137,1058.051716,1869.920244,9855.919696
MT,4.16,8.094575545,36,18.8875,1528.862956,10,0,20,35,5,8,7,15,5.58,4.43,25.96666667,5131.461167,2977.799669,€,38.4420163,79.6147684,131.1045387,€,1044.97226,1255.875737,3563.824672
MT,4.17,1.463523391,27,15.35625,224.7423108,5,5,73,5,3,2,5,2,6.25,6.6,25.7575,31.01830589,18,€,242.9491879,61.22817736,198.9495432,€,197534.3441,28889.02769,161759.6167
MT,4.18,9.248972799,22,15.0875,1395.438771,2,0,17,76,4,0,0,1,7.66,5.86,76.9075,4733.311456,2746.752402,€,46.11525244,5.821384761,91.92299495,€,1552.810931,113.7508694,3095.267266
MT,4.19,14.74887097,53.1,32.225,4752.823671,23,1,20,37,10,0,2,7,3.78,3.13,6.955,5387.178829,3126.193264,10.88821846,21.97058728,281.0743459,39.99730561,298.0946693,1036.536547,7695.176628,1887.007776
MT,4.20,11.57520478,29.4,15.64375,1810.796098,10,1,2,84,2,0,1,0,4.83,2.7,5.865,3747.231376,2174.527681,10.40404941,21.91046057,3.637247026,109.2375394,321.3812825,1166.313357,112.3546292,5814.811648
PR,5.01,15.68423344,23,15.75,2470.266766,0,0,83,15,1,0,1,0,6.45,6.97,69.4275,26444.97484,17232.25796,3154.108349,2128.234766,803.0035965,381.2231584,18706.6813,19370.49164,4762.528962,3469.767584
PR,5.02,6.37507753,24,18.33125,1168.6314,25,5,50,12,3,0,5,0,8.96,10.33,56.8325,3039.388215,1980.547233,€,882.3175595,215.0061027,1482.386453,€,28400.44788,4509.725239,47715.74446
PR,5.03,2.405129133,47.5,36.71875,883.1333534,3,20,1,68,3,0,2,3,9.12,9.35,46.6425,7162.742092,4667.435692,2394.81197,3752.894915,762.4472533,742.1428461,8041.378514,19338.66365,2560.170501,3824.261324
PR,5.04,5.256137153,54.2,31.80625,1671.780123,3,20,3,17,22,0,15,20,9.47,10.53,56.14,10849.46739,7069.805203,€,997.6663235,861.5240053,982.7534864,€,7417.277956,4173.742517,7306.40656
PR,5.05,5.057323845,44.7,35.4625,1793.453469,0,7,13,57,15,0,3,5,7.57,9.77,263.3725,14283.7743,9307.692101,445.1373651,346.277828,1224.983743,1499.862938,1576.056694,1881.496613,4337.18663,8149.488099
PR,5.06,14.9871756,28.9,21.44375,3213.812467,0,0,0,1,91,0,5,3,7.99,9.97,99.7625,€,€,€,288.5748386,629.5875446,€,€,€,€,€
PR,5.07,7.704694994,28.5,19.7125,1518.788001,0,0,29,40,10,0,20,1,8.4,8.93,€,2890.092693,1883.26225,1635.163771,294.9802559,659.7157944,180.0013134,43591.81335,12068.06381,17587.35625,7364.110964
PR,5.08,2.48626031,13,8.96875,222.9864715,0,0,0,3,77,0,10,10,9.56,9.17,16.83,1822.618682,1187.66743,€,239.5292537,799.1271688,638.6108952,€,5014.299978,10901.00843,13368.66603
PR,5.09,7.838433926,34.1,24.1625,1893.961597,0,0,0,20,42,0,15,23,6.55,7.94,111.1725,471.7259705,307.3893494,€,560.8336242,275.771336,246.1919302,€,143012.6748,45823.54017,62778.98639
PR,5.1,8.787257353,33.9,26.26875,2308.302666,0,0,0,68,20,0,12,0,9.71,11.16,146.9825,€,€,2524.86343,2211.393362,768.7904186,1936.02113,€,€,€,€
PR,5.11,2.484485278,32.6,25.15625,625.0033277,0,0,10,52,20,0,15,3,9.79,7.68,31.4975,18421.81001,12004.14764,€,436.4445842,377.2942007,1391.894076,€,903.3045718,508.8435318,2880.787912
PR,5.12,6.751891624,49.8,31.1,2099.838295,0,0,3,5,60,0,15,17,7.95,5.64,40.525,12963.11258,8447.113346,3099.965563,282.77725,1246.897873,1500.272598,16146.30082,2260.276698,6494.519935,11991.88122
PR,5.13,18.04315324,62.4,49.825,8990.001101,45,0,45,5,5,0,0,0,8.05,9.4,39.575,2928.871005,1908.531242,€,603.8479679,210.1669207,967.7064967,€,57087.46692,12947.22079,91486.45944
PR,5.14,3.279335995,42.7,27.16875,890.9545982,88,0,0,2,10,0,0,0,9.56,7.33,8.07075,3805.800227,2479.961946,187.2957605,1155.945905,815.2555252,1683.257376,1613.867499,15285.45638,7024.795391,22258.27099
PR,5.15,8.12419938,38.5,16.64375,1352.171434,0,2,5,25,68,0,0,0,10.65,10.64,47.1725,1504.802241,980.5696756,459.6410774,1747.332221,416.8585542,417.13563,24815.32559,144769.6752,22505.56196,34560.45104
PR,5.16,11.34226721,39.1,25.525,2895.113707,10,0,2,5,75,0,3,5,10.11,9.58,110.7875,44136.01653,28760.21727,586.4887257,696.1801784,877.2937687,2038.944494,1507.184465,2745.550056,2254.508026,8041.056529
PR,5.17,1.1635757,7.9,4.3,50.0337551,0,0,74,25,0,0,1,0,9.87,11.92,117.9575,409.4606107,266.8155637,2740.563088,2003.286668,1130.845093,599.6253572,77879.3498,87362.80803,32135.54212,26149.50512
PR,5.18,34.75958474,33.2,22.23125,7727.490182,0,3,40,39,10,0,7,1,7,9.22,270.145,15588.96174,10158.18739,2329.65569,2906.895898,492.358249,€,51945.64316,99469.01984,10978.38879,€
PR,5.19,6.861359978,22.5,16,1097.817596,0,0,3,35,45,0,15,2,5.78,4.97,37.62,6978.458018,4547.351225,€,2599.328797,1185.920461,€,€,39220.48176,11660.20798,€
PR,5.20,6.876893835,30.5,22.7125,1561.914512,0,0,25,74,1,0,0,0,7.94,10.45,129.94,19293.32018,12572.04714,583.1800418,1669.126039,1095.210085,842.7192807,2078.681739,9130.098256,3903.757058,4609.663773
PT,6.01,24.87955919,17.3,9.36875,2330.903702,0,0,3,89,4,0,2,2,5.97,6.79,8.1395,4883.483382,3804.581302,€,96.13227815,602.2451388,910.2414942,€,6286.443932,30682.18402,59524.0457
PT,6.02,17.25201162,37.8,19.9875,3448.245823,3,5,11,69,2,1,5,4,5.89,4.05,5.41775,6076.822855,4734.277728,107.5669535,46.64725409,169.6754202,43.92756848,3053.810152,1699.855851,4817.06048,1600.748764
PT,6.03,18.09901468,40.5,22.30625,4037.211463,0,0,25,42,1,0,20,12,5.58,4.33,11.9365,8289.870445,6458.399389,€,97.16408897,19.49612975,79.9478062,€,2722.925863,425.652899,2240.456855
PT,6.04,18.61565354,24.8,16.60625,3091.361966,15,0,12,60,2,0,10,1,4.53,5.41,6.101,6006.156581,4679.223669,22.54650617,218.6371703,55.70000733,66.21582302,698.8128624,8698.181795,1726.381962,2634.306259
PT,6.05,12.91820618,49,32.1625,4154.818061,10,0,4,70,3,0,12,1,3.96,1.99,5.62,5094.79042,3969.204532,€,6.579544664,44.25653381,5.957234729,€,214.1384094,1122.156126,193.8846584
PT,6.06,1.833822466,24.5,18.19375,333.6410749,0,0,43,45,0,0,8,4,5.79,2.74,4.33325,455.2643057,354.683313,15.84718516,3.523126991,29.64996236,25.42336463,638.3308291,182.1565658,1194.312104,1314.46661
PT,6.07,16.91468955,45.5,26.98125,4563.794675,10,0,2,67,6,1,12,2,5.05,6.3,23.64125,7004.737275,5457.189137,€,11.26036446,80.95712516,98.66915687,€,349.0177164,1954.912205,3058.274351
PT,6.08,28.60495429,36.4,20.35625,5822.896007,22,0,20,49,4,0,4,1,5.42,3.73,2.558,11969.36862,9324.990481,13.00630942,24.80783961,15.06908505,14.74529988,310.8308369,760.9950052,360.1280091,452.3207075
PT,6.09,6.139087501,31.1,22.31875,1370.167592,0,0,18,40,1,1,22,18,5.41,5.85,7.31725,1098.374464,855.7119212,€,0,558.650965,66.32632483,€,0,31224.38905,4758.413453
PT,6.10,16.84296242,37,18.88125,3180.161841,42,1,0,50,3,0,3,1,3.505,3.77,15.499,3851.105703,3000.285575,45.01208352,27.27051803,472.8665792,151.4701002,1968.621195,1530.908637,20681.00602,8503.207914
PT,6.11,9.783760201,24.4,18.75625,1835.066523,0,0,3,75,1,0,18,3,5.99,4.06,51.271875,1439.394783,1121.391033,€,20.53106407,26.62635735,67.30598167,€,1791.266396,1809.82937,5872.220885
PT,6.12,20.27837594,64.4,36.925,7487.790317,8,1,7,76,5,0,2,1,5.36,2.98,8.340875,5103.794231,3976.219142,14.46188121,38.70921131,19.0209992,27.11182674,574.5989176,1974.136514,755.741621,1382.679866
PT,6.13,9.594643271,29.5,17.5625,1685.059224,0,0,5,88,1,0,5,1,4.55,3.89,10.1865,2180.713524,1698.931121,€,7.289997835,262.2060889,381.7096292,€,411.6996139,11536.47125,21556.8935
PT,6.14,11.81731747,74.3,24.7125,2920.35458,0,0,1,64,4,1,25,5,5.98,5.92,8.64275,7597.03626,5918.632224,114.3641969,116.4622284,164.4623663,90.0842148,1778.954287,2325.319558,2558.239724,1798.648278
PT,6.15,12.70809323,27.1,11.44375,1454.282419,1.25,0,1,32,15,1,47,2.75,3.83,3.56,4.547,5772.300182,4497.032881,€,31.05191531,19.28923041,58.42166618,€,877.4911041,424.6649182,1650.928513
PT,6.16,8.07858554,9.5,7.33125,592.2613024,0,0,22,69,1,1,5,2,6.38,4,4.2995,€,€,6.808211772,483.8578954,96.54209611,189.1705875,€,€,€,€
PT,6.17,8.888818004,31.4,14.6,1297.767429,7,0,0,30,35,3,20,5,4,4.24,4.59875,6561.566351,5111.92743,€,0,8.04337463,143.4012742,€,0,108.9619298,2493.517065
PT,6.18,12.20392345,28,23.6625,2887.753386,0,0,1,79,5,0,12,3,6,5.73,20.389,4913.413347,3827.898876,29.03872308,51.07068967,31.17030324,€,721.2630578,1628.211213,774.207191,€
PT,6.19,3.68139571,13.8,10.0125,368.5997454,0,2.5,2.5,78,5,0,7,5,5.89,4.84,2.7345,194.4915808,151.522791,24.32025735,33.76332404,24.04810473,57.93628922,4603.412172,8203.132706,4551.898299,14076.1931
PT,6.20,2.461290188,24.2,14.53125,357.6562305,0,1,16,49,1,0.5,30,2.5,3.82,4.185,3.0765,1104.808757,860.7246939,€,4.057406868,49.67623795,231.1770668,€,116.0238086,1106.685988,6610.636947
