Species,wd,MaxD,MaxgrD,MeangrD,Mort
Amphiodon effusus,NA,173,0.735504736,0.157298209,NA
Amphirrhox longifolia,0.71,165.8,0.190491139,0.034728697,NA
Anacardium excelsum,0.391285714,NA,NA,NA,NA
Anacardium giganteum,0.443,723.4,0.902738234,0.250271092,NA
Anacardium occidentale,0.450777778,NA,NA,NA,NA
Anacardium parvifolium,0.525333333,866,NA,NA,NA
Anacardium spruceanum,0.479166667,635.5,1.003894503,0.319235742,NA
Anadenanthera colubrina,0.8375,476.95,1.144802432,0.384619356,NA
Anaueria brasiliensis,NA,655.6,1.328010323,0.283488613,NA
Anaxagorea crassipetala,0.48,NA,NA,NA,NA
Anaxagorea dolichocarpa,0.58,153.2,0.392254795,0.077962464,1.932857724
Andira coriacea,0.732,NA,NA,NA,NA
Andira inermis,0.643833334,596.75,1.149256128,0.248683453,NA
Andira micrantha,1,439.25,0.609230939,0.109980376,NA
Andira parviflora,0.71675,NA,NA,NA,NA
Andira surinamensis,0.70475,827.65,1.060206845,NA,NA
Andira unifoliolata,0.76,528,0.748348185,0.144632527,NA
Aniba burchellii,0.52,NA,NA,NA,NA
Aniba canelilla,0.952428571,501.7,0.665589406,0.176743888,NA
Aniba citrifolia,NA,201.4,NA,NA,NA
Aniba cylindriflora,0.6695,NA,NA,NA,NA
Aniba excelsa,0.551,NA,NA,NA,NA
Aniba guianensis,0.52,387.75,0.763276609,0.20944423,NA
Aniba hostmanniana,0.619,NA,NA,NA,NA
Aniba hypoglauca,0.525,NA,NA,NA,NA
Aniba kappleri,NA,272.8,0.914529915,0.228567525,NA
Aniba panurensis,0.61,332.2,0.69011011,0.136403921,NA
Aniba parviflora,0.54,NA,NA,NA,NA
Aniba perutilis,0.5,NA,NA,NA,NA
Aniba puchury-minor,0.533333333,NA,NA,NA,NA
Aniba riparia,0.57,NA,NA,NA,NA
Aniba rosaeodora,0.744666667,NA,NA,NA,NA
Aniba taubertiana,NA,306.4,0.676419695,0.182265583,NA
Aniba terminalis,0.54,239.5,0.336073682,0.074828889,NA
Aniba williamsii,0.6375,266.3,0.351239805,0.115675038,NA
Anisophyllea manausensis,0.86,406.85,0.475702163,0.135565521,NA
Annona ambotay,NA,191.25,1.04,0.325041191,NA
Annona foetida,0.572,NA,NA,NA,NA
Annona hypoglauca,0.38,NA,NA,NA,NA
Annona montana,NA,289.7,NA,NA,NA
Annona muricata,0.36,NA,NA,NA,NA
Annona purpurea,NA,736.8,NA,NA,NA
Anthodiscus amazonicus,0.715,NA,NA,NA,NA
Anthodiscus peruanus,0.69,NA,NA,NA,NA
Anthodiscus pilosus,0.69,NA,NA,NA,NA
Antonia ovata,0.467333333,NA,NA,NA,NA
Aparisthmium cordatum,0.39,182.2,1.524620749,0.23671465,NA
Apeiba albiflora,0.2454,NA,NA,NA,NA
Apeiba aspera,0.303166667,576.7,1.446562024,0.365701015,1.62936999
Apeiba echinata,NA,528.65,1.185504513,0.280927552,NA
Apeiba glabra,0.32,481.25,1.212903388,0.283127037,NA
Apeiba membranacea,NA,753.6,1.710145769,0.441485718,0.982356788
Apeiba petoumo,NA,619.8,NA,NA,NA
Apeiba tibourbou,0.2,496.4,2.319430117,0.496791054,NA
Aptandra tubicina,0.765,385.95,NA,NA,NA
Apuleia leiocarpa,0.788,1109,1.121045833,0.322163473,NA
Aspidosperma album,0.766166667,540,0.911585531,0.236742636,NA
Aspidosperma capitatum,0.73,NA,NA,NA,NA
Aspidosperma carapanauba,NA,886.9,1.070895675,0.330368469,NA
Aspidosperma curranii,0.73,NA,NA,NA,NA
Aspidosperma cylindrocarpon,0.636666667,411.6,0.982920552,0.28324967,NA
Aspidosperma darienense,NA,336.75,0.458773451,0.211411065,NA
Aspidosperma desmanthum,0.61,472,0.74739141,0.179859449,NA
Aspidosperma discolor,0.758,582.25,0.954904655,0.371680474,NA
Aspidosperma excelsum,0.792,742.6,0.987573582,0.303055757,0.482835478
Aspidosperma macrocarpon,0.683333333,1063.6,NA,NA,NA
Aspidosperma megalocarpon,0.7774,NA,NA,NA,NA
Aspidosperma megaphyllum,0.673,NA,NA,NA,NA
Aspidosperma multiflorum,NA,421.2,0.99841496,0.338779609,NA
Aspidosperma oblongum,0.865,NA,NA,NA,NA
Aspidosperma obscurinervium,0.86,NA,NA,NA,NA
Aspidosperma parvifolium,0.7365,501,0.83190413,0.211385978,0.407232988
Aspidosperma polyneuron,0.75,NA,NA,NA,NA
Aspidosperma quirandy,NA,376.55,0.649045741,0.319203255,NA
Aspidosperma rigidum,0.46,742.2,1.43444028,0.295182691,NA
Aspidosperma sandwithianum,0.792,NA,NA,NA,NA
Aspidosperma schultesii,NA,670.35,0.489773827,0.196502789,NA
Aspidosperma spruceanum,0.753333333,269.55,1.087463104,NA,NA
Aspidosperma verruculosum,0.94,NA,NA,NA,NA
Aspidosperma williamii,NA,425.2,0.322261034,NA,NA
Astrocaryum aculeatum,NA,240,NA,NA,NA
Astrocaryum chambira,NA,292.55,NA,NA,NA
Astrocaryum gynacanthum,NA,319,NA,NA,NA
Astrocaryum murumuru,0.508,237.35,NA,NA,1.722202944
Astrocaryum sciophilum,NA,240.1,NA,NA,1.203520608
Astrocaryum triandrum,NA,134.75,NA,NA,NA
Astronium fraxinifolium,NA,398.75,1.252110195,0.352025863,NA
Astronium gracile,0.73,999,NA,NA,NA
Astronium graveolens,0.843333333,376,0.674160228,0.224929648,0.640979252
Astronium lecointei,0.790333333,562.5,0.611481824,0.195187862,0.697930838
Astronium ulei,0.7035,353.6,0.484756596,0.168860128,NA
Attalea butyracea,0.326,466.6,NA,NA,1.022791461
Attalea maripa,NA,450,NA,NA,NA
Attalea phalerata,NA,520,NA,NA,0.875799282
Attalea speciosa,NA,416,NA,NA,NA
Bactris gasipaes,NA,205.65,NA,NA,NA
Bagassa guianensis,0.706,1286.8,NA,NA,NA
Balizia elegans,0.495,NA,NA,NA,NA
Banara guianensis,0.61,NA,NA,NA,NA
Banara nitida,0.6015,334,NA,NA,NA
Barnebydendron riedelii,NA,721.45,NA,NA,NA
Batesia floribunda,0.54,NA,NA,NA,NA
Batocarpus amazonicus,0.533,492.25,0.943474697,0.237753716,NA
Batocarpus costaricensis,NA,430.8,0.838014126,0.248919114,NA
Batocarpus orinocensis,NA,285.1,NA,NA,NA
Bauhinia brachycalyx,NA,352.55,0.901846519,0.279492802,NA
Bauhinia rufa,NA,213.5,0.676547292,0.28001542,NA
Bauhinia tarapotensis,0.6,NA,NA,NA,NA
Beilschmiedia pendula,0.503,NA,NA,NA,NA
Bellucia grossularioides,0.5975,299.4,1.635194857,0.611174116,NA
Bellucia pentamera,0.485,NA,NA,NA,NA
Bertholletia excelsa,0.624,1712.8,2.145927122,0.637786537,0.225247236
Bixa arborea,0.37,397.6,1.343026806,0.568094422,NA
Bixa excelsa,0.32,NA,NA,NA,NA
Bixa orellana,0.36,NA,NA,NA,NA
Bixa platycarpa,NA,383.95,NA,NA,NA
Bixa urucurana,NA,389.15,NA,NA,NA
Blepharocalyx eggersii,0.726,NA,NA,NA,NA
Blepharocalyx salicifolius,0.6,NA,NA,NA,NA
Bocageopsis mattogrossensis,NA,315.3,NA,NA,NA
Bocageopsis multiflora,0.6402,308.2,0.4995005,0.163686622,0.359885528
Bocoa prouacensis,1.053666667,413.7,0.299649621,0.084498684,0.351961557
Bocoa viridiflora,0.835,336.1,0.320571496,0.066767711,0.656122008
Botryarrhena pendula,0.734,NA,NA,NA,NA
Bowdichia nitida,0.803333333,NA,NA,NA,NA
Brosimum acutifolium,0.640285714,580.8,0.928229713,0.242289118,NA
Brosimum alicastrum,0.598571429,990.25,1.331080349,0.279736827,1.354159145
Brosimum costaricanum,0.665,NA,NA,NA,NA
Brosimum gaudichaudii,0.56,NA,NA,NA,NA
Brosimum guianense,0.8435,443,0.906506519,0.186691536,0.357207166
Brosimum lactescens,0.6556,501.3,0.949691404,0.238228902,0.308676773
Brosimum parinarioides,0.630625,701.5,0.901639878,0.188024824,NA
Brosimum potabile,0.5425,767.15,1.203918059,0.260581174,NA
Brosimum rubescens,0.825142857,486.8,0.629810095,0.171491428,0.480282965
Brosimum utile,0.505785714,880,0.997492622,0.355582397,0.251936764
Brownea grandiceps,NA,183.2,0.233544781,0.097389355,NA
Brownea similis,NA,141.7,NA,NA,NA
Browneopsis ucayalina,NA,282.45,NA,NA,NA
Buchenavia amazonia,NA,326.5,NA,NA,NA
Buchenavia grandis,0.755,841.8,1.135835794,0.262784649,NA
Buchenavia macrophylla,NA,252.75,NA,NA,NA
Buchenavia ochroprumna,0.69,NA,NA,NA,NA
Buchenavia oxycarpa,0.713333333,368.4,0.955445974,0.330072231,NA
Buchenavia pallidovirens,0.82,NA,NA,NA,NA
Buchenavia parvifolia,0.818,636,0.998779528,0.218895946,NA
Buchenavia sericocarpa,NA,451.95,NA,NA,NA
Buchenavia tetraphylla,0.61725,711.6,NA,NA,NA
Buchenavia viridiflora,0.775,NA,NA,NA,NA
Bulnesia arborea,0.943333333,NA,NA,NA,NA
Bunchosia argentea,0.65,297.2,NA,NA,NA
Burdachia prismatocarpa,0.73,NA,NA,NA,NA
Bursera graveolens,0.32,NA,NA,NA,NA
Bursera simaruba,0.305,505.2,0.890451084,0.286591785,0.900869784
Byrsonima aerugo,0.6285,NA,NA,NA,NA
Byrsonima arthropoda,0.62,NA,NA,NA,NA
Byrsonima crassifolia,0.584,287.5,NA,NA,NA
Byrsonima crispa,0.58,373.2,1.480142467,0.67336662,NA
Byrsonima densa,0.62,379.75,NA,NA,NA
Byrsonima japurensis,0.62,NA,NA,NA,NA
Byrsonima laevigata,0.62,548.75,0.694520716,0.24340287,NA
Byrsonima spicata,0.609125,361.6,1,0.362639604,NA
Byrsonima stipulacea,0.709,397.4,0.7996002,0.297083285,NA
Byrsonima stipulina,NA,189,0.424914902,0.080312659,NA
Cabralea canjerana,0.4775,555.2,1.520259994,0.484762178,NA
Caesalpinia glabrata,0.95,NA,NA,NA,NA
Calatola costaricensis,0.5655,276.3,0.669713496,0.216153677,NA
Calliandra trinervia,0.82,516,NA,NA,NA
Callisthene fasciculata,0.73,359.1,0.519585962,NA,NA
Calophyllum angulare,0.6425,NA,NA,NA,NA
Calophyllum brasiliense,0.583153846,570.5,1.145,0.500637711,NA
Calycophyllum candidissimum,0.696666667,486.8,NA,NA,NA
Calycophyllum megistocaulum,NA,344.8,0.53200485,0.130019604,NA
Calycophyllum spruceanum,0.707,966.4,1.555,0.487391821,NA
Calyptranthes macrophylla,NA,256.35,0.323526795,0.103108336,NA
Calyptranthes speciosa,0.86,NA,NA,NA,NA
Campnosperma gummifera,0.44,NA,NA,NA,NA
Campsiandra angustifolia,0.9,380.75,0.617922206,0.141655933,NA
Capirona decorticans,0.593,334,0.64293915,0.194053461,1.311496115
Capparidastrum osmanthum,NA,330,0.804691384,0.152456834,NA
Caraipa densifolia,0.6406,364.3,0.8595,0.262247146,1.227058728
Caraipa grandifolia,0.78,336.6,0.666666667,0.187366915,NA
Caraipa myrcioides,NA,327.6,NA,NA,NA
Caraipa punctulata,0.6,NA,NA,NA,NA
Caraipa spuria,NA,257.25,NA,NA,NA
Caraipa tereticaulis,NA,311.2,0.549828179,0.165764478,NA
Caraipa utilis,NA,316.1,0.822785185,0.385063892,2.71905E-14
Caraipa valioi,NA,407.6,NA,NA,NA
Carapa guianensis,0.53,515.4,0.96003585,0.263448227,0.904075914
Carapa procera,0.574827273,455.9,0.681623713,0.223851006,0.643782726
Cardiopetalum calophyllum,0.5,NA,NA,NA,NA
Cariniana decandra,0.579666667,721.6,1.094031464,0.382014818,NA
Cariniana domestica,0.59,865.8,NA,NA,NA
Cariniana estrellensis,0.565,NA,NA,NA,NA
Cariniana micrantha,0.5866,1097.25,0.982439659,0.332984116,NA
Cariniana pyriformis,0.536666667,NA,NA,NA,NA
Carpotroche longifolia,0.45,NA,NA,NA,NA
Caryocar amygdaliferum,0.68,NA,NA,NA,NA
Caryocar glabrum,0.675833333,1089.8,1.006660949,0.261951604,0.379702088
Caryocar gracile,0.69,NA,NA,NA,NA
Caryocar microcarpum,0.6545,NA,NA,NA,NA
Caryocar nuciferum,0.689,NA,NA,NA,NA
Caryocar pallidum,0.84,935,1.172576383,0.316945276,NA
Caryocar villosum,0.758,1426.85,NA,NA,NA
Caryodaphnopsis fosteri,NA,893.8,NA,NA,NA
Caryodendron amazonicum,0.65,NA,NA,NA,NA
Caryodendron orinocense,NA,503.6,0.688679517,0.210894802,NA
Casearia aculeata,0.66,NA,NA,NA,NA
Casearia arborea,0.573666667,278.4,0.764478303,0.211384384,NA
Casearia combaymensis,NA,165.8,NA,NA,NA
Casearia decandra,0.6465,334.65,NA,NA,NA
Casearia fasciculata,NA,252.95,NA,NA,NA
Casearia gossypiosperma,NA,315.4,0.926088252,0.290844488,NA
Casearia grandiflora,0.77,NA,NA,NA,NA
Casearia javitensis,0.753,237.5,0.468706773,0.113885803,0.457641211
Casearia negrensis,0.52,NA,NA,NA,NA
Casearia pitumba,0.73,NA,NA,NA,NA
Casearia praecox,0.71,NA,NA,NA,NA
Casearia resinifera,NA,158.1,0.25,0.05882621,NA
Casearia sylvestris,0.673333333,265,1.07,0.217949977,1.957250644
Casearia uleana,NA,339.1,NA,NA,NA
Casearia ulmifolia,NA,373.5,0.939381012,0.351530622,NA
Cassia fastuosa,0.805,NA,NA,NA,NA
Cassipourea guianensis,0.82,240,NA,NA,NA
Cassipourea peruviana,NA,245.5,0.376083236,0.161356686,NA
Castilla elastica,0.5675,NA,NA,NA,NA
Castilla ulei,NA,579.5,1.03140661,0.26961073,0.675042551
Cathedra acuminata,NA,472.4,0.52167939,0.15237706,NA
Catostemma albuquerquei,0.69,NA,NA,NA,NA
Catostemma commune,0.5195,498.25,0.562967763,0.124469175,NA
Catostemma fragrans,0.57425,369.4,0.498132005,0.126839137,0.56085809
Cavanillesia hylogeiton,0.13,NA,NA,NA,NA
Cavanillesia platanifolia,0.36,NA,NA,NA,NA
Cavanillesia umbellata,0.165,NA,NA,NA,NA
Cecropia concolor,0.15,248,NA,NA,NA
Cecropia distachya,NA,320.6,1.833433194,0.600735262,4.341091116
Cecropia engleriana,0.49,322.9,2.26,0.719253588,NA
Cecropia ficifolia,0.266,330.3,1.962348348,0.634996492,NA
Cecropia herthae,NA,516,NA,NA,NA
Cecropia insignis,0.3175,NA,NA,NA,NA
Cecropia latiloba,0.33,NA,NA,NA,NA
Cecropia membranacea,0.33,588.8,3.010196163,1.049340418,NA
Cecropia obtusa,0.31,356.4,1.79571783,0.57595575,NA
Cecropia obtusifolia,0.345,240,NA,NA,NA
Cecropia palmata,NA,333,NA,NA,NA
Cecropia peltata,0.3,362.8,2.274051002,0.751665883,NA
Cecropia polystachya,NA,379.5,NA,NA,NA
Cecropia purpurascens,0.21,226.2,NA,NA,NA
Cecropia sciadophylla,0.378,520,3.23249009,1.112330513,2.60305469
Cedrela fissilis,0.436666667,696,NA,NA,NA
Cedrela odorata,0.426583333,942,1.896664007,0.545403885,NA
Cedrelinga cateniformis,0.5038,1451.25,2.427663521,0.724570183,NA
Ceiba chodatii,NA,919.3,NA,NA,NA
Ceiba insignis,0.285,NA,NA,NA,NA
Ceiba pentandra,0.261841737,1864,2.18427434,0.627626146,NA
Ceiba samauma,0.483333333,1090.8,2.300684569,0.503205028,NA
Celtis schippii,0.616,376.1,1.055856447,0.293495375,1.228364849
Cenostigma macrophyllum,NA,315,NA,NA,NA
Cenostigma tocantinum,NA,329,NA,NA,NA
Centrolobium paraense,0.711,NA,NA,NA,NA
Cespedesia spathulata,0.61325,458,NA,NA,NA
Chaetocarpus echinocarpus,NA,282.05,0.323888743,0.081371896,0.494583467
Chaetocarpus schomburgkianus,0.805,464.8,0.393042485,0.117003351,0.171433363
Chamaecrista adiantifolia,0.832,557,NA,NA,NA
Chamaecrista apoucouita,0.9235,422.1,0.53282913,0.197261099,NA
Chaunochiton kappleri,0.522,534.5,0.569945358,0.152309868,NA
Cheiloclinium cognatum,NA,186.55,0.235756385,0.068761385,1.592940795
Chimarrhis glabriflora,NA,617.95,NA,NA,NA
Chimarrhis hookeri,0.71,558.6,1.430558166,0.394923723,NA
Chimarrhis microcarpa,0.689,NA,NA,NA,NA
Chimarrhis turbinata,0.72,880.25,1.292565035,0.290507683,NA
Chlorocardium rodiei,0.862333333,779,0.525517078,0.175443455,0.093306421
Chlorocardium venenosum,NA,536.8,0.664609542,0.291124908,NA
Chomelia paniculata,0.62,NA,NA,NA,NA
Chomelia spinosa,0.53,NA,NA,NA,NA
Chromolucuma rubriflora,0.73,NA,NA,NA,NA
Chrysochlamys dependens,NA,258.2,NA,NA,NA
Chrysochlamys membranacea,NA,272,0.524037775,0.148759672,NA
Chrysochlamys ulei,NA,170.8,0.483647363,0.102474649,NA
Chrysochlamys weberbaueri,0.43,NA,NA,NA,NA
Chrysophyllum amazonicum,0.826,471.2,0.751985455,0.217758652,NA
Chrysophyllum argenteum,0.7835,392.25,0.73674863,0.148341957,0.536883407
Chrysophyllum bombycinum,NA,196.5,NA,NA,NA
Chrysophyllum cuneifolium,0.929,470.25,0.609570672,NA,NA
Chrysophyllum eximium,NA,610.05,0.363055183,0.107818549,NA
Chrysophyllum gonocarpum,NA,506.1,NA,NA,NA
Chrysophyllum lucentifolium,0.787,1111.7,1.900298149,0.331837356,NA
Chrysophyllum oliviforme,0.9,NA,NA,NA,NA
Chrysophyllum pomiferum,0.766,737.2,0.564700999,0.168925918,NA
Chrysophyllum prieurii,0.8614,535.45,0.505367297,0.1748682,0.042361524
Chrysophyllum sanguinolentum,0.6714,480.05,0.575171381,0.192148626,0.554381101
Chrysophyllum ucuquirana-branca,0.733,466.25,0.516558615,0.156017561,NA
Chrysophyllum venezuelanense,NA,540.2,0.647521871,0.186777007,0.537033097
Citharexylum macrophyllum,0.502,NA,NA,NA,NA
Citronella incarum,NA,250.9,0.771624144,NA,NA
Clarisia biflora,0.4975,626.8,1.207169419,0.306331066,0.863571995
Clarisia ilicifolia,NA,279.4,0.361666667,0.129827194,NA
Clarisia racemosa,0.585428571,746.65,1.225054492,0.319447268,0.526560387
Clathrotropis brachypetala,0.8085,240,NA,NA,NA
Clathrotropis glaucophylla,NA,337.8,NA,NA,NA
Clathrotropis macrocarpa,0.71,423.7,0.535928989,0.176974609,NA
Clusia fockeana,0.65,NA,NA,NA,NA
Clusia hammeliana,NA,208,0.196395171,0.091728692,NA
Clusia insignis,0.56,NA,NA,NA,NA
Clusia rosea,0.605,NA,NA,NA,NA
Coccoloba acuminata,0.58,NA,NA,NA,NA
Coccoloba caracasana,0.43,NA,NA,NA,NA
Coccoloba densifrons,0.58,468,0.69647511,0.168894666,NA
Coccoloba latifolia,0.58,NA,NA,NA,NA
Coccoloba lehmannii,0.58,210.8,NA,NA,NA
Coccoloba mollis,0.52,377.6,1.262834568,0.323143837,NA
Coccoloba padiformis,0.8,299.5,0.870610871,0.272241273,NA
Coccoloba uvifera,0.7,NA,NA,NA,NA
Cochlospermum orinocense,0.224,475.8,NA,NA,NA
Cochlospermum vitifolium,0.218333333,352.5,NA,NA,NA
Colubrina arborescens,0.7,217.8,0.455687571,0.112793116,NA
Colubrina elliptica,0.8,NA,NA,NA,NA
Colubrina glandulosa,0.648,NA,NA,NA,NA
Combretum leprosum,0.58,368.1,1.186356896,0.354745476,1.915399096
Compsoneura capitellata,NA,255.4,0.661526073,0.123994474,NA
Compsoneura sprucei,NA,356,NA,NA,NA
Conceveiba guianensis,0.54325,293,0.612072604,0.154146852,0.546248006
Conceveiba hostmannii,NA,439.2,0.568056505,0.167400621,NA
Conceveiba martiana,0.43,450,1.047619048,0.289175072,NA
Conceveiba rhytidocarpa,NA,348.2,1.130353342,0.199149918,NA
Connarus perrottetii,NA,284,NA,NA,NA
Copaifera duckei,0.62,NA,NA,NA,NA
Copaifera guyanensis,0.6175,NA,NA,NA,NA
Copaifera langsdorffii,0.6,NA,NA,NA,NA
Copaifera multijuga,0.642,NA,NA,NA,NA
Copaifera reticulata,0.6075,1070.1,1.351373391,0.527103947,NA
Cordia alliodora,0.487833333,461.65,1.289579373,0.375467187,NA
Cordia bicolor,0.475,296,0.598290598,0.280140939,NA
Cordia collococca,0.42,NA,NA,NA,NA
Cordia exaltata,0.3985,278.4,0.782687314,0.221269676,NA
Cordia fallax,0.3735,NA,NA,NA,NA
Cordia goeldiana,0.498,NA,NA,NA,NA
Cordia hebeclada,NA,387.6,NA,NA,NA
Cordia laevifrons,0.33,307.7,NA,NA,NA
Cordia lasiocalyx,0.397,NA,NA,NA,NA
Cordia lomatoloba,0.41,281.6,NA,NA,NA
Cordia mexiana,NA,499.25,NA,NA,NA
Cordia nodosa,0.39,185.9,0.443491571,0.125562591,NA
Cordia sagotii,0.409,271,0.739846286,0.160144221,NA
Cordia scabrifolia,0.474,NA,NA,NA,NA
Cordia sebestena,0.7,NA,NA,NA,NA
Cordia sellowiana,NA,351.45,NA,NA,NA
Cordia sericicalyx,0.387,265.7,NA,NA,NA
Cordia tetrandra,0.345,NA,NA,NA,NA
Cordia trichotoma,0.56,NA,NA,NA,NA
Cordia ucayaliensis,0.41,291.8,0.595585241,0.115837374,NA
Corythophora alta,0.713666667,490.8,0.599400599,0.148660057,0.295299133
Corythophora labriculata,NA,177,NA,NA,NA
Corythophora rimosa,0.795666667,523.75,0.447105685,0.121670184,NA
Couepia bracteosa,0.77,440.1,0.39210197,0.147916254,NA
Couepia caryophylloides,0.77,499.6,0.513213479,0.175494828,0.241951851
Couepia elata,0.769,NA,NA,NA,NA
Couepia excelsa,NA,365.7,0.445591821,0.159511324,NA
Couepia guianensis,0.7552,438.75,0.471682948,0.135289444,0.540424394
Couepia habrantha,NA,416,0.536902308,0.217858016,NA
Couepia latifolia,NA,540,NA,NA,NA
Couepia longipendula,0.938,410.5,0.360206309,0.127379749,NA
Couepia paraensis,0.85,NA,NA,NA,NA
Couepia robusta,0.83,NA,NA,NA,NA
Couepia ulei,0.7895,NA,NA,NA,NA
Couepia williamsii,NA,271.45,NA,NA,NA
Couma guianensis,0.466666667,524.7,0.625084867,0.230961628,NA
Couma macrocarpa,0.4948,538,0.724506705,0.236640285,NA
Couma utilis,NA,344.9,NA,NA,NA
Couratari guianensis,0.507125,837.4,0.871292107,0.204671326,0.098207836
Couratari longipedicellata,0.54,NA,NA,NA,NA
Couratari macrosperma,0.67,1096.9,0.586572405,0.193393412,NA
Couratari multiflora,0.448,613,0.715664044,0.172615498,0.081545011
Couratari oblongifolia,0.505,951.45,1.693567961,0.290290877,NA
Couratari stellata,0.633142857,688.4,0.549668493,0.125723579,NA
Couratari tauari,0.555,NA,NA,NA,NA
Couroupita guianensis,0.434,562.45,NA,NA,NA
Coussapoa asperifolia,0.4515,NA,NA,NA,NA
Coussapoa orthoneura,NA,861,NA,NA,NA
Coussapoa trinervia,NA,566.3,NA,NA,NA
Coussapoa villosa,NA,1000,NA,NA,NA
Coussarea albescens,NA,154,0.144466917,0.04570256,NA
Coussarea ampla,0.476,NA,NA,NA,NA
Coussarea racemosa,0.65,NA,NA,NA,NA
Coutarea hexandra,0.6,182.7,0.817941953,0.287174655,NA
Crateva tapia,0.5102,NA,NA,NA,NA
Crepidospermum goudotianum,NA,298.3,0.60052604,0.20207421,NA
Crepidospermum rhoifolium,0.5785,212.2,0.42566828,0.150960751,NA
Crescentia cujete,0.634,NA,NA,NA,NA
Croton cuneatus,0.41,NA,NA,NA,NA
Croton matourensis,0.388333333,553,1.923378596,0.881058496,NA
Croton schiedeanus,NA,212.25,NA,NA,NA
Croton tessmannii,0.39,317.7,1.247324586,0.344723571,NA
Croton tricolor,NA,334.2,NA,NA,NA
Crudia aromatica,0.93,378.6,NA,NA,NA
Crudia glaberrima,0.785,302.05,0.762795412,0.160381384,NA
Cupania americana,0.565,NA,NA,NA,NA
Cupania cinerea,0.5,439.25,1.795,0.553955507,NA
Cupania scrobiculata,0.628,244.3,0.599099099,0.19987057,1.00083526
Curatella americana,0.65,NA,NA,NA,NA
Cybianthus fulvopulverulentus,0.5925,NA,NA,NA,NA
Cybianthus nestorii,NA,214.2,0.438638543,0.093917625,NA
Cynometra longicuspis,NA,439,0.392029384,0.112858525,NA
Cynometra spruceana,NA,523.4,0.693192533,0.211859339,NA
Cyrillopsis paraensis,NA,496.1,0.987505424,0.27503781,NA
Dacryodes belemensis,0.52,NA,NA,NA,NA
Dacryodes cuspidata,NA,329.6,0.742854072,0.184945763,NA
Dacryodes excelsa,0.48,NA,NA,NA,NA
Dacryodes microcarpa,NA,529.3,0.616614143,0.2914395,NA
Dacryodes nitens,0.49,332.85,0.574038925,0.155290516,NA
Dacryodes peruviana,0.53,310.85,0.901413233,0.181776084,NA
Dendrobangia boliviana,0.635333333,384,0.751108329,0.196450984,0.413154168
Dendropanax arboreus,0.419833333,330.25,0.953677586,0.236004362,NA
Dendropanax resinosus,NA,168.45,NA,NA,NA
Dendropanax umbellatus,NA,168,0.31964165,0.096689421,NA
Dialium guianense,0.87775,505.55,0.921137287,0.235513676,0.387064237
Diclinanona calycina,0.47,NA,NA,NA,NA
