"","observation","wingspan","mass"
"353",353,4,5
"354",354,3,7
"355",355,1,9
"356",356,5,6
"357",357,2,8
"358",358,4,5
"359",359,3,7
"360",360,1,9
"361",361,5,6
"362",362,2,8
"363",363,4,5
"364",364,3,7
"365",365,1,9
"366",366,5,6
"367",367,2,8
"368",368,4,5
"369",369,3,7
"370",370,1,9
"371",371,5,6
"372",372,2,8
"373",373,4,5
"374",374,3,7
"375",375,1,9
"376",376,5,6
"377",377,2,8
"378",378,4,5
"379",379,3,7
"380",380,1,9
"381",381,5,6
"382",382,2,8
"383",383,4,5
"384",384,3,7
"385",385,1,9
"386",386,5,6
"387",387,2,8
"388",388,4,5
"389",389,3,7
"390",390,1,9
"391",391,5,6
"392",392,2,8
"393",393,4,5
"394",394,3,7
"395",395,1,9
"396",396,5,6
"397",397,2,8
"398",398,4,5
"399",399,3,7
"400",400,1,9
"401",401,5,6
"402",402,2,8
"403",403,4,5
"404",404,3,7
"405",405,1,9
"406",406,5,6
"407",407,2,8
"408",408,4,5
"409",409,3,7
"410",410,1,9
"411",411,5,6
"412",412,2,8
"413",413,4,5
"414",414,3,7
"415",415,1,9
"416",416,5,6
"417",417,2,8
"418",418,4,5
"419",419,3,7
"420",420,1,9
"421",421,5,6
"422",422,2,8
"423",423,4,5
"424",424,3,7
"425",425,1,9
"426",426,5,6
"427",427,2,8
"428",428,4,5
"429",429,3,7
"430",430,1,9
"431",431,5,6
"432",432,2,8
"433",433,4,5
"434",434,3,7
"435",435,1,9
"436",436,5,6
"437",437,2,8
"438",438,4,5
"439",439,3,7
"440",440,1,9
"441",441,5,6
"442",442,2,8
"443",443,4,5
"444",444,3,7
"445",445,1,9
"446",446,5,6
"447",447,2,8
"448",448,4,5
"449",449,3,7
"450",450,1,9
"451",451,5,6
"452",452,2,8
"453",453,4,5
"454",454,3,7
"455",455,1,9
"456",456,5,6
"457",457,2,8
"458",458,4,5
"459",459,3,7
"460",460,1,9
"461",461,5,6
"462",462,2,8
"463",463,4,5
"464",464,3,7
"465",465,1,9
"466",466,5,6
"467",467,2,8
"468",468,4,5
"469",469,3,7
"470",470,1,9
"471",471,5,6
"472",472,2,8
"473",473,4,5
"474",474,3,7
"475",475,1,9
"476",476,5,6
"477",477,2,8
"478",478,4,5
"479",479,3,7
"480",480,1,9
"481",481,5,6
"482",482,2,8
"483",483,4,5
"484",484,3,7
"485",485,1,9
"486",486,5,6
"487",487,2,8
"488",488,4,5
"489",489,3,7
"490",490,1,9
"491",491,5,6
"492",492,2,8
"493",493,4,5
"494",494,3,7
"495",495,1,9
"496",496,5,6
"497",497,2,8
"498",498,4,5
"499",499,3,7
"500",500,1,9
"501",501,5,6
"502",502,2,8
"503",503,4,5
"504",504,3,7
"505",505,1,9
"506",506,5,6
"507",507,2,8
"508",508,4,5
"509",509,3,7
"510",510,1,9
"511",511,5,6
"512",512,2,8
"513",513,4,5
"514",514,3,7
"515",515,1,9
"516",516,5,6
"517",517,2,8
"518",518,4,5
"519",519,3,7
"520",520,1,9
"521",521,5,6
"522",522,2,8
"523",523,4,5
"524",524,3,7
"525",525,1,9
"526",526,5,6
"527",527,2,8
"528",528,4,5
"529",529,3,7
"530",530,1,9
"531",531,5,6
"532",532,2,8
"533",533,4,5
"534",534,3,7
"535",535,1,9
"536",536,5,6
"537",537,2,8
"538",538,4,5
"539",539,3,7
"540",540,1,9
"541",541,5,6
"542",542,2,8
"543",543,4,5
"544",544,3,7
"545",545,1,9
"546",546,5,6
"547",547,2,8
"548",548,4,5
"549",549,3,7
"550",550,1,9
"551",551,5,6
"552",552,2,8
"553",553,4,5
"554",554,3,7
"555",555,1,9
"556",556,5,6
"557",557,2,8
"558",558,4,5
"559",559,3,7
"560",560,1,9
"561",561,5,6
"562",562,2,8
"563",563,4,5
"564",564,3,7
"565",565,1,9
"566",566,5,6
"567",567,2,8
"568",568,4,5
"569",569,3,7
"570",570,1,9
"571",571,5,6
"572",572,2,8
"573",573,4,5
"574",574,3,7
"575",575,1,9
"576",576,5,6
"577",577,2,8
"578",578,4,5
"579",579,3,7
"580",580,1,9
"581",581,5,6
"582",582,2,8
"583",583,4,5
"584",584,3,7
"585",585,1,9
"586",586,5,6
"587",587,2,8
"588",588,4,5
"589",589,3,7
"590",590,1,9
"591",591,5,6
"592",592,2,8
"593",593,4,5
"594",594,3,7
"595",595,1,9
"596",596,5,6
"597",597,2,8
"598",598,4,5
"599",599,3,7
"600",600,1,9
"601",601,5,6
"602",602,2,8
"603",603,4,5
"604",604,3,7
"605",605,1,9
"606",606,5,6
"607",607,2,8
"608",608,4,5
"609",609,3,7
"610",610,1,9
"611",611,5,6
"612",612,2,8
"613",613,4,5
"614",614,3,7
"615",615,1,9
"616",616,5,6
"617",617,2,8
"618",618,4,5
"619",619,3,7
"620",620,1,9
"621",621,5,6
"622",622,2,8
"623",623,4,5
"624",624,3,7
"625",625,1,9
"626",626,5,6
"627",627,2,8
"628",628,4,5
"629",629,3,7
"630",630,1,9
"631",631,5,6
"632",632,2,8
"633",633,4,5
"634",634,3,7
"635",635,1,9
"636",636,5,6
"637",637,2,8
"638",638,4,5
"639",639,3,7
"640",640,1,9
"641",641,5,6
"642",642,2,8
"643",643,4,5
"644",644,3,7
"645",645,1,9
"646",646,5,6
"647",647,2,8
"648",648,4,5
"649",649,3,7
"650",650,1,9
"651",651,5,6
"652",652,2,8
"653",653,4,5
"654",654,3,7
"655",655,1,9
"656",656,5,6
"657",657,2,8
"658",658,4,5
"659",659,3,7
"660",660,1,9
"661",661,5,6
"662",662,2,8
"663",663,4,5
"664",664,3,7
"665",665,1,9
"666",666,5,6
"667",667,2,8
"668",668,4,5
"669",669,3,7
"670",670,1,9
"671",671,5,6
"672",672,2,8
"673",673,4,5
"674",674,3,7
"675",675,1,9
"676",676,5,6
"677",677,2,8
"678",678,4,5
"679",679,3,7
"680",680,1,9
"681",681,5,6
"682",682,2,8
"683",683,4,5
"684",684,3,7
"685",685,1,9
"686",686,5,6
"687",687,2,8
"688",688,4,5
"689",689,3,7
"690",690,1,9
"691",691,5,6
"692",692,2,8
"693",693,4,5
"694",694,3,7
"695",695,1,9
"696",696,5,6
"697",697,2,8
"698",698,4,5
"699",699,3,7
"700",700,1,9
"701",701,5,6
"702",702,2,8
"703",703,4,5
"704",704,3,7
"705",705,1,9
"706",706,5,6
"707",707,2,8
"708",708,4,5
"709",709,3,7
"710",710,1,9
"711",711,5,6
"712",712,2,8
"713",713,4,5
"714",714,3,7
"715",715,1,9
"716",716,5,6
"717",717,2,8
"718",718,4,5
"719",719,3,7
"720",720,1,9
"721",721,5,6
"722",722,2,8
"723",723,4,5
"724",724,3,7
"725",725,1,9
"726",726,5,6
"727",727,2,8
"728",728,4,5
"729",729,3,7
"730",730,1,9
"731",731,5,6
"732",732,2,8
"733",733,4,5
"734",734,3,7
"735",735,1,9
"736",736,5,6
"737",737,2,8
"738",738,4,5
"739",739,3,7
"740",740,1,9
"741",741,5,6
"742",742,2,8
"743",743,4,5
"744",744,3,7
"745",745,1,9
"746",746,5,6
"747",747,2,8
"748",748,4,5
"749",749,3,7
"750",750,1,9
"751",751,5,6
"752",752,2,8
"753",753,4,5
"754",754,3,7
"755",755,1,9
"756",756,5,6
"757",757,2,8
"758",758,4,5
"759",759,3,7
"760",760,1,9
"761",761,5,6
"762",762,2,8
"763",763,4,5
"764",764,3,7
"765",765,1,9
"766",766,5,6
"767",767,2,8
"768",768,4,5
"769",769,3,7
"770",770,1,9
"771",771,5,6
"772",772,2,8
"773",773,4,5
"774",774,3,7
"775",775,1,9
"776",776,5,6
"777",777,2,8
"778",778,4,5
"779",779,3,7
"780",780,1,9
"781",781,5,6
"782",782,2,8
"783",783,4,5
"784",784,3,7
"785",785,1,9
"786",786,5,6
"787",787,2,8
"788",788,4,5
"789",789,3,7
"790",790,1,9
"791",791,5,6
"792",792,2,8
"793",793,4,5
"794",794,3,7
"795",795,1,9
"796",796,5,6
"797",797,2,8
"798",798,4,5
"799",799,3,7
"800",800,1,9
"801",801,5,6
"802",802,2,8
"803",803,4,5
"804",804,3,7
"805",805,1,9
"806",806,5,6
"807",807,2,8
"808",808,4,5
"809",809,3,7
"810",810,1,9
"811",811,5,6
"812",812,2,8
"813",813,4,5
"814",814,3,7
"815",815,1,9
"816",816,5,6
"817",817,2,8
"818",818,4,5
"819",819,3,7
"820",820,1,9
"821",821,5,6
"822",822,2,8
"823",823,4,5
"824",824,3,7
"825",825,1,9
"826",826,5,6
"827",827,2,8
"828",828,4,5
"829",829,3,7
"830",830,1,9
"831",831,5,6
"832",832,2,8
"833",833,4,5
"834",834,3,7
"835",835,1,9
"836",836,5,6
"837",837,2,8
"838",838,4,5
"839",839,3,7
"840",840,1,9
"841",841,5,6
"842",842,2,8
"843",843,4,5
"844",844,3,7
"845",845,1,9
"846",846,5,6
"847",847,2,8
"848",848,4,5
"849",849,3,7
"850",850,1,9
"851",851,5,6
"852",852,2,8
"853",853,4,5
"854",854,3,7
"855",855,1,9
"856",856,5,6
"857",857,2,8
"858",858,4,5
"859",859,3,7
"860",860,1,9
"861",861,5,6
"862",862,2,8
"863",863,4,5
"864",864,3,7
"865",865,1,9
"866",866,5,6
"867",867,2,8
"868",868,4,5
"869",869,3,7
"870",870,1,9
"871",871,5,6
"872",872,2,8
"873",873,4,5
"874",874,3,7
"875",875,1,9
"876",876,5,6
"877",877,2,8
"878",878,4,5
"879",879,3,7
"880",880,1,9
"881",881,5,6
"882",882,2,8
"883",883,4,5
"884",884,3,7
"885",885,1,9
"886",886,5,6
"887",887,2,8
"888",888,4,5
"889",889,3,7
"890",890,1,9
"891",891,5,6
"892",892,2,8
"893",893,4,5
"894",894,3,7
"895",895,1,9
"896",896,5,6
"897",897,2,8
"898",898,4,5
"899",899,3,7
"900",900,1,9
"901",901,5,6
"902",902,2,8
"903",903,4,5
"904",904,3,7
"905",905,1,9
"906",906,5,6
"907",907,2,8
"908",908,4,5
"909",909,3,7
"910",910,1,9
"911",911,5,6
"912",912,2,8
"913",913,4,5
"914",914,3,7
"915",915,1,9
"916",916,5,6
"917",917,2,8
"918",918,4,5
"919",919,3,7
"920",920,1,9
"921",921,5,6
"922",922,2,8
"923",923,4,5
"924",924,3,7
"925",925,1,9
"926",926,5,6
"927",927,2,8
"928",928,4,5
"929",929,3,7
"930",930,1,9
"931",931,5,6
"932",932,2,8
"933",933,4,5
"934",934,3,7
"935",935,1,9
"936",936,5,6
"937",937,2,8
"938",938,4,5
"939",939,3,7
"940",940,1,9
"941",941,5,6
"942",942,2,8
"943",943,4,5
"944",944,3,7
"945",945,1,9
"946",946,5,6
"947",947,2,8
"948",948,4,5
"949",949,3,7
"950",950,1,9
"951",951,5,6
"952",952,2,8
"953",953,4,5
"954",954,3,7
"955",955,1,9
"956",956,5,6
"957",957,2,8
"958",958,4,5
"959",959,3,7
"960",960,1,9
"961",961,5,6
"962",962,2,8
"963",963,4,5
"964",964,3,7
"965",965,1,9
"966",966,5,6
"967",967,2,8
"968",968,4,5
"969",969,3,7
"970",970,1,9
"971",971,5,6
"972",972,2,8
"973",973,4,5
"974",974,3,7
"975",975,1,9
"976",976,5,6
"977",977,2,8
"978",978,4,5
"979",979,3,7
"980",980,1,9
"981",981,5,6
"982",982,2,8
"983",983,4,5
"984",984,3,7
"985",985,1,9
"986",986,5,6
"987",987,2,8
"988",988,4,5
"989",989,3,7
"990",990,1,9
"991",991,5,6
"992",992,2,8
"993",993,4,5
"994",994,3,7
"995",995,1,9
"996",996,5,6
"997",997,2,8
"998",998,4,5
"999",999,3,7
"1000",1000,1,9
