"Species","Light","Nitrogen","Humidity","Temperature","GrowthRate"
"P.cornucopiae",0,0,"High",25,20.133021382383
"P.cornucopiae",10,0,"High",25,47.6516208111574
"P.cornucopiae",20,0,"High",25,95.8841527409712
"P.cornucopiae",0,5,"High",25,31.4025850389202
"P.cornucopiae",10,5,"High",25,61.7871752887725
"P.cornucopiae",20,5,"High",25,106.529534233608
"P.cornucopiae",0,10,"High",25,47.4220645448538
"P.cornucopiae",10,10,"High",25,91.663312265036
"P.cornucopiae",20,10,"High",25,116.793700896077
"P.cornucopiae",0,20,"High",25,98.3093740569514
"P.cornucopiae",10,20,"High",25,124.206481075812
"P.cornucopiae",20,20,"High",25,179.194522308392
"P.cornucopiae",0,25,"High",25,121.907591060824
"P.cornucopiae",10,25,"High",25,164.801809466416
"P.cornucopiae",20,25,"High",25,221.453287250665
"P.cornucopiae",0,30,"High",25,51.1358549092766
"P.cornucopiae",10,30,"High",25,70.1240428666423
"P.cornucopiae",20,30,"High",25,139.495667915486
"P.cornucopiae",0,35,"High",25,71.6945183312262
"P.cornucopiae",10,35,"High",25,77.595873242399
"P.cornucopiae",20,35,"High",25,123.272012671311
"P.cornucopiae",0,40,"High",25,33.5490643440255
"P.cornucopiae",10,40,"High",25,50.1308388547171
"P.cornucopiae",20,40,"High",25,111.248651686321
"P.cornucopiae",0,45,"High",25,30.2437079611613
"P.cornucopiae",10,45,"High",25,42.3230235403943
"P.cornucopiae",20,45,"High",25,119.343696664254
