Sample.ID,Rep,Well,Dilution,Substrate,Hour,Absorbance,SampleType
Clear_Creek,1,H1,0.001,α-D-Lactose,24,0.009,Water
Clear_Creek,1,H2,0.001,D.L -α-Glycerol Phosphate,24,0.01,Water
Clear_Creek,1,H3,0.001,D-Mallic Acid,24,0.002,Water
Clear_Creek,1,H4,0.001,Putrescine,24,0.025,Water
Clear_Creek,1,A1,0.01,Water,24,0,Water
Clear_Creek,1,A2,0.01,β-Methyl-D- Glucoside,24,0,Water
Clear_Creek,1,A3,0.01,D-Galactonic Acid γ-Lactone,24,0,Water
Clear_Creek,1,A4,0.01,L-Arginine,24,0,Water
Clear_Creek,1,B1,0.01,Pyruvic Acid Methyl Ester,24,0.053,Water
Clear_Creek,1,B2,0.01,D-Xylose,24,0.021,Water
Clear_Creek,1,B3,0.01,D-Galacturonic Acid,24,0.076,Water
Clear_Creek,1,B4,0.01,L-Asparganine,24,0.001,Water
Clear_Creek,1,C1,0.01,Tween 40,24,0.205,Water
Clear_Creek,1,C2,0.01,i-Erythitol,24,0.044,Water
Clear_Creek,1,C3,0.01,2-Hydroxy Benzoic Acid,24,0,Water
Clear_Creek,1,C4,0.01,L-Phenylalanine,24,0.154,Water
Clear_Creek,1,D1,0.01,Tween 80 ,24,0.114,Water
Clear_Creek,1,D2,0.01,D-Mannitol,24,0.03,Water
Clear_Creek,1,D3,0.01,4-Hydroxy Benzoic Acid,24,0.1,Water
Clear_Creek,1,D4,0.01,L-Serine,24,0.138,Water
Clear_Creek,1,E1,0.01,α-Cyclodextrin,24,0.184,Water
Clear_Creek,1,E2,0.01,N-Acetyl-D-Glucosamine,24,0.146,Water
Clear_Creek,1,E3,0.01,γ-Hydroxybutyric Acid,24,0.216,Water
Clear_Creek,1,E4,0.01,L-Threonine,24,0.209,Water
Clear_Creek,1,F1,0.01,Glycogen,24,0.315,Water
Clear_Creek,1,F2,0.01,D-Glucosaminic Acid,24,0.187,Water
Clear_Creek,1,F3,0.01,Itaconic Acid,24,0.185,Water
Clear_Creek,1,F4,0.01,Glycyl-L-Glutamic Acid,24,0.227,Water
Clear_Creek,1,G1,0.01,D-Cellobiose,24,0.155,Water
Clear_Creek,1,G2,0.01,Glucose-1-Phosphate,24,0.031,Water
Clear_Creek,1,G3,0.01,α-Ketobutyric Acid,24,0.041,Water
Clear_Creek,1,G4,0.01,Phenylethylamine,24,0.038,Water
Clear_Creek,1,H1,0.01,α-D-Lactose,24,0.003,Water
Clear_Creek,1,H2,0.01,D.L -α-Glycerol Phosphate,24,0.02,Water
Clear_Creek,1,H3,0.01,D-Mallic Acid,24,0.005,Water
Clear_Creek,1,H4,0.01,Putrescine,24,0.006,Water
Clear_Creek,1,A1,0.1,Water,24,0,Water
Clear_Creek,1,A2,0.1,β-Methyl-D- Glucoside,24,0.01,Water
Clear_Creek,1,A3,0.1,D-Galactonic Acid γ-Lactone,24,0.07,Water
Clear_Creek,1,A4,0.1,L-Arginine,24,0.003,Water
Clear_Creek,1,B1,0.1,Pyruvic Acid Methyl Ester,24,0,Water
Clear_Creek,1,B2,0.1,D-Xylose,24,0,Water
Clear_Creek,1,B3,0.1,D-Galacturonic Acid,24,0.016,Water
Clear_Creek,1,B4,0.1,L-Asparganine,24,0.037,Water
Clear_Creek,1,C1,0.1,Tween 40,24,0,Water
Clear_Creek,1,C2,0.1,i-Erythitol,24,0.001,Water
Clear_Creek,1,C3,0.1,2-Hydroxy Benzoic Acid,24,0.099,Water
Clear_Creek,1,C4,0.1,L-Phenylalanine,24,0.153,Water
Clear_Creek,1,D1,0.1,Tween 80 ,24,0.138,Water
Clear_Creek,1,D2,0.1,D-Mannitol,24,0.032,Water
Clear_Creek,1,D3,0.1,4-Hydroxy Benzoic Acid,24,0.179,Water
Clear_Creek,1,D4,0.1,L-Serine,24,0.185,Water
Clear_Creek,1,E1,0.1,α-Cyclodextrin,24,0,Water
Clear_Creek,1,E2,0.1,N-Acetyl-D-Glucosamine,24,0.179,Water
Clear_Creek,1,E3,0.1,γ-Hydroxybutyric Acid,24,0.233,Water
Clear_Creek,1,E4,0.1,L-Threonine,24,0.066,Water
Clear_Creek,1,F1,0.1,Glycogen,24,0.026,Water
Clear_Creek,1,F2,0.1,D-Glucosaminic Acid,24,0,Water
Clear_Creek,1,F3,0.1,Itaconic Acid,24,0.059,Water
Clear_Creek,1,F4,0.1,Glycyl-L-Glutamic Acid,24,0.277,Water
Clear_Creek,1,G1,0.1,D-Cellobiose,24,0.002,Water
Clear_Creek,1,G2,0.1,Glucose-1-Phosphate,24,0.086,Water
Clear_Creek,1,G3,0.1,α-Ketobutyric Acid,24,0.004,Water
Clear_Creek,1,G4,0.1,Phenylethylamine,24,0.031,Water
Clear_Creek,1,H1,0.1,α-D-Lactose,24,0,Water
Clear_Creek,1,H2,0.1,D.L -α-Glycerol Phosphate,24,0.005,Water
Clear_Creek,1,H3,0.1,D-Mallic Acid,24,0,Water
Clear_Creek,1,H4,0.1,Putrescine,24,0,Water
Clear_Creek,2,A1,0.001,Water,24,0,Water
Clear_Creek,2,A2,0.001,β-Methyl-D- Glucoside,24,0,Water
Clear_Creek,2,A3,0.001,D-Galactonic Acid γ-Lactone,24,0.001,Water
Clear_Creek,2,A4,0.001,L-Arginine,24,0,Water
Clear_Creek,2,B1,0.001,Pyruvic Acid Methyl Ester,24,0.192,Water
Clear_Creek,2,B2,0.001,D-Xylose,24,0.147,Water
Clear_Creek,2,B3,0.001,D-Galacturonic Acid,24,0.008,Water
Clear_Creek,2,B4,0.001,L-Asparganine,24,0,Water
Clear_Creek,2,C1,0.001,Tween 40,24,0,Water
Clear_Creek,2,C2,0.001,i-Erythitol,24,0.182,Water
Clear_Creek,2,C3,0.001,2-Hydroxy Benzoic Acid,24,0.003,Water
Clear_Creek,2,C4,0.001,L-Phenylalanine,24,0,Water
Clear_Creek,2,D1,0.001,Tween 80 ,24,0,Water
Clear_Creek,2,D2,0.001,D-Mannitol,24,0,Water
Clear_Creek,2,D3,0.001,4-Hydroxy Benzoic Acid,24,0.081,Water
Clear_Creek,2,D4,0.001,L-Serine,24,0,Water
Clear_Creek,2,E1,0.001,α-Cyclodextrin,24,0.188,Water
Clear_Creek,2,E2,0.001,N-Acetyl-D-Glucosamine,24,0.258,Water
Clear_Creek,2,E3,0.001,γ-Hydroxybutyric Acid,24,0.54,Water
Clear_Creek,2,E4,0.001,L-Threonine,24,0,Water
Clear_Creek,2,F1,0.001,Glycogen,24,0.198,Water
Clear_Creek,2,F2,0.001,D-Glucosaminic Acid,24,0.215,Water
Clear_Creek,2,F3,0.001,Itaconic Acid,24,0.1,Water
Clear_Creek,2,F4,0.001,Glycyl-L-Glutamic Acid,24,0,Water
Clear_Creek,2,G1,0.001,D-Cellobiose,24,0.058,Water
Clear_Creek,2,G2,0.001,Glucose-1-Phosphate,24,0.11,Water
Clear_Creek,2,G3,0.001,α-Ketobutyric Acid,24,0.005,Water
Clear_Creek,2,G4,0.001,Phenylethylamine,24,0,Water
Clear_Creek,2,H1,0.001,α-D-Lactose,24,0.002,Water
Clear_Creek,2,H2,0.001,D.L -α-Glycerol Phosphate,24,0.001,Water
Clear_Creek,2,H3,0.001,D-Mallic Acid,24,0,Water
Clear_Creek,2,H4,0.001,Putrescine,24,0,Water
Clear_Creek,2,A1,0.01,Water,24,0,Water
Clear_Creek,2,A2,0.01,β-Methyl-D- Glucoside,24,0,Water
Clear_Creek,2,A3,0.01,D-Galactonic Acid γ-Lactone,24,0.004,Water
Clear_Creek,2,A4,0.01,L-Arginine,24,0.006,Water
Clear_Creek,2,B1,0.01,Pyruvic Acid Methyl Ester,24,0.024,Water
Clear_Creek,2,B2,0.01,D-Xylose,24,0.065,Water
Clear_Creek,2,B3,0.01,D-Galacturonic Acid,24,0.155,Water
Clear_Creek,2,B4,0.01,L-Asparganine,24,0.171,Water
Clear_Creek,2,C1,0.01,Tween 40,24,0.05,Water
Clear_Creek,2,C2,0.01,i-Erythitol,24,0.165,Water
Clear_Creek,2,C3,0.01,2-Hydroxy Benzoic Acid,24,0.198,Water
Clear_Creek,2,C4,0.01,L-Phenylalanine,24,0.23,Water
Clear_Creek,2,D1,0.01,Tween 80 ,24,0.181,Water
Clear_Creek,2,D2,0.01,D-Mannitol,24,0.169,Water
Clear_Creek,2,D3,0.01,4-Hydroxy Benzoic Acid,24,0.107,Water
Clear_Creek,2,D4,0.01,L-Serine,24,0.263,Water
Clear_Creek,2,E1,0.01,α-Cyclodextrin,24,0.239,Water
Clear_Creek,2,E2,0.01,N-Acetyl-D-Glucosamine,24,0.188,Water
Clear_Creek,2,E3,0.01,γ-Hydroxybutyric Acid,24,0.68,Water
Clear_Creek,2,E4,0.01,L-Threonine,24,0.197,Water
Clear_Creek,2,F1,0.01,Glycogen,24,0.213,Water
Clear_Creek,2,F2,0.01,D-Glucosaminic Acid,24,0.197,Water
Clear_Creek,2,F3,0.01,Itaconic Acid,24,0.199,Water
Clear_Creek,2,F4,0.01,Glycyl-L-Glutamic Acid,24,0.255,Water
Clear_Creek,2,G1,0.01,D-Cellobiose,24,0.055,Water
Clear_Creek,2,G2,0.01,Glucose-1-Phosphate,24,0.062,Water
Clear_Creek,2,G3,0.01,α-Ketobutyric Acid,24,0.084,Water
Clear_Creek,2,G4,0.01,Phenylethylamine,24,0.079,Water
Clear_Creek,2,H1,0.01,α-D-Lactose,24,0,Water
Clear_Creek,2,H2,0.01,D.L -α-Glycerol Phosphate,24,0,Water
Clear_Creek,2,H3,0.01,D-Mallic Acid,24,0.027,Water
Clear_Creek,2,H4,0.01,Putrescine,24,0,Water
Clear_Creek,2,A1,0.1,Water,24,0,Water
Clear_Creek,2,A2,0.1,β-Methyl-D- Glucoside,24,0.06,Water
Clear_Creek,2,A3,0.1,D-Galactonic Acid γ-Lactone,24,0.041,Water
Clear_Creek,2,A4,0.1,L-Arginine,24,0.001,Water
Clear_Creek,2,B1,0.1,Pyruvic Acid Methyl Ester,24,0.029,Water
Clear_Creek,2,B2,0.1,D-Xylose,24,0.004,Water
Clear_Creek,2,B3,0.1,D-Galacturonic Acid,24,0.167,Water
Clear_Creek,2,B4,0.1,L-Asparganine,24,0.061,Water
Clear_Creek,2,C1,0.1,Tween 40,24,0,Water
Clear_Creek,2,C2,0.1,i-Erythitol,24,0,Water
Clear_Creek,2,C3,0.1,2-Hydroxy Benzoic Acid,24,0.067,Water
Clear_Creek,2,C4,0.1,L-Phenylalanine,24,0.139,Water
Clear_Creek,2,D1,0.1,Tween 80 ,24,0.048,Water
Clear_Creek,2,D2,0.1,D-Mannitol,24,0.229,Water
Clear_Creek,2,D3,0.1,4-Hydroxy Benzoic Acid,24,0.307,Water
Clear_Creek,2,D4,0.1,L-Serine,24,0.289,Water
Clear_Creek,2,E1,0.1,α-Cyclodextrin,24,0.007,Water
Clear_Creek,2,E2,0.1,N-Acetyl-D-Glucosamine,24,0.146,Water
Clear_Creek,2,E3,0.1,γ-Hydroxybutyric Acid,24,0.12,Water
Clear_Creek,2,E4,0.1,L-Threonine,24,0.202,Water
Clear_Creek,2,F1,0.1,Glycogen,24,0.041,Water
Clear_Creek,2,F2,0.1,D-Glucosaminic Acid,24,0.022,Water
Clear_Creek,2,F3,0.1,Itaconic Acid,24,0.128,Water
Clear_Creek,2,F4,0.1,Glycyl-L-Glutamic Acid,24,0.152,Water
Clear_Creek,2,G1,0.1,D-Cellobiose,24,0,Water
Clear_Creek,2,G2,0.1,Glucose-1-Phosphate,24,0.006,Water
Clear_Creek,2,G3,0.1,α-Ketobutyric Acid,24,0.005,Water
Clear_Creek,2,G4,0.1,Phenylethylamine,24,0.02,Water
Clear_Creek,2,H1,0.1,α-D-Lactose,24,0.007,Water
Clear_Creek,2,H2,0.1,D.L -α-Glycerol Phosphate,24,0.101,Water
Clear_Creek,2,H3,0.1,D-Mallic Acid,24,0,Water
Clear_Creek,2,H4,0.1,Putrescine,24,0.11,Water
Clear_Creek,3,A1,0.001,Water,24,0,Water
Clear_Creek,3,A2,0.001,β-Methyl-D- Glucoside,24,0,Water
Clear_Creek,3,A3,0.001,D-Galactonic Acid γ-Lactone,24,0,Water
Clear_Creek,3,A4,0.001,L-Arginine,24,0.396,Water
Clear_Creek,3,B1,0.001,Pyruvic Acid Methyl Ester,24,0,Water
Clear_Creek,3,B2,0.001,D-Xylose,24,0.017,Water
Clear_Creek,3,B3,0.001,D-Galacturonic Acid,24,0,Water
Clear_Creek,3,B4,0.001,L-Asparganine,24,0,Water
Clear_Creek,3,C1,0.001,Tween 40,24,0.002,Water
Clear_Creek,3,C2,0.001,i-Erythitol,24,0,Water
Clear_Creek,3,C3,0.001,2-Hydroxy Benzoic Acid,24,0,Water
Clear_Creek,3,C4,0.001,L-Phenylalanine,24,0,Water
Clear_Creek,3,D1,0.001,Tween 80 ,24,0,Water
Clear_Creek,3,D2,0.001,D-Mannitol,24,0,Water
Clear_Creek,3,D3,0.001,4-Hydroxy Benzoic Acid,24,0,Water
Clear_Creek,3,D4,0.001,L-Serine,24,0,Water
Clear_Creek,3,E1,0.001,α-Cyclodextrin,24,0.008,Water
Clear_Creek,3,E2,0.001,N-Acetyl-D-Glucosamine,24,0.008,Water
Clear_Creek,3,E3,0.001,γ-Hydroxybutyric Acid,24,0,Water
Clear_Creek,3,E4,0.001,L-Threonine,24,0,Water
Clear_Creek,3,F1,0.001,Glycogen,24,0,Water
Clear_Creek,3,F2,0.001,D-Glucosaminic Acid,24,0,Water
Clear_Creek,3,F3,0.001,Itaconic Acid,24,0,Water
Clear_Creek,3,F4,0.001,Glycyl-L-Glutamic Acid,24,0,Water
Clear_Creek,3,G1,0.001,D-Cellobiose,24,0,Water
Clear_Creek,3,G2,0.001,Glucose-1-Phosphate,24,0,Water
Clear_Creek,3,G3,0.001,α-Ketobutyric Acid,24,0,Water
Clear_Creek,3,G4,0.001,Phenylethylamine,24,0.315,Water
Clear_Creek,3,H1,0.001,α-D-Lactose,24,0,Water
Clear_Creek,3,H2,0.001,D.L -α-Glycerol Phosphate,24,0,Water
Clear_Creek,3,H3,0.001,D-Mallic Acid,24,0.057,Water
Clear_Creek,3,H4,0.001,Putrescine,24,0,Water
Clear_Creek,3,A1,0.01,Water,24,0,Water
Clear_Creek,3,A2,0.01,β-Methyl-D- Glucoside,24,0,Water
Clear_Creek,3,A3,0.01,D-Galactonic Acid γ-Lactone,24,0,Water
Clear_Creek,3,A4,0.01,L-Arginine,24,0.016,Water
Clear_Creek,3,B1,0.01,Pyruvic Acid Methyl Ester,24,0.032,Water
Clear_Creek,3,B2,0.01,D-Xylose,24,0.029,Water
Clear_Creek,3,B3,0.01,D-Galacturonic Acid,24,0.004,Water
Clear_Creek,3,B4,0.01,L-Asparganine,24,0.005,Water
Clear_Creek,3,C1,0.01,Tween 40,24,0.011,Water
Clear_Creek,3,C2,0.01,i-Erythitol,24,0,Water
Clear_Creek,3,C3,0.01,2-Hydroxy Benzoic Acid,24,0,Water
Clear_Creek,3,C4,0.01,L-Phenylalanine,24,0.003,Water
Clear_Creek,3,D1,0.01,Tween 80 ,24,0.028,Water
Clear_Creek,3,D2,0.01,D-Mannitol,24,0.032,Water
Clear_Creek,3,D3,0.01,4-Hydroxy Benzoic Acid,24,0,Water
Clear_Creek,3,D4,0.01,L-Serine,24,0,Water
Clear_Creek,3,E1,0.01,α-Cyclodextrin,24,0.048,Water
Clear_Creek,3,E2,0.01,N-Acetyl-D-Glucosamine,24,0.022,Water
Clear_Creek,3,E3,0.01,γ-Hydroxybutyric Acid,24,0.017,Water
Clear_Creek,3,E4,0.01,L-Threonine,24,0.053,Water
Clear_Creek,3,F1,0.01,Glycogen,24,0.025,Water
Clear_Creek,3,F2,0.01,D-Glucosaminic Acid,24,0,Water
Clear_Creek,3,F3,0.01,Itaconic Acid,24,0,Water
Clear_Creek,3,F4,0.01,Glycyl-L-Glutamic Acid,24,0,Water
Clear_Creek,3,G1,0.01,D-Cellobiose,24,0.031,Water
Clear_Creek,3,G2,0.01,Glucose-1-Phosphate,24,0.026,Water
Clear_Creek,3,G3,0.01,α-Ketobutyric Acid,24,0.002,Water
Clear_Creek,3,G4,0.01,Phenylethylamine,24,0.023,Water
Clear_Creek,3,H1,0.01,α-D-Lactose,24,0,Water
Clear_Creek,3,H2,0.01,D.L -α-Glycerol Phosphate,24,0,Water
Clear_Creek,3,H3,0.01,D-Mallic Acid,24,0,Water
Clear_Creek,3,H4,0.01,Putrescine,24,0,Water
Clear_Creek,3,A1,0.1,Water,24,0,Water
Clear_Creek,3,A2,0.1,β-Methyl-D- Glucoside,24,0,Water
Clear_Creek,3,A3,0.1,D-Galactonic Acid γ-Lactone,24,0.011,Water
Clear_Creek,3,A4,0.1,L-Arginine,24,0.245,Water
Clear_Creek,3,B1,0.1,Pyruvic Acid Methyl Ester,24,0,Water
Clear_Creek,3,B2,0.1,D-Xylose,24,0.019,Water
Clear_Creek,3,B3,0.1,D-Galacturonic Acid,24,0.2,Water
Clear_Creek,3,B4,0.1,L-Asparganine,24,0.059,Water
Clear_Creek,3,C1,0.1,Tween 40,24,0,Water
Clear_Creek,3,C2,0.1,i-Erythitol,24,0.017,Water
Clear_Creek,3,C3,0.1,2-Hydroxy Benzoic Acid,24,0.009,Water
Clear_Creek,3,C4,0.1,L-Phenylalanine,24,0.014,Water
Clear_Creek,3,D1,0.1,Tween 80 ,24,0.062,Water
Clear_Creek,3,D2,0.1,D-Mannitol,24,0.123,Water
Clear_Creek,3,D3,0.1,4-Hydroxy Benzoic Acid,24,0.008,Water
Clear_Creek,3,D4,0.1,L-Serine,24,0.014,Water
Clear_Creek,3,E1,0.1,α-Cyclodextrin,24,0.029,Water
Clear_Creek,3,E2,0.1,N-Acetyl-D-Glucosamine,24,0.019,Water
Clear_Creek,3,E3,0.1,γ-Hydroxybutyric Acid,24,0.066,Water
Clear_Creek,3,E4,0.1,L-Threonine,24,0.058,Water
Clear_Creek,3,F1,0.1,Glycogen,24,0.885,Water
Clear_Creek,3,F2,0.1,D-Glucosaminic Acid,24,0.009,Water
Clear_Creek,3,F3,0.1,Itaconic Acid,24,0.037,Water
Clear_Creek,3,F4,0.1,Glycyl-L-Glutamic Acid,24,0.014,Water
Clear_Creek,3,G1,0.1,D-Cellobiose,24,0.177,Water
Clear_Creek,3,G2,0.1,Glucose-1-Phosphate,24,0.033,Water
Clear_Creek,3,G3,0.1,α-Ketobutyric Acid,24,0.025,Water
Clear_Creek,3,G4,0.1,Phenylethylamine,24,0.04,Water
Clear_Creek,3,H1,0.1,α-D-Lactose,24,0.01,Water
Clear_Creek,3,H2,0.1,D.L -α-Glycerol Phosphate,24,0,Water
Clear_Creek,3,H3,0.1,D-Mallic Acid,24,0.041,Water
Clear_Creek,3,H4,0.1,Putrescine,24,0.012,Water
Soil_1,1,A1,0.001,Water,24,0,Water
Soil_1,1,A2,0.001,β-Methyl-D- Glucoside,24,0.01,Water
Soil_1,1,A3,0.001,D-Galactonic Acid γ-Lactone,24,0.07,Water
Soil_1,1,A4,0.001,L-Arginine,24,0.003,Water
Soil_1,1,B1,0.001,Pyruvic Acid Methyl Ester,24,0,Water
Soil_1,1,B2,0.001,D-Xylose,24,0,Water
Soil_1,1,B3,0.001,D-Galacturonic Acid,24,0.016,Water
Soil_1,1,B4,0.001,L-Asparganine,24,0.037,Water
Soil_1,1,C1,0.001,Tween 40,24,0,Water
Soil_1,1,C2,0.001,i-Erythitol,24,0.001,Water
Soil_1,1,C3,0.001,2-Hydroxy Benzoic Acid,24,0.099,Water
Soil_1,1,C4,0.001,L-Phenylalanine,24,0.153,Water
Soil_1,1,D1,0.001,Tween 80 ,24,0.138,Water
Soil_1,1,D2,0.001,D-Mannitol,24,0.032,Water
Soil_1,1,D3,0.001,4-Hydroxy Benzoic Acid,24,0.179,Water
Soil_1,1,D4,0.001,L-Serine,24,0.185,Water
Soil_1,1,E1,0.001,α-Cyclodextrin,24,0,Water
Soil_1,1,E2,0.001,N-Acetyl-D-Glucosamine,24,0.179,Water
Soil_1,1,E3,0.001,γ-Hydroxybutyric Acid,24,0.233,Water
Soil_1,1,E4,0.001,L-Threonine,24,0.066,Water
Soil_1,1,F1,0.001,Glycogen,24,0.026,Water
Soil_1,1,F2,0.001,D-Glucosaminic Acid,24,0,Water
Soil_1,1,F3,0.001,Itaconic Acid,24,0.059,Water
Soil_1,1,F4,0.001,Glycyl-L-Glutamic Acid,24,0.277,Water
Soil_1,1,G1,0.001,D-Cellobiose,24,0.002,Water
Soil_1,1,G2,0.001,Glucose-1-Phosphate,24,0.086,Water
Soil_1,1,G3,0.001,α-Ketobutyric Acid,24,0.004,Water
Soil_1,1,G4,0.001,Phenylethylamine,24,0.031,Water
Soil_1,1,H1,0.001,α-D-Lactose,24,0,Water
Soil_1,1,H2,0.001,D.L -α-Glycerol Phosphate,24,0.005,Water
Soil_1,1,H3,0.001,D-Mallic Acid,24,0,Water
Soil_1,1,H4,0.001,Putrescine,24,0,Water
Soil_1,1,A1,0.01,Water,24,0,Water
Soil_1,1,A2,0.01,β-Methyl-D- Glucoside,24,0,Water
Soil_1,1,A3,0.01,D-Galactonic Acid γ-Lactone,24,0,Water
Soil_1,1,A4,0.01,L-Arginine,24,0,Water
Soil_1,1,B1,0.01,Pyruvic Acid Methyl Ester,24,0.053,Water
Soil_1,1,B2,0.01,D-Xylose,24,0.021,Water
Soil_1,1,B3,0.01,D-Galacturonic Acid,24,0.076,Water
Soil_1,1,B4,0.01,L-Asparganine,24,0.001,Water
Soil_1,1,C1,0.01,Tween 40,24,0.205,Water
Soil_1,1,C2,0.01,i-Erythitol,24,0.044,Water
Soil_1,1,C3,0.01,2-Hydroxy Benzoic Acid,24,0,Water
Soil_1,1,C4,0.01,L-Phenylalanine,24,0.154,Water
Soil_1,1,D1,0.01,Tween 80 ,24,0.114,Water
Soil_1,1,D2,0.01,D-Mannitol,24,0.03,Water
Soil_1,1,D3,0.01,4-Hydroxy Benzoic Acid,24,0.1,Water
Soil_1,1,D4,0.01,L-Serine,24,0.138,Water
Soil_1,1,E1,0.01,α-Cyclodextrin,24,0.184,Water
Soil_1,1,E2,0.01,N-Acetyl-D-Glucosamine,24,0.146,Water
Soil_1,1,E3,0.01,γ-Hydroxybutyric Acid,24,0.216,Water
Soil_1,1,E4,0.01,L-Threonine,24,0.209,Water
Soil_1,1,F1,0.01,Glycogen,24,0.315,Water
Soil_1,1,F2,0.01,D-Glucosaminic Acid,24,0.187,Water
Soil_1,1,F3,0.01,Itaconic Acid,24,0.185,Water
Soil_1,1,F4,0.01,Glycyl-L-Glutamic Acid,24,0.227,Water
Soil_1,1,G1,0.01,D-Cellobiose,24,0.155,Water
Soil_1,1,G2,0.01,Glucose-1-Phosphate,24,0.031,Water
Soil_1,1,G3,0.01,α-Ketobutyric Acid,24,0.041,Water
Soil_1,1,G4,0.01,Phenylethylamine,24,0.038,Water
Soil_1,1,H1,0.01,α-D-Lactose,24,0.003,Water
Soil_1,1,H2,0.01,D.L -α-Glycerol Phosphate,24,0.02,Water
Soil_1,1,H3,0.01,D-Mallic Acid,24,0.005,Water
Soil_1,1,H4,0.01,Putrescine,24,0.006,Water
Soil_1,1,A1,0.1,Water,24,0,Water
Soil_1,1,A2,0.1,β-Methyl-D- Glucoside,24,0.004,Water
Soil_1,1,A3,0.1,D-Galactonic Acid γ-Lactone,24,0.008,Water
Soil_1,1,A4,0.1,L-Arginine,24,0.003,Water
Soil_1,1,B1,0.1,Pyruvic Acid Methyl Ester,24,0.002,Water
Soil_1,1,B2,0.1,D-Xylose,24,0.011,Water
Soil_1,1,B3,0.1,D-Galacturonic Acid,24,0.047,Water
Soil_1,1,B4,0.1,L-Asparganine,24,0.001,Water
Soil_1,1,C1,0.1,Tween 40,24,0.123,Water
Soil_1,1,C2,0.1,i-Erythitol,24,0.007,Water
Soil_1,1,C3,0.1,2-Hydroxy Benzoic Acid,24,0,Water
Soil_1,1,C4,0.1,L-Phenylalanine,24,0,Water
Soil_1,1,D1,0.1,Tween 80 ,24,0.476,Water
Soil_1,1,D2,0.1,D-Mannitol,24,0.023,Water
Soil_1,1,D3,0.1,4-Hydroxy Benzoic Acid,24,0.018,Water
Soil_1,1,D4,0.1,L-Serine,24,0.003,Water
Soil_1,1,E1,0.1,α-Cyclodextrin,24,0.138,Water
Soil_1,1,E2,0.1,N-Acetyl-D-Glucosamine,24,0.094,Water
Soil_1,1,E3,0.1,γ-Hydroxybutyric Acid,24,0.035,Water
Soil_1,1,E4,0.1,L-Threonine,24,0.001,Water
Soil_1,1,F1,0.1,Glycogen,24,0.184,Water
Soil_1,1,F2,0.1,D-Glucosaminic Acid,24,0.076,Water
Soil_1,1,F3,0.1,Itaconic Acid,24,0.029,Water
Soil_1,1,F4,0.1,Glycyl-L-Glutamic Acid,24,0.001,Water
Soil_1,1,G1,0.1,D-Cellobiose,24,0.109,Water
Soil_1,1,G2,0.1,Glucose-1-Phosphate,24,0.052,Water
Soil_1,1,G3,0.1,α-Ketobutyric Acid,24,0.038,Water
Soil_1,1,G4,0.1,Phenylethylamine,24,0.003,Water
Soil_1,1,H1,0.1,α-D-Lactose,24,0.009,Water
Soil_1,1,H2,0.1,D.L -α-Glycerol Phosphate,24,0.01,Water
Soil_1,1,H3,0.1,D-Mallic Acid,24,0.002,Water
Soil_1,1,H4,0.1,Putrescine,24,0.025,Water
Soil_1,2,A1,0.001,Water,24,0,Water
Soil_1,2,A2,0.001,β-Methyl-D- Glucoside,24,0.004,Water
Soil_1,2,A3,0.001,D-Galactonic Acid γ-Lactone,24,0.008,Water
Soil_1,2,A4,0.001,L-Arginine,24,0.003,Water
