Run,Assay Type,AvgSpotLen,BioProject,BioSample,BioSampleModel,Center Name,collection_date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,Instrument,isolation_source,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,MBases,MBytes,Organism,Platform,ref_biomaterial,rel_to_oxygen,ReleaseDate,samp_collect_device,samp_mat_process,samp_size,sample_acc,Sample Name,source_material_ID,SRA Study
SRR10414969,RNA-Seq,500,PRJNA587578,SAMN13198116,Metagenome or environmental,"IPREM UMR 5254, EQUIPE ENVIRONNEMENT ET MICROBIOLOGIE",Feb-2015,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX7113170,Morocco,Africa,Morocco: Marrakech,Sewage sludge,Illumina MiSeq,municipal mesophilic sewage sludge of the wastewater treatment plant in the city of Morocco: Marrakech.,31.6300 N 8.0089 W,DBPF-1_CTGCAC_L001_R1.fastq,PAIRED,PCR,METAGENOMIC,31,17,sludge metagenome,ILLUMINA,"El Houari, Abdelaziz, et al. ""Desulfobulbus oligotrophicus sp. nov., a sulfate-reducing and propionate-oxidizing bacterium isolated from a municipal anaerobe sewage sludge digester."" International journal of systematic and evolutionary microbiology 67....",anaerobe,2019-11-08T00:00:00Z,120ml sterile serum bottles,Sampling was taken out using 120ml sterile serum bottles that were filled to displace air and preserve anaerobe condition,168 ml,SRS5624064,DBPF-1_CTGCAC_L001_R1.fastq,Digester B bottom,SRP229007
SRR10414970,RNA-Seq,500,PRJNA587578,SAMN13198114,Metagenome or environmental,"IPREM UMR 5254, EQUIPE ENVIRONNEMENT ET MICROBIOLOGIE",Feb-2015,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX7113169,Morocco,Africa,Morocco: Marrakech,Sewage sludge,Illumina MiSeq,municipal mesophilic sewage sludge of the wastewater treatment plant in the city of Morocco: Marrakech.,31.6300 N 8.0089 W,DAPS-3_CAACGA_L001_R1.fastq,PAIRED,PCR,METAGENOMIC,17,9,sludge metagenome,ILLUMINA,"El Houari, Abdelaziz, et al. ""Desulfobulbus oligotrophicus sp. nov., a sulfate-reducing and propionate-oxidizing bacterium isolated from a municipal anaerobe sewage sludge digester."" International journal of systematic and evolutionary microbiology 67....",anaerobe,2019-11-08T00:00:00Z,120ml sterile serum bottles,Sampling was taken out using 120ml sterile serum bottles that were filled to displace air and preserve anaerobe condition,166 ml,SRS5624063,DAPS-3_CAACGA_L001_R1.fastq,Digester A surface,SRP229007
SRR10414971,RNA-Seq,500,PRJNA587578,SAMN13198072,Metagenome or environmental,"IPREM UMR 5254, EQUIPE ENVIRONNEMENT ET MICROBIOLOGIE",Feb-2015,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX7113168,Morocco,Africa,Morocco: Marrakech,Sewage sludge,Illumina MiSeq,municipal mesophilic sewage sludge of the wastewater treatment plant in the city of Morocco: Marrakech.,31.6300 N 8.0089 W,BF-3_AGCGGT_L001_R1.fastq,PAIRED,PCR,METAGENOMIC,12,7,sludge metagenome,ILLUMINA,"El Houari, Abdelaziz, et al. ""Desulfobulbus oligotrophicus sp. nov., a sulfate-reducing and propionate-oxidizing bacterium isolated from a municipal anaerobe sewage sludge digester."" International journal of systematic and evolutionary microbiology 67....",aerobe,2019-11-08T00:00:00Z,120ml sterile serum bottles,Sampling was taken out using 120ml sterile serum bottles that were filled to displace air and preserve anaerobe condition,124 ml,SRS5624062,BF-3_AGCGGT_L001_R1.fastq,Floc Sludge,SRP229007
SRR10414972,RNA-Seq,500,PRJNA587578,SAMN13198110,Metagenome or environmental,"IPREM UMR 5254, EQUIPE ENVIRONNEMENT ET MICROBIOLOGIE",Feb-2015,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX7113167,Morocco,Africa,Morocco: Marrakech,Sewage sludge,Illumina MiSeq,municipal mesophilic sewage sludge of the wastewater treatment plant in the city of Morocco: Marrakech.,31.6300 N 8.0089 W,DAPS-1_AACTTA_L001_R1.fastq,PAIRED,PCR,METAGENOMIC,32,17,sludge metagenome,ILLUMINA,"El Houari, Abdelaziz, et al. ""Desulfobulbus oligotrophicus sp. nov., a sulfate-reducing and propionate-oxidizing bacterium isolated from a municipal anaerobe sewage sludge digester."" International journal of systematic and evolutionary microbiology 67....",anaerobe,2019-11-08T00:00:00Z,120ml sterile serum bottles,Sampling was taken out using 120ml sterile serum bottles that were filled to displace air and preserve anaerobe condition,162 ml,SRS5624061,DAPS-1_AACTTA_L001_R1.fastq,Digester A surface,SRP229007
SRR10414973,RNA-Seq,500,PRJNA587578,SAMN13198090,Metagenome or environmental,"IPREM UMR 5254, EQUIPE ENVIRONNEMENT ET MICROBIOLOGIE",Feb-2015,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX7113165,Morocco,Africa,Morocco: Marrakech,Sewage sludge,Illumina MiSeq,municipal mesophilic sewage sludge of the wastewater treatment plant in the city of Morocco: Marrakech.,31.6300 N 8.0089 W,D1PS-3_GAGAGG_L001_R1.fastq,PAIRED,PCR,METAGENOMIC,37,21,sludge metagenome,ILLUMINA,"El Houari, Abdelaziz, et al. ""Desulfobulbus oligotrophicus sp. nov., a sulfate-reducing and propionate-oxidizing bacterium isolated from a municipal anaerobe sewage sludge digester."" International journal of systematic and evolutionary microbiology 67....",anaerobe,2019-11-08T00:00:00Z,120ml sterile serum bottles,Sampling was taken out using 120ml sterile serum bottles that were filled to displace air and preserve anaerobe condition,142 ml,SRS5624059,D1PS-3_GAGAGG_L001_R1.fastq,Digester 1 surface,SRP229007
SRR10414974,RNA-Seq,500,PRJNA587578,SAMN13198070,Metagenome or environmental,"IPREM UMR 5254, EQUIPE ENVIRONNEMENT ET MICROBIOLOGIE",Feb-2015,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX7113163,Morocco,Africa,Morocco: Marrakech,Sewage sludge,Illumina MiSeq,municipal mesophilic sewage sludge of the wastewater treatment plant in the city of Morocco: Marrakech.,31.6300 N 8.0089 W,BF-2_CCAGCC_L001_R1.fastq,PAIRED,PCR,METAGENOMIC,29,16,sludge metagenome,ILLUMINA,"El Houari, Abdelaziz, et al. ""Desulfobulbus oligotrophicus sp. nov., a sulfate-reducing and propionate-oxidizing bacterium isolated from a municipal anaerobe sewage sludge digester."" International journal of systematic and evolutionary microbiology 67....",aerobe,2019-11-08T00:00:00Z,120ml sterile serum bottles,Sampling was taken out using 120ml sterile serum bottles that were filled to displace air and preserve anaerobe condition,122 ml,SRS5624057,BF-2_CCAGCC_L001_R1.fastq,Floc Sludge,SRP229007
SRR10414975,RNA-Seq,500,PRJNA587578,SAMN13198086,Metagenome or environmental,"IPREM UMR 5254, EQUIPE ENVIRONNEMENT ET MICROBIOLOGIE",Feb-2015,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX7113162,Morocco,Africa,Morocco: Marrakech,Sewage sludge,Illumina MiSeq,municipal mesophilic sewage sludge of the wastewater treatment plant in the city of Morocco: Marrakech.,31.6300 N 8.0089 W,D1PS-1_AATGGT_L001_R1.fastq,PAIRED,PCR,METAGENOMIC,30,16,sludge metagenome,ILLUMINA,"El Houari, Abdelaziz, et al. ""Desulfobulbus oligotrophicus sp. nov., a sulfate-reducing and propionate-oxidizing bacterium isolated from a municipal anaerobe sewage sludge digester."" International journal of systematic and evolutionary microbiology 67....",anaerobe,2019-11-08T00:00:00Z,120ml sterile serum bottles,Sampling was taken out using 120ml sterile serum bottles that were filled to displace air and preserve anaerobe condition,138 ml,SRS5624056,D1PS-1_AATGGT_L001_R1.fastq,Digester 1 surface,SRP229007
SRR10414976,RNA-Seq,500,PRJNA587578,SAMN13198084,Metagenome or environmental,"IPREM UMR 5254, EQUIPE ENVIRONNEMENT ET MICROBIOLOGIE",Feb-2015,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX7113161,Morocco,Africa,Morocco: Marrakech,Sewage sludge,Illumina MiSeq,municipal mesophilic sewage sludge of the wastewater treatment plant in the city of Morocco: Marrakech.,31.6300 N 8.0089 W,D1PF-3_ACGGTA_L001_R1.fastq,PAIRED,PCR,METAGENOMIC,46,25,sludge metagenome,ILLUMINA,"El Houari, Abdelaziz, et al. ""Desulfobulbus oligotrophicus sp. nov., a sulfate-reducing and propionate-oxidizing bacterium isolated from a municipal anaerobe sewage sludge digester."" International journal of systematic and evolutionary microbiology 67....",anaerobe,2019-11-08T00:00:00Z,120ml sterile serum bottles,Sampling was taken out using 120ml sterile serum bottles that were filled to displace air and preserve anaerobe condition,136 ml,SRS5624055,D1PF-3_ACGGTA_L001_R1.fastq,Digester 1 bottom,SRP229007
SRR10414977,RNA-Seq,500,PRJNA587578,SAMN13198082,Metagenome or environmental,"IPREM UMR 5254, EQUIPE ENVIRONNEMENT ET MICROBIOLOGIE",Feb-2015,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX7113160,Morocco,Africa,Morocco: Marrakech,Sewage sludge,Illumina MiSeq,municipal mesophilic sewage sludge of the wastewater treatment plant in the city of Morocco: Marrakech.,31.6300 N 8.0089 W,D1PF-2_GTCCTA_L001_R1.fastq,PAIRED,PCR,METAGENOMIC,14,8,sludge metagenome,ILLUMINA,"El Houari, Abdelaziz, et al. ""Desulfobulbus oligotrophicus sp. nov., a sulfate-reducing and propionate-oxidizing bacterium isolated from a municipal anaerobe sewage sludge digester."" International journal of systematic and evolutionary microbiology 67....",anaerobe,2019-11-08T00:00:00Z,120ml sterile serum bottles,Sampling was taken out using 120ml sterile serum bottles that were filled to displace air and preserve anaerobe condition,134 ml,SRS5624054,D1PF-2_GTCCTA_L001_R1.fastq,Digester 1 bottom,SRP229007
SRR10414978,RNA-Seq,500,PRJNA587578,SAMN13198088,Metagenome or environmental,"IPREM UMR 5254, EQUIPE ENVIRONNEMENT ET MICROBIOLOGIE",Feb-2015,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX7113164,Morocco,Africa,Morocco: Marrakech,Sewage sludge,Illumina MiSeq,municipal mesophilic sewage sludge of the wastewater treatment plant in the city of Morocco: Marrakech.,31.6300 N 8.0089 W,D1PS-2_GTAACA_L001_R1.fastq,PAIRED,PCR,METAGENOMIC,15,8,sludge metagenome,ILLUMINA,"El Houari, Abdelaziz, et al. ""Desulfobulbus oligotrophicus sp. nov., a sulfate-reducing and propionate-oxidizing bacterium isolated from a municipal anaerobe sewage sludge digester."" International journal of systematic and evolutionary microbiology 67....",anaerobe,2019-11-08T00:00:00Z,120ml sterile serum bottles,Sampling was taken out using 120ml sterile serum bottles that were filled to displace air and preserve anaerobe condition,140 ml,SRS5624058,D1PS-2_GTAACA_L001_R1.fastq,Digester 1 surface,SRP229007
SRR10414979,RNA-Seq,500,PRJNA587578,SAMN13198108,Metagenome or environmental,"IPREM UMR 5254, EQUIPE ENVIRONNEMENT ET MICROBIOLOGIE",Feb-2015,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX7113166,Morocco,Africa,Morocco: Marrakech,Sewage sludge,Illumina MiSeq,municipal mesophilic sewage sludge of the wastewater treatment plant in the city of Morocco: Marrakech.,31.6300 N 8.0089 W,DAPF-3_ACGAAT_L001_R1.fastq,PAIRED,PCR,METAGENOMIC,17,9,sludge metagenome,ILLUMINA,"El Houari, Abdelaziz, et al. ""Desulfobulbus oligotrophicus sp. nov., a sulfate-reducing and propionate-oxidizing bacterium isolated from a municipal anaerobe sewage sludge digester."" International journal of systematic and evolutionary microbiology 67....",anaerobe,2019-11-08T00:00:00Z,120ml sterile serum bottles,Sampling was taken out using 120ml sterile serum bottles that were filled to displace air and preserve anaerobe condition,160 ml,SRS5624060,DAPF-3_ACGAAT_L001_R1.fastq,Digester A bottom,SRP229007
SRR10414980,RNA-Seq,500,PRJNA587578,SAMN13198080,Metagenome or environmental,"IPREM UMR 5254, EQUIPE ENVIRONNEMENT ET MICROBIOLOGIE",Feb-2015,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX7113159,Morocco,Africa,Morocco: Marrakech,Sewage sludge,Illumina MiSeq,municipal mesophilic sewage sludge of the wastewater treatment plant in the city of Morocco: Marrakech.,31.6300 N 8.0089 W,D1PF-1_CAGGCG_L001_R1.fastq,PAIRED,PCR,METAGENOMIC,30,16,sludge metagenome,ILLUMINA,"El Houari, Abdelaziz, et al. ""Desulfobulbus oligotrophicus sp. nov., a sulfate-reducing and propionate-oxidizing bacterium isolated from a municipal anaerobe sewage sludge digester."" International journal of systematic and evolutionary microbiology 67....",anaerobe,2019-11-08T00:00:00Z,120ml sterile serum bottles,Sampling was taken out using 120ml sterile serum bottles that were filled to displace air and preserve anaerobe condition,132 ml,SRS5624053,D1PF-1_CAGGCG_L001_R1.fastq,Digester 1 bottom,SRP229007
SRR10414981,RNA-Seq,500,PRJNA587578,SAMN13198078,Metagenome or environmental,"IPREM UMR 5254, EQUIPE ENVIRONNEMENT ET MICROBIOLOGIE",Feb-2015,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX7113158,Morocco,Africa,Morocco: Marrakech,Sewage sludge,Illumina MiSeq,municipal mesophilic sewage sludge of the wastewater treatment plant in the city of Morocco: Marrakech.,31.6300 N 8.0089 W,BP-3_AGTTGA_L001_R1.fastq,PAIRED,PCR,METAGENOMIC,15,8,sludge metagenome,ILLUMINA,"El Houari, Abdelaziz, et al. ""Desulfobulbus oligotrophicus sp. nov., a sulfate-reducing and propionate-oxidizing bacterium isolated from a municipal anaerobe sewage sludge digester."" International journal of systematic and evolutionary microbiology 67....",anaerobe,2019-11-08T00:00:00Z,120ml sterile serum bottles,Sampling was taken out using 120ml sterile serum bottles that were filled to displace air and preserve anaerobe condition,130 ml,SRS5624052,BP-3_AGTTGA_L001_R1.fastq,Primary Sludge,SRP229007
SRR10414982,RNA-Seq,500,PRJNA587578,SAMN13198068,Metagenome or environmental,"IPREM UMR 5254, EQUIPE ENVIRONNEMENT ET MICROBIOLOGIE",Feb-2015,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX7113157,Morocco,Africa,Morocco: Marrakech,Sewage sludge,Illumina MiSeq,municipal mesophilic sewage sludge of the wastewater treatment plant in the city of Morocco: Marrakech.,31.6300 N 8.0089 W,BF-1_GTTAGT_L001_R1.fastq,PAIRED,PCR,METAGENOMIC,34,19,sludge metagenome,ILLUMINA,"El Houari, Abdelaziz, et al. ""Desulfobulbus oligotrophicus sp. nov., a sulfate-reducing and propionate-oxidizing bacterium isolated from a municipal anaerobe sewage sludge digester."" International journal of systematic and evolutionary microbiology 67....",aerobe,2019-11-08T00:00:00Z,120ml sterile serum bottles,Sampling was taken out using 120ml sterile serum bottles that were filled to displace air and preserve anaerobe condition,120 ml,SRS5624051,BF-1_GTTAGT_L001_R1.fastq,Floc Sludge,SRP229007
SRR10414983,RNA-Seq,500,PRJNA587578,SAMN13198112,Metagenome or environmental,"IPREM UMR 5254, EQUIPE ENVIRONNEMENT ET MICROBIOLOGIE",Feb-2015,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX7113156,Morocco,Africa,Morocco: Marrakech,Sewage sludge,Illumina MiSeq,municipal mesophilic sewage sludge of the wastewater treatment plant in the city of Morocco: Marrakech.,31.6300 N 8.0089 W,DAPS-2_TGTGAG_L001_R1.fastq,PAIRED,PCR,METAGENOMIC,44,24,sludge metagenome,ILLUMINA,"El Houari, Abdelaziz, et al. ""Desulfobulbus oligotrophicus sp. nov., a sulfate-reducing and propionate-oxidizing bacterium isolated from a municipal anaerobe sewage sludge digester."" International journal of systematic and evolutionary microbiology 67....",anaerobe,2019-11-08T00:00:00Z,120ml sterile serum bottles,Sampling was taken out using 120ml sterile serum bottles that were filled to displace air and preserve anaerobe condition,164 ml,SRS5624050,DAPS-2_TGTGAG_L001_R1.fastq,Digester A surface,SRP229007
SRR10414951,RNA-Seq,500,PRJNA587578,SAMN13198076,Metagenome or environmental,"IPREM UMR 5254, EQUIPE ENVIRONNEMENT ET MICROBIOLOGIE",Feb-2015,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX7113188,Morocco,Africa,Morocco: Marrakech,Sewage sludge,Illumina MiSeq,municipal mesophilic sewage sludge of the wastewater treatment plant in the city of Morocco: Marrakech.,31.6300 N 8.0089 W,BP-2_TAAGAC_L001_R1.fastq,PAIRED,PCR,METAGENOMIC,15,8,sludge metagenome,ILLUMINA,"El Houari, Abdelaziz, et al. ""Desulfobulbus oligotrophicus sp. nov., a sulfate-reducing and propionate-oxidizing bacterium isolated from a municipal anaerobe sewage sludge digester."" International journal of systematic and evolutionary microbiology 67....",anaerobe,2019-11-08T00:00:00Z,120ml sterile serum bottles,Sampling was taken out using 120ml sterile serum bottles that were filled to displace air and preserve anaerobe condition,128 ml,SRS5624082,BP-2_TAAGAC_L001_R1.fastq,Primary Sludge,SRP229007
